"projectid","address","street_number","street_name","status","year_complete","use_type","gfa","latlong","latitude","longitude"
"776","201 Amherst Street","201","Amherst Street","Building Permit Granted",,"Institutional","34000","(42.3578688554909, -71.0958988097259)","42.3579","-71.0959"
"723","220 Binney Street","220","Binney Street","Building Permit Granted",,"Government","400000","(42.3630399999999, -71.0842899999999)","42.363","-71.0843"
"759","250 Binney Street","250","Binney Street","Zoning Permit Granted or As of Right",,"Office/R&D","450576","(42.365631, -71.0866929999999)","42.3656","-71.0867"
"690","290 Binney Street","290","Binney Street","Zoning Permit Granted or As of Right",,"Retail","2500","(42.366052, -71.0869529999999)","42.3661","-71.087"
"690","290 Binney Street","290","Binney Street","Zoning Permit Granted or As of Right",,"Office/R&D","409500","(42.366052, -71.0869529999999)","42.3661","-71.087"
"736","325 Binney Street","325","Binney Street","Building Permit Granted",,"Office/R&D","366500","(42.3671409999999, -71.08866)","42.3671","-71.0887"
"634","399 Binney Street","399","Binney Street","Building Permit Granted",,"Retail","2550","(42.367769, -71.090518)","42.3678","-71.0905"
"634","399 Binney Street","399","Binney Street","Building Permit Granted",,"Office/R&D","169950","(42.367769, -71.090518)","42.3678","-71.0905"
"784","48-50 Bishop Allen Drive","48-50","Bishop Allen Drive","Pre-Permitting",,"Residential","24123","(42.3645127310714, -71.100310604099)","42.3645","-71.1003"
"696","24 Brattle Street","24","Brattle Street","Building Permit Granted",,"Retail","37506","(42.373283, -71.119775)","42.3733","-71.1198"
"696","24 Brattle Street","24","Brattle Street","Building Permit Granted",,"Office/R&D","33941","(42.373283, -71.119775)","42.3733","-71.1198"
"691","135 Broadway","135","Broadway","Zoning Permit Granted or As of Right",,"Retail","700","(42.364587, -71.0882029999999)","42.3646","-71.0882"
"691","135 Broadway","135","Broadway","Zoning Permit Granted or As of Right",,"Residential","420000","(42.364587, -71.0882029999999)","42.3646","-71.0882"
"42"," Cambridge Crossing Remaining Master Plan",,"Cambridge Crossing Remaining Master Plan","Zoning Permit Granted or As of Right",,"Retail","25000","(42.3721674932998, -71.0731544543998)","42.3722","-71.0732"
"42"," Cambridge Crossing Remaining Master Plan",,"Cambridge Crossing Remaining Master Plan","Zoning Permit Granted or As of Right",,"Mixed Use","670000","(42.3721674932998, -71.0731544543998)","42.3722","-71.0732"
"42"," Cambridge Crossing Remaining Master Plan",,"Cambridge Crossing Remaining Master Plan","Zoning Permit Granted or As of Right",,"Residential","1152056","(42.3721674932998, -71.0731544543998)","42.3722","-71.0732"
"722","101 Cambridgepark Drive","101","Cambridgepark Drive","Building Permit Granted",,"Office/R&D","141834","(42.39504, -71.1448199999999)","42.395","-71.1448"
"780","125 Cambridgepark Drive","125","Cambridgepark Drive","Pre-Permitting",,"Lab/R&D","40000","(42.3954657937906, -71.1458873935971)","42.3955","-71.1459"
"761","150 Cambridgepark Drive","150","Cambridgepark Drive","Building Permit Granted",,"Lab/R&D","270080","(42.394396, -71.146082)","42.3944","-71.1461"
"637","35 Cambridgepark Drive","35","Cambridgepark Drive","Building Permit Granted",,"Retail","7500","(42.394959, -71.143467)","42.395","-71.1435"
"637","35 Cambridgepark Drive","35","Cambridgepark Drive","Building Permit Granted",,"Office/R&D","177274","(42.394959, -71.143467)","42.395","-71.1435"
"705","50 Cambridgepark Drive","50","Cambridgepark Drive","Building Permit Granted",,"Residential","314691","(42.394409, -71.14386)","42.3944","-71.1439"
"705","50 Cambridgepark Drive","50","Cambridgepark Drive","Building Permit Granted",,"Retail","6992","(42.394409, -71.14386)","42.3944","-71.1439"
"714","100 Cambridgeside Place","100","Cambridgeside Place","Building Permit Granted",,"Office/R&D","140000","(42.368028, -71.0764319999999)","42.368","-71.0764"
"783","100 Cambridgeside Place","100","Cambridgeside Place","Zoning Permit Granted or As of Right",,"Retail","315000","(42.368028, -71.0764319999999)","42.368","-71.0764"
"775","150 Cambridgeside Place","150","Cambridgeside Place","Zoning Permit Granted or As of Right",,"Residential","175000","(42.3674805965226, -71.0771726398214)","42.3675","-71.0772"
"775","150 Cambridgeside Place","150","Cambridgeside Place","Zoning Permit Granted or As of Right",,"Retail","10000","(42.3674805965226, -71.0771726398214)","42.3675","-71.0772"
"754","20 Cambridgeside Place","20","Cambridgeside Place","Building Permit Granted",,"Lab/R&D","295000","(42.3671, -71.07568)","42.3671","-71.0757"
"754","20 Cambridgeside Place","20","Cambridgeside Place","Building Permit Granted",,"Office/R&D","48000","(42.3671, -71.07568)","42.3671","-71.0757"
"754","20 Cambridgeside Place","20","Cambridgeside Place","Building Permit Granted",,"Retail","17000","(42.3671, -71.07568)","42.3671","-71.0757"
"704","1043-1059 Cambridge Street","1043-1059","Cambridge Street","Zoning Permit Granted or As of Right",,"Retail","4364","(42.37321, -71.094873)","42.3732","-71.0949"
"704","1043-1059 Cambridge Street","1043-1059","Cambridge Street","Zoning Permit Granted or As of Right",,"Residential","24892","(42.37321, -71.094873)","42.3732","-71.0949"
"717","747 Cambridge Street","747","Cambridge Street","Building Permit Granted",,"Community Center","1097","(42.37241, -71.089066)","42.3724","-71.0891"
"717","747 Cambridge Street","747","Cambridge Street","Building Permit Granted",,"Residential","6869","(42.37241, -71.089066)","42.3724","-71.0891"
"778","1 Canal Park","1","Canal Park","Building Permit Granted",,"Lab/R&D","107662","(42.3693579554561, -71.0770296484885)","42.3694","-71.077"
"747","1 Cedar Street","1","Cedar Street","Zoning Permit Granted or As of Right",,"Residential","9981","(42.3975999999999, -71.13101)","42.3976","-71.131"
"747","1 Cedar Street","1","Cedar Street","Zoning Permit Granted or As of Right",,"Community Center","2114","(42.3975999999999, -71.13101)","42.3976","-71.131"
"751","1 Charles Park","1","Charles Park","Building Permit Granted",,"Lab/R&D","119021","(42.36681, -71.07661)","42.3668","-71.0766"
"649","605 Concord Avenue","605","Concord Avenue","Building Permit Granted",,"Retail","4128","(42.3892019999999, -71.144878)","42.3892","-71.1449"
"649","605 Concord Avenue","605","Concord Avenue","Building Permit Granted",,"Residential","53551","(42.3892019999999, -71.144878)","42.3892","-71.1449"
"620","16-18 Eliot Street","16-18","Eliot Street","Expired",,"Residential","11935","(42.3721219999999, -71.121391)","42.3721","-71.1214"
"630","95-99 Elmwood Street","95-99","Elmwood Street","Building Permit Granted",,"Residential","35894","(42.3980549999999, -71.1286329999999)","42.3981","-71.1286"
"630","95-99 Elmwood Street","95-99","Elmwood Street","Building Permit Granted",,"Retail","380","(42.3980549999999, -71.1286329999999)","42.3981","-71.1286"
