"age","gender","count"
"0-9","Female","0"
"10-19","Female","1"
"20-29","Female","12"
"30-39","Female","13"
"40-49","Female","10"
"50-59","Female","11"
"60-69","Female","2"
"70-79","Female","5"
"80+","Female","1"
"Unreported Age","Female","0"
"0-9","Male","0"
"10-19","Male","1"
"20-29","Male","6"
"30-39","Male","3"
"40-49","Male","8"
"50-59","Male","1"
"60-69","Male","3"
"70-79","Male","5"
"80+","Male","3"
"Unreported Age","Male","0"
"0-9","Unreported.Gender","0"
"10-19","Unreported.Gender","0"
"20-29","Unreported.Gender","0"
"30-39","Unreported.Gender","0"
"40-49","Unreported.Gender","0"
"50-59","Unreported.Gender","0"
"60-69","Unreported.Gender","0"
"70-79","Unreported.Gender","0"
"80+","Unreported.Gender","0"
"Unreported Age","Unreported.Gender","1"
