"year","staff","faculty","all_employees","reside_in_cambridge","students_cambridge_college","students_harvard","students_hult","students_lesley","students_mit","degree_students","non_degree_students","undergraduate_students","graduate_students","post_doctoral_fellows","student_residents_dormitory","student_residents_affiliate","student_residents_off_campus","gfa_cambridge_college","gfa_harvard","gfa_hult","gfa_lesley","gfa_mit","land_non_taxable","land_taxable","total_payments","payments_fiscal_year"
"2021","19332","3000","22332","5528",,"26470","1322","6800","11210","34445","11357","12635","21810","2208","5114","1091","5538",,"16267243","309012","978411","20236037","374","117","109681811","FY 2021"
"2020","20612","3246","23858","6371",,"27502","671","5176","11455","35422","9382","14058","21364","2504","14322","2028","6269",,"16136070","309012","978411","18724283","374","116","103084920","FY 2020"
"2019","20285","3237","23522","6729",,"27476","1244","6379","11487","35854","10732","14357","21497","2596","14589","1908","6950",,"16136070","309012","978411","18741219","374","116","96519190","FY 2019"
"2018","20269","3155","23424","6879",,"26609","1055","6013","11381","34931","10127","13979","20952","2664","13964","1975","6713",,"16131195","113812","966204","18502590","372","119","97423580","FY 2018"
"2017","19842","3164","23006","6805",,"25812","1018","6474","11279","34445","10138","13736","20709","2581","14101","2033","6532",,"16050505","88812","994743","18862315","371","117","91382147","FY 2017"
"2016","19692","3241","22933","6730","2631","25547","750","6325","11237","36091","10399","14632","21549","2679","14332","1706","6638","110361","16050505","94947","994743","18422952","372","117","88347964","FY 2016"
"2015","19249","3184","22433","6464","2905","24827","720","6813","11240","36227","10278","14655","21572","2578","14119","1867","6427","110361","16053673","94947","994743","17565723","370","121","74652407","FY 2015"
"2014","19554","3083","22637","6646","2796","24357","579","6915","11220","35928","9939","14718","21210","2411","14294","2008","6068","110361","15939574","94947","944508","17608780","369","119","69065335","FY 2014"
"2013","17974","3032","21006","6433","2946","23758","288","6959","11071","35833","9189","14775","21058",,"14004","2195","5792","110361","15962361","14583","944508","17275897","366","118","64001993","FY 2013"
"2012","17713","2935","20648","6356","3096","23668","277","6783","10795","35723","8896","14774","20949",,"14466","1762","5832","110361","15905494","14583","943078","17320527","365","118","61598330","FY 2012"
"2011","17152","2817","19969","6257","3484","23820","262","5839","10478","36298","7585","14754","21544",,"14183","1843","6022","110361","15478376","14583","942277","17416352","377","120","62017183","FY 2011"
"2010","17754","2877","20631","6414","3834","23897","212","6596","10312","36069","8782","14612","21457",,"14356","1838","5652","110000","15543355","14583","942277","17088602","376","121","56364387","FY 2010"
"2009","18518","2879","21397","6561","3633","22814",,"6979","10205","34871","8760","14229","20642",,"14141","1907","5672","110000","15479967","14583","931611","16479272","376","122","53161517","FY 2009"
"2008","17823","2946","20769","6405","3271","21972",,"6503","10117","34072","7791","13970","20102",,"13741","1735","5254","110000","15069957","14583","813054","16460208","377","122","54187796","FY 2008"
"2007","16898","2900","19798","5733","2195","22086",,"5487","10164","32999","6933","13549","19450",,"13947","1535","5396","110000","14602908","14583","681474","15814731","367","117","50580837","FY 2007"
"2006","16982","2942","19924","5768","1992","21332",,"4713","10110","32065","6082","13441","18624",,"13948","1564","5441","110000","13401109","14583","677900","15730497","364","119","48199194","FY 2006"
"2005","16569","2889","19458","5742","1936","20991",,"5140","10235","32240","6062","13431","18809",,"13973","1640","5434","110000","13405120","14583","662150","15222591","364","118","46699790","FY 2005"
"2004","16123","2454","18577","5898","1918","21201",,"4690","10230","31773","6266","13169","18604",,"13865","1547","5324","110000","12948741","14583","582047","15234737","359","117","43924897","FY 2004"
"2003","14489","2877","17366","5072","1876","21273",,"3492","10222","30266","6597","12725","17541",,"12641","1383","5200","110000","12940000",,"619126","14546435","359","118","38717138","FY 2003"
"2002","14570","2604","17174","4539","2451","20791",,"3776","10097","31049","6066","13131","17918",,"12733","1626","5297","110000","12770000",,"619126","12878987","348","111","35233936","FY 2002"
"2001","13936","2622","16558","3918","2154","20975",,"3958","9982","30649","6420","13429","17220",,"12848","1588","4979","110000","12495100",,"571478","12403163","347","112","28807293","FY 2001"
"2000","13527","2458","15985","3347","1908","20529",,"2624","9878","29061","5878","12504","16557",,"12915","1517","3780","110000","12700000",,"816766","11565487","344","97","23152575","FY 2000"
