"the_geom","id","street","street_nam","street_typ","street_id","alias","l_from","l_to","r_from","r_to","zip_left","zip_right","fromnode","tonode","direction","restrictio","label","roadways","majorroad"
"MULTILINESTRING ((-71.09966196611784 42.37357651649605, -71.09974361004373 42.37358750249745, -71.10052886812073 42.373689128578036))","Cambrid_St_29","Cambridge St","Cambridge","St","122.0",,"1334","1378","1337","1369","02139","02139","1097.0","1094.0","0","F","Cambridge St","F","2"
"MULTILINESTRING ((-71.10052886812073 42.373689128578036, -71.1008374083602 42.373729412449514))","Cambrid_St_30","Cambridge St","Cambridge","St","122.0",,"1384","1384","1385","1385","02139","02139","1094.0","1089.0","0","F","Cambridge St","F","2"
"MULTILINESTRING ((-71.1008374083602 42.373729412449514, -71.10123725248101 42.373780686483435))","Cambrid_St_31","Cambridge St","Cambridge","St","122.0",,"1400","1400","-1","-1","02139","02139","1089.0","1088.0","0","F","Cambridge St","F","2"
"MULTILINESTRING ((-71.09752973850293 42.371014560439846, -71.09765285031048 42.37111479321713, -71.0979923068143 42.371394860622814, -71.09812141247262 42.37150134288682))","Hampshi_St_11","Hampshire St","Hampshire","St","359.0",,"146","150","147","147","02139","02139","1324.0","1282.0","0","F","Hampshire St","F","2"
"MULTILINESTRING ((-71.09812141247262 42.37150134288682, -71.09824334772759 42.37160066535858, -71.09845852738715 42.37177783339703, -71.09852189793102 42.37182796934558))","Hampshi_St_12","Hampshire St","Hampshire","St","359.0",,"156","162","157","165","02139","02139","1282.0","1249.0","0","F","Hampshire St","F","2"
"MULTILINESTRING ((-71.09852189793102 42.37182796934558, -71.09854938888552 42.37185210340286, -71.09885778381926 42.372106238013224, -71.09897493319832 42.37220197569878))","Hampshi_St_13","Hampshire St","Hampshire","St","359.0",,"164","168","167","173","02139","02139","1249.0","1214.0","0","F","Hampshire St","F","2"
"MULTILINESTRING ((-71.10584781214264 42.36976209933834, -71.10676904589333 42.37001564936532, -71.10689017506763 42.37004989785767))","Harvard_St_18","Harvard St","Harvard","St","370.0",,"302","314","305","307","02139","02139","1433.0","1407.0","0","F","Harvard St","F","2"
"MULTILINESTRING ((-71.10423133535366 42.370583421602056, -71.10474075647379 42.37078562799001))","Broadwa_26","Broadway","Broadway",,"106.0",,"364","370","359","359","02139","02139","1365.0","1348.0","0","F","Broadway","F","2"
"MULTILINESTRING ((-71.10474075647379 42.37078562799001, -71.10477911599067 42.3708000289915, -71.10478391555722 42.37080182913169, -71.10483906818595 42.370823394967616))","Broadwa_27","Broadway","Broadway",,"106.0",,"-1","-1","-1","-1","02139","02139","1348.0","1343.0","0","F","Broadway","F","2"
"MULTILINESTRING ((-71.10270350268121 42.37316919365276, -71.1030964907232 42.37335141226213, -71.10314937367534 42.373351594714364, -71.10318801948998 42.373320555339006, -71.10320401654423 42.37326002134302, -71.10321264074 42.373224405555575, -71.10323094248713 42.37317993234396, -71.10325764837378 42.373140811620615, -71.10328797745215 42.3730963524396, -71.10335321919244 42.37303777188863, -71.10341829872837 42.373005039929744, -71.10348816466455 42.37298212078113, -71.10353745418985 42.37297693972296, -71.10358789785364 42.372982464514195, -71.10369824719103 42.3730131393253))","Fainwoo_Cir_1","Fainwood Cir","Fainwood","Cir","262.0",,"5","27","6","20","02139","02139","1127.0","1150.0","0","F","Fainwood Cir","F","0"
"MULTILINESTRING ((-71.09897493319832 42.37220197569878, -71.09906936291283 42.37227982502128, -71.09967782528349 42.372778237753394, -71.09975911306694 42.37284533886173))","Hampshi_St_14","Hampshire St","Hampshire","St","359.0",,"186","190","187","191","02139","02139","1214.0","1160.0","0","F","Hampshire St","F","2"
"MULTILINESTRING ((-71.1071958923421 42.369773845401276, -71.10696512951004 42.36998155207979, -71.10689017506763 42.37004989785767))","Hancock_St_6","Hancock St","Hancock","St","362.0",,"-1","-1","134","136","02139","02139","1432.0","1407.0","1","F","Hancock St","F","0"
"MULTILINESTRING ((-71.09744959966942 42.37434932060746, -71.09755750624542 42.374391572751, -71.09830431565982 42.37468019793331, -71.09879575871089 42.374871693181504, -71.09886892993013 42.37489423024037, -71.09914480772466 42.374973590110876, -71.09919401182616 42.37498803074528))","Houghto_St_1","Houghton St","Houghton","St","410.0",,"2","8","-1","-1","02139","02139","1051.0","992.0","0","F","Houghton St","F","0"
"MULTILINESTRING ((-71.10553901629795 42.373230622846584, -71.10551844951395 42.373252834205815, -71.10551603293976 42.373254609567226, -71.10550752878343 42.373265254854225))","Highlan_Ave_3","Highland Ave","Highland","Ave","389.0",,"-1","-1","-1","-1","02139","02139","1120.0","1125.0","1","F","Highland Ave","F","0"
"MULTILINESTRING ((-71.1015800535765 42.37029182110711, -71.10153036197458 42.3703611290136, -71.10138124345723 42.370570012875405, -71.10134125704664 42.37062599067433))","Amory_St_2","Amory St","Amory","St","27.0",,"31","41","30","44","02139","02139","1391.0","1360.0","1","F","Amory St","F","0"
