"nodenumber","intersection","intersectingstreetcount","zip_code","longitude","latitude","neighborhood","election_ward","election_precinct","election_polling_address","representation_district","senate_district","cad_reporting_district","police_sector","police_car_route","police_walking_route","police_neighborhood","police_business_district","street_sweeping_district","census_tract_2010","census_block_group_2010","census_block_2010","census_block_id_2010","commercial_district"
"2","Alewife Brook Pkwy & Matignon Rd","2","02140","-71.1345","42.4026","North Cambridge","11","3","50 Churchill Ave","24th Middlesex","Second Middlesex","1104","5","11R","11D","11","9","G","355000","2","2005","250173550002005",
"3","Alewife Brook Pkwy & Murray Hill Rd","2","02140","-71.1348","42.4023","North Cambridge","11","3","50 Churchill Ave","24th Middlesex","Second Middlesex","1104","5","11R","11D","11","9","G","355000","2","2002","250173550002002",
"4","Matignon Rd & Murray Hill Rd","2","02140","-71.1326","42.4017","North Cambridge","11","3","50 Churchill Ave","24th Middlesex","Second Middlesex","1104","5","11R","11D","11","9","G","355000","2","2005","250173550002005",
"8","Muller Ave & Murray Hill Rd","2","02140","-71.133","42.4014","North Cambridge","11","3","50 Churchill Ave","24th Middlesex","Second Middlesex","1104","5","11R","11D","11","9","G","355000","2","2002","250173550002002",
"10","Foch St & Gladstone St","2","02140","-71.1346","42.4013","North Cambridge","11","3","50 Churchill Ave","24th Middlesex","Second Middlesex","1104","5","11R","11D","11","9","G","355000","2","2002","250173550002002",
"11","Churchill Ave & Matignon Rd","2","02140","-71.1318","42.4011","North Cambridge","11","3","50 Churchill Ave","24th Middlesex","Second Middlesex","1104","5","11R","11D","11","9","G","355000","2","2006","250173550002006",
"13","Foch St & Newman St","2","02140","-71.1339","42.401","North Cambridge","11","3","50 Churchill Ave","24th Middlesex","Second Middlesex","1104","5","11R","11D","11","9","G","355000","2","2003","250173550002003",
"14","Muller Ave & Richard Ave","2","02140","-71.133","42.401","North Cambridge","11","3","50 Churchill Ave","24th Middlesex","Second Middlesex","1104","5","11R","11D","11","9","G","355000","2","2002","250173550002002",
"2205","Alewife Brook Pkwy & Massachusetts Ave","2","02140","-71.136","42.4009","North Cambridge","11","3","50 Churchill Ave","24th Middlesex","Second Middlesex","1104","5","11R","11D","11","9","G","355000","1","1000","250173550001000",
"2132","Acorn Pk & Concord Tpk","2","02140","-71.1522","42.4009","North Cambridge","11","1","1 Jackson Pl","24th Middlesex","Second Middlesex","1110","5","11R",,"11","10",,"354900","3","3016","250173549003016","Concord Alewife/Fresh Pond"
"2143","Columbus Ave & Massachusetts Ave","2","02140","-71.1355","42.4007","North Cambridge","11","3","50 Churchill Ave","24th Middlesex","Second Middlesex","1104","5","11R","11D","11","9","G","355000","2","2010","250173550002010","Porter Square/North Mass. Ave."
"23","Magoun St & Massachusetts Ave","2","02140","-71.1352","42.4006","North Cambridge","11","3","50 Churchill Ave","24th Middlesex","Second Middlesex","1111","5","11R","11D","11","9","G","355000","2","2010","250173550002010","Porter Square/North Mass. Ave."
"21","Gladstone St & Massachusetts Ave","2","02140","-71.1351","42.4005","North Cambridge","11","3","50 Churchill Ave","24th Middlesex","Second Middlesex","1111","5","11R","11D","11","9","G","355000","2","2009","250173550002009","Porter Square/North Mass. Ave."
"22","Churchill Ave & Muller Ave","2","02140","-71.1324","42.4005","North Cambridge","11","3","50 Churchill Ave","24th Middlesex","Second Middlesex","1104","5","11R","11D","11","9","G","355000","2","2005","250173550002005",
"24","Columbus Ave & Madison Ave","2","02140","-71.1361","42.4004","North Cambridge","11","3","50 Churchill Ave","24th Middlesex","Second Middlesex","1111","5","11R","11D","11","9","G","355000","1","1002","250173550001002",
"26","Massachusetts Ave & Newman St","2","02140","-71.1345","42.4003","North Cambridge","11","3","50 Churchill Ave","24th Middlesex","Second Middlesex","1111","5","11R","11D","11","9","G","355000","2","2009","250173550002009","Porter Square/North Mass. Ave."
"2206","Brookford St & Massachusetts Ave","2","02140","-71.1339","42.4","North Cambridge","11","3","50 Churchill Ave","24th Middlesex","Second Middlesex","1104","5","11R","11D","11","9","G","355000","2","2009","250173550002009","Porter Square/North Mass. Ave."
"28","Massachusetts Ave & Richard Ave","2","02140","-71.1338","42.4","North Cambridge","11","3","50 Churchill Ave","24th Middlesex","Second Middlesex","1111","5","11R","11D","11","9","G","355000","2","2009","250173550002009","Porter Square/North Mass. Ave."
"30","Columbus Ave & Harrison Ave","2","02140","-71.1371","42.3999","North Cambridge","11","3","50 Churchill Ave","24th Middlesex","Second Middlesex","1111","5","11R","11D","11","9","G","355000","1","1005","250173550001005",
"31","Washburn Ave & Washburn Ter","2","02140","-71.1308","42.3999","North Cambridge","11","3","50 Churchill Ave","24th Middlesex","Second Middlesex","1103","5","11R","11D","11","9","G","355000","2","2014","250173550002014",
"2203","Churchill Ave & Massachusetts Ave","2","02140","-71.1335","42.3998","North Cambridge","11","3","50 Churchill Ave","24th Middlesex","Second Middlesex","1104","5","11R","11D","11","9","G","355000","2","2009","250173550002009","Porter Square/North Mass. Ave."
"35","Gold Star Rd & Seven Pines Ave","2","02140","-71.13","42.3996","North Cambridge","11","3","50 Churchill Ave","24th Middlesex","Second Middlesex","1103","5","11R","11D","11","9","G","355000","2","2012","250173550002012",
"2201","Cottage Park Ave & Massachusetts Ave","2","02140","-71.1329","42.3995","North Cambridge","11","3","50 Churchill Ave","24th Middlesex","Second Middlesex","1111","5","11R","11D","11","9","G","355000","2","2009","250173550002009","Porter Square/North Mass. Ave."
"38","Columbus Ave & Kimball St & Seagrave Rd","3","02140","-71.138","42.3995","North Cambridge","11","3","50 Churchill Ave","24th Middlesex","Second Middlesex","1111","5","11R","11D","11","9","G","355000","1","1004","250173550001004",
"41","Gold Star Rd & Gold Star Road Ct","2","02140","-71.1303","42.3993","North Cambridge","11","3","50 Churchill Ave","24th Middlesex","Second Middlesex","1103","5","11R","11D","11","9","G","355000","2","2012","250173550002012",
"44","Camp St & Seven Pines Ave","2","02140","-71.1294","42.3992","North Cambridge","11","3","50 Churchill Ave","24th Middlesex","Second Middlesex","1103","5","11R","11D","11","9","G","355000","2","2012","250173550002012",
"2202","Alewife T Station Access Rd & Concord Tpk","2",,"-71.1472","42.3993",,,,,,,,,,,,,,,,,,
"48","Gold Star Rd & Morrison Ct","2","02140","-71.1307","42.399","North Cambridge","11","3","50 Churchill Ave","24th Middlesex","Second Middlesex","1103","5","11R","11D","11","9","G","355000","2","2012","250173550002012",
"49","Edmunds St & Massachusetts Ave","2","02140","-71.1321","42.399","North Cambridge","11","3","50 Churchill Ave","24th Middlesex","Second Middlesex","1111","5","11R","11D","11","9","G","355000","2","2009","250173550002009","Porter Square/North Mass. Ave."
"52","Alewife Brook Pkwy & Whittemore Ave","2","02140","-71.141","42.3989","North Cambridge","11","3","50 Churchill Ave","24th Middlesex","Second Middlesex","1111","5","11R","11D","11","9","G","354900","3","3004","250173549003004",
"53","Seagrave Rd & Whittemore Ave","2","02140","-71.1404","42.3988","North Cambridge","11","3","50 Churchill Ave","24th Middlesex","Second Middlesex","1111","5","11R","11D","11","9","G","355000","1","1004","250173550001004","Concord Alewife/Fresh Pond"
"54","Cameron Ave & Seven Pines Ave","2",,"-71.1287","42.3988",,,,,,,,,,,,,,,,,,
"55","Acorn Pk & Alewife T Station Access Rd","2",,"-71.1463","42.3989",,,,,,,,,,,,,,,,,,
