"fiscal_year","service","department","division","position_number","job_title","total_salary"
"2023","Public Safety","Fire","Headquarters & Fire Stations","F506-237","Fire Fighter","81050"
"2023","Public Safety","Police","Traffic Enforcement","T468-075","Traffic Supervisor/A3785","10959"
"2023","Public Safety","Emergency Communications","Communications Center","C508-018","Emergency Telecom Dispatcher","79973"
"2023","Public Safety","Fire","Headquarters & Fire Stations","F506-236","Fire Fighter","81948"
"2023","Public Safety","Police","Patrol","P465-090","Police Officer","86454"
"2023","Public Safety","Police","Traffic Enforcement","T468-074","Traffic Supervisor/A3785","10959"
"2023","General Government","Finance","Information Technology","M204-701","Technical Support Lvl 2","113123"
"2023","Public Safety","Emergency Communications","Communications Center","C508-017","Emergency Telecom Dispatcher","79573"
"2023","Public Safety","Fire","Headquarters & Fire Stations","F506-071","Fire Fighter","82009"
"2023","Public Safety","Fire","Headquarters & Fire Stations","F506-235","Fire Fighter","81589"
"2023","Public Safety","Police","Administration","A136-701","Police Mechanic","63114"
"2023","Public Safety","Police","Patrol","P465-086","Police Officer","103970"
"2023","Public Safety","Police","Patrol","S464-025","Police Sergeant","126685"
"2023","Public Safety","Police","Traffic Enforcement","T468-073","Traffic Supervisor/A3785","10959"
"2023","General Government","Executive","Office of Equity and Inclusion","M148-701","Dir. of Equity and Inclusion","124954"
"2023","General Government","Finance","Information Technology","M097-701","Systems Administration Manager","129089"
"2023","General Government","Law","Administration","M341-701","Public Records Access Officer","92312"
"2023","Public Safety","Emergency Communications","Communications Center","C508-016","Emergency Telecom Dispatcher","71422"
"2023","Public Safety","Fire","Headquarters & Fire Stations","F502-008","Fire Deputy Chief","134458"
"2023","Public Safety","Fire","Headquarters & Fire Stations","F506-068","Fire Fighter","81589"
"2023","Public Safety","Fire","Headquarters & Fire Stations","F506-151","Fire Fighter","81589"
"2023","Public Safety","Fire","Headquarters & Fire Stations","F506-234","Fire Fighter","81589"
"2023","Public Safety","Fire","Headquarters & Fire Stations","F505-054","Fire Lieutenant","96770"
"2023","Public Safety","Police","Administration","S463-046","Police Lieutenant","144698"
"2023","Public Safety","Police","Family and Social Justice","M337-704","Licensed Social Worker","89555"
"2023","Public Safety","Police","Patrol","P465-085","Police Officer","106406"
"2023","Public Safety","Police","Patrol","P465-209","Police Officer","102252"
"2023","Public Safety","Police","Patrol","S464-024","Police Sergeant","127371"
"2023","Public Safety","Police","Traffic Enforcement","T468-007","Traffic Supervisor/A3785","10959"
"2023","Public Safety","Police","Traffic Enforcement","T468-072","Traffic Supervisor/A3785","10959"
"2023","General Government","City Council","Administration","M255-705","Council Aide","70565"
"2023","General Government","Executive","Leadership","M617-701","PTDM Planning Officer","108263"
"2023","General Government","Finance","Budget","M351-701","Budget Analyst/Part.Bud.Coord.","65650"
"2023","General Government","Finance","Information Technology","M320-706","System Administrator, Level 1","105600"
"2023","General Government","Finance","Revenue","C094-004","Admin Asst/Fisc/Gen/Bld/R","64338"
"2023","General Government","Law","Administration","M434-001","Office Manager/Law","94415"
"2023","Public Safety","Electrical","Administration","C626-008","Electrician","79611"
"2023","Public Safety","Emergency Communications","Communications Center","C508-013","Emergency Telecom Dispatcher","79573"
"2023","Public Safety","Emergency Communications","Public Safety IT","M324-701","Radio Telecommunications Mgr.","124892"
"2023","Public Safety","Fire","Headquarters & Fire Stations","F502-007","Fire Deputy Chief","133097"
"2023","Public Safety","Fire","Headquarters & Fire Stations","F506-027","Fire Fighter","80870"
"2023","Public Safety","Fire","Headquarters & Fire Stations","F506-067","Fire Fighter","81589"
"2023","Public Safety","Fire","Headquarters & Fire Stations","F506-110","Fire Fighter","81948"
"2023","Public Safety","Fire","Headquarters & Fire Stations","F506-150","Fire Fighter","81635"
"2023","Public Safety","Fire","Headquarters & Fire Stations","F506-189","Fire Fighter","81050"
"2023","Public Safety","Fire","Headquarters & Fire Stations","F506-233","Fire Fighter","80727"
"2023","Public Safety","Fire","Headquarters & Fire Stations","F505-020","Fire Lieutenant","95815"
"2023","Public Safety","Fire","Headquarters & Fire Stations","F505-053","Fire Lieutenant","96724"
"2023","Public Safety","Inspectional Services","Inspection & Enforcement","M226-701","Records Coordinator","51066"
"2023","Public Safety","Police","Administration","S463-011","Police Lieutenant","146794"
"2023","Public Safety","Police","Criminal Investigations","P465-092","Police Officer","79940"
"2023","Public Safety","Police","Family and Social Justice","M337-701","Licensed Social Worker","96395"
"2023","Public Safety","Police","Patrol","P465-009","Police Officer","104685"
"2023","Public Safety","Police","Patrol","P465-084","Police Officer","81966"
"2023","Public Safety","Police","Patrol","P465-147","Police Officer","107479"
"2023","Public Safety","Police","Patrol","P465-206","Police Officer","102571"
"2023","Public Safety","Police","Patrol","P465-263","Police Officer","106406"
"2023","Public Safety","Police","Patrol","S464-023","Police Sergeant","129553"
"2023","Public Safety","Police","Tactical Operations","P465-065","Police Officer","107121"
"2023","Public Safety","Police","Traffic Enforcement","T468-006","Traffic Supervisor/A3785","10959"
"2023","Public Safety","Police","Traffic Enforcement","T468-043","Traffic Supervisor/A3785","10959"
"2023","Public Safety","Police","Traffic Enforcement","T468-071","Traffic Supervisor/A3785","10959"
"2023","General Government","City Clerk","Administration","C107-708","Principal Clerk","66192"
"2023","General Government","City Council","Administration","M255-704","Council Aide","70565"
"2023","General Government","Election Commission","Administration","C110-026","Sr Clerk & Typist","55219"
"2023","General Government","Executive","Leadership","M117-701","Manager/ Planning & Operations","120991"
"2023","General Government","Finance","Assessing","O013-701","Deputy DIrector/Assessor","139323"
"2023","General Government","Finance","Auditing","C171-702","Sr. Account Clerk/Audit","67775"
"2023","General Government","Finance","Information Technology","M166-701","GIS Senior Programmer  Analyst","113123"
"2023","General Government","Finance","Information Technology","M320-702","System Administrator, Level 1","104023"
"2023","General Government","Finance","Personnel","M189-001","Employee Benefits Svs Rep","73110"
"2023","General Government","Finance","Revenue","M015-701","Admin Asst/Cash Managemnt","74244"
"2023","General Government","Finance","Treasury","M511-701","Senior Payroll Analyst","74244"
"2023","General Government","Law","Administration","M167-701","First Asst City Solicitor","139614"
"2023","Public Safety","Animal Commission","Administration","A209-702","Animal Control Officer","68399"
"2023","Public Safety","Electrical","Administration","C626-007","Electrician","79611"
"2023","Public Safety","Emergency Communications","Communications Center","E374-004","Emerg Comm Supervisor","96746"
"2023","Public Safety","Emergency Communications","Communications Center","C508-012","Emergency Telecom Dispatcher","79573"
"2023","Public Safety","Emergency Communications","Communications Center","C508-040","Emergency Telecom Dispatcher","67731"
"2023","Public Safety","Emergency Communications","Public Safety IT","M319-701","Radio Telecomm/Sr. Sys. Admin.","114852"
"2023","Public Safety","Fire","Headquarters & Fire Stations","F503-007","Fire Captain","114255"
"2023","Public Safety","Fire","Headquarters & Fire Stations","F502-006","Fire Deputy Chief","134519"
"2023","Public Safety","Fire","Headquarters & Fire Stations","F506-008","Fire Fighter","81050"
"2023","Public Safety","Fire","Headquarters & Fire Stations","F506-026","Fire Fighter","82009"
"2023","Public Safety","Fire","Headquarters & Fire Stations","F506-046","Fire Fighter","81948"
"2023","Public Safety","Fire","Headquarters & Fire Stations","F506-066","Fire Fighter","81635"
"2023","Public Safety","Fire","Headquarters & Fire Stations","F506-091","Fire Fighter","81948"
"2023","Public Safety","Fire","Headquarters & Fire Stations","F506-109","Fire Fighter","81948"
"2023","Public Safety","Fire","Headquarters & Fire Stations","F506-130","Fire Fighter","81589"
"2023","Public Safety","Fire","Headquarters & Fire Stations","F506-149","Fire Fighter","81948"
"2023","Public Safety","Fire","Headquarters & Fire Stations","F506-170","Fire Fighter","80870"
"2023","Public Safety","Fire","Headquarters & Fire Stations","F506-188","Fire Fighter","81635"
"2023","Public Safety","Fire","Headquarters & Fire Stations","F506-210","Fire Fighter","81074"
"2023","Public Safety","Fire","Headquarters & Fire Stations","F506-231","Fire Fighter","65249"
"2023","Public Safety","Fire","Headquarters & Fire Stations","F505-001","Fire Lieutenant","96104"
"2023","Public Safety","Fire","Headquarters & Fire Stations","F505-019","Fire Lieutenant","97197"
"2023","Public Safety","Fire","Headquarters & Fire Stations","F505-037","Fire Lieutenant","97136"
"2023","Public Safety","Fire","Headquarters & Fire Stations","F505-052","Fire Lieutenant","96770"
