"trackingnumber","classification","location","toweddatetime","state","year","make","model","color","towedby","reason"
"22074076","INVEST          ","HINGHAM ST","2022-07-31T22:42:27.000","MA             ","2010","HOND                     ","CIVIC          ","BLUE                     ","B&B:CITY                 ",
"22074048","MV ABANDONED    ","3XX RINDGE AVE","2022-07-31T20:25:15.000","MA             ","2010","NISS                     ","MAXIMA         ","RED                      ","PHILS:CITY               ",
"22073949","PRIVATE TOWS    ","GENERAL LOCATIONS IN CAMBRIDGE","2022-07-31T19:24:21.000","MA             ","2016","JEEP                     ","PATRIOT        ",,"OTR:PRIVATE TOW-SEE REA  ","REPO/208 PEARL ST                                 "
"22073979","MV STOP         ","GARDEN ST","2022-07-31T17:22:08.000","MA             ","2016","KIA                      ","OPTIMA         ","WHITE                    ","B&B:CITY                 ","MASS & GARDEN                                     "
"22073949","PRIVATE TOWS    ","GENERAL LOCATIONS IN CAMBRIDGE","2022-07-31T14:45:28.000","MA             ","2014","HOND                     ","CR-V           ","GRAY                     ","B&B:PRIVATE              ","402 RINDGE AVE / CC # 102823                      "
"22073923","MV OBSTRUCTING  ","3XX HARVARD ST","2022-07-31T13:04:52.000","MA             ","2012","HOND                     ","ODYSSE         ","BLACK                    ","B&B:CITY                 ","329 HARVARD ST / OBSTRUCTING PERMIT SPOT          "
"22073923","MV OBSTRUCTING  ","3XX HARVARD ST","2022-07-31T12:53:29.000","MA             ","2012","HOND                     ","ODYSSE         ","BLACK                    ","B&B:CITY                 ","329 HARVARD ST / OBSTRUCTING PERMIT SPOT          "
"22073884","MV OBSTRUCTING  ","0XX GARDEN ST","2022-07-31T10:59:31.000","NY             ","2021","AUDI                     ","Q5             ","GRAY                     ","PHILS:CITY               ","29 GARDEN ST                                      "
"22073884","MV OBSTRUCTING  ","0XX GARDEN ST","2022-07-31T10:24:51.000","MA             ","2009","TOYT                     ","CAMRY          ","GRAY                     ","B&B:CITY                 ",
"22073868","MV OBSTRUCTING  ","2XX HARVARD ST","2022-07-31T08:46:23.000","MA             ","2002","TOYT                     ","CAMRY          ",,"B&B:CITY                 ",
"22073785","MV DISABLED     ","6XX CAMBRIDGE ST","2022-07-30T22:47:59.000","MA             ","2007","HOND                     ","CIVIC          ","BLUE                     ","PHILS:CITY               ","DMV - 660 CAMBRIDGE ST                            "
"22073514","PRIVATE TOWS    ","GENERAL LOCATIONS IN CAMBRIDGE","2022-07-30T21:06:58.000",,"2019","TOYT                     ","CAM            ","GRAY                     ","B&B:PRIVATE              ","TEMPO - 203 CONCORD                               "
"22073514","PRIVATE TOWS    ","GENERAL LOCATIONS IN CAMBRIDGE","2022-07-30T20:59:23.000","MA             ","2021","JEEP                     ","COMPASS        ",,"B&B:PRIVATE              ","VOX ON 2 - 223 CONCORD                            "
"22073514","PRIVATE TOWS    ","GENERAL LOCATIONS IN CAMBRIDGE","2022-07-30T20:56:01.000",,"2022","KIA                      ","K5             ","WHITE                    ","B&B:PRIVATE              ","VOX ON 2 - 223 CONCORD                            "
"22073514","PRIVATE TOWS    ","GENERAL LOCATIONS IN CAMBRIDGE","2022-07-30T20:55:28.000",,"2021","VOLK                     ","TIGUAN         ","BLUE                     ","B&B:PRIVATE              ","675 CONCORD CC102861                              "
"22073514","PRIVATE TOWS    ","GENERAL LOCATIONS IN CAMBRIDGE","2022-07-30T20:54:01.000","MA             ","2019","HOND                     ","HR-V           ","BLACK                    ","B&B:PRIVATE              ","675 CONCORD CC102861                              "
"22073697","PARK & WALK     ","GARDEN ST","2022-07-30T17:26:51.000","MA             ","2016","HOND                     ","ACCORD         ","BLUE                     ","PHILS:CITY               ","RMV VIOLATION - GARDEN & FERNALD                  "
"22073514","PRIVATE TOWS    ","GENERAL LOCATIONS IN CAMBRIDGE","2022-07-30T16:58:21.000","MA             ","2014","LEXS                     ","ES             ","BLACK                    ","B&B:PRIVATE              ","80 CAMBRIDGE PARK DRIVE                           "
"22073514","PRIVATE TOWS    ","GENERAL LOCATIONS IN CAMBRIDGE","2022-07-30T15:17:20.000","MA             ","2009","NISS                     ","ALTIMA         ","RED                      ","B&B:PRIVATE              ","91 SIDNEY ST                                      "
"22073514","PRIVATE TOWS    ","GENERAL LOCATIONS IN CAMBRIDGE","2022-07-30T15:17:12.000","MA             ","2009","NISS                     ","ALTIMA         ","RED                      ","B&B:PRIVATE              ","91 SIDNEY ST                                      "
"22073514","PRIVATE TOWS    ","GENERAL LOCATIONS IN CAMBRIDGE","2022-07-30T15:16:38.000","MA             ","2009","NISS                     ","ALTIMA         ","RED                      ","B&B:PRIVATE              ","91 SIDNEY ST                                      "
"22073514","PRIVATE TOWS    ","GENERAL LOCATIONS IN CAMBRIDGE","2022-07-30T11:18:12.000","SC             ","2012","ACUR                     ","TL             ",,"PATS:PRIVATE             ","115 PROSPECT WHOLE FOODS CC:741220                "
"22073547","MV OBSTRUCTING  ","0XX HOLDEN ST","2022-07-30T10:04:52.000","MA             ","2017","KIA                      ","SORENT         ","RED                      ","PHILS:CITY               ","MV OBS / 10 HOLDEN ST                             "
"22073546","MV OBSTRUCTING  ","0XX SHERMAN ST","2022-07-30T09:53:01.000","MA             ","2006","FORD                     ","FREEST         ","GREEN                    ","B&B:CITY                 ","MV OBS / DANEHY PARK SHERMAN ST SIDE              "
"22073514","PRIVATE TOWS    ","GENERAL LOCATIONS IN CAMBRIDGE","2022-07-30T05:02:26.000","MA             ","2021","TOYT                     ","HIGHLANDER     ",,"PHILS:PRIVATE            ","FROM LEIGHTON ST CC2626                           "
"22073514","PRIVATE TOWS    ","GENERAL LOCATIONS IN CAMBRIDGE","2022-07-30T05:02:04.000","NY             ","2016","LAND ROVER               ","RANGE ROVER    ","BLACK                    ","PHILS:PRIVATE            ","FROM GLASSWORKS CC2630                            "
"22073487","MV STOP         ","0XX BRATTLE SQ","2022-07-30T01:25:05.000","MA             ","2009","HOND                     ","ACCORD         ","BLACK                    ","B&B:CITY                 ","WMS ARREST                                        "
"22073413","PRIVATE TOWS    ","GENERAL LOCATIONS IN CAMBRIDGE","2022-07-29T22:20:55.000","MA             ","2019","BMW                      ","M850XI         ",,"B&B:PRIVATE              ","FROM 100 CPD CC102850                             "
"22073413","PRIVATE TOWS    ","GENERAL LOCATIONS IN CAMBRIDGE","2022-07-29T22:08:45.000","MA             ","2014","AUDI                     ","A4             ","BROWN                    ","B&B:PRIVATE              ","203 CONCORD TPKE   CC# 102838                     "
"22073413","PRIVATE TOWS    ","GENERAL LOCATIONS IN CAMBRIDGE","2022-07-29T21:44:21.000","MA             ","2004","VOLK                     ","JETTA          ","BLACK                    ","B&B:PRIVATE              ",
"22073413","PRIVATE TOWS    ","GENERAL LOCATIONS IN CAMBRIDGE","2022-07-29T20:21:13.000","MA             ","2010","HOND                     ","CIVIC          ","GRAY                     ","B&B:PRIVATE              ","203 CONCORD TPKE   CC#102832                      "
"22073413","PRIVATE TOWS    ","GENERAL LOCATIONS IN CAMBRIDGE","2022-07-29T20:20:46.000","MA             ","2017","FORD                     ","FUSION         ","WHITE                    ","B&B:PRIVATE              ",
"22073413","PRIVATE TOWS    ","GENERAL LOCATIONS IN CAMBRIDGE","2022-07-29T20:20:41.000","MA             ","2018","HOND                     ","CR-V           ","WHITE                    ","B&B:PRIVATE              ",
"22073345","PARK & WALK     ","1XX PROSPECT ST","2022-07-29T17:42:28.000","MA             ","2013","HOND                     ","ACCORD         ","BLACK                    ","PHILS:CITY               ","REVO/INS, 137 PROSPECT ST                         "
"22073325","MV ACC NO PI    ","1XX WESTERN AVE","2022-07-29T17:05:20.000","CA             ","2008","MAZD                     ","BTM            ",,"B&B:CITY                 ","MVA / 132 WESTERN AVE                             "
"22073325","MV ACC NO PI    ","1XX WESTERN AVE","2022-07-29T16:54:00.000","MA             ","2015","TOYT                     ","CAMRY          ","GRAY                     ","PHILS:CITY               ","MVA / 132 WESTERN AVE                             "
"22073280","MV OBSTRUCTING  ","2XX ELM ST","2022-07-29T13:45:37.000","MA             ","2013","FORD                     ","TRANSI         ","WHITE                    ","B&B:CITY                 ",
