"crash_number","date_time","day_of_week","object_1","object_2","street_number","steet_name","cross_street","location","latitude","longitude","coordinates"
"23809","2010-02-17T10:12:00.000","Wednesday","Auto","Pedestrian",,"MAIN ST","Osborn St"," MAIN ST & Osborn St Cambridge, MA","42.363101999999998","-71.095277999999993",
"23810","2010-02-17T17:00:00.000","Wednesday","Auto","Auto",,"FIRST ST","Binney St"," FIRST ST & Binney St Cambridge, MA","42.365141999999999","-71.078205999999994",
"23811","2010-02-18T09:52:00.000","Thursday","Auto","Pedestrian",,"Brattle St","Appian Way"," Brattle St & Appian Way Cambridge, MA","42.374856000000001","-71.122344999999996",
"23812","2010-02-18T14:45:00.000","Thursday","Auto","Auto",,"DOUGLASS ST","Massachusetts Ave"," DOUGLASS ST & Massachusetts Ave Cambridge, MA","42.363897000000001","-71.101190000000003",
"23815","2010-02-18T15:00:00.000","Thursday","Auto","Auto","68","Brookline St",,"68 Brookline St Cambridge, MA","42.362551000000003","-71.102564000000001",
"23817","2010-02-19T13:15:00.000","Friday","Auto","Fixed Object","124","OXFORD ST",,"124 OXFORD ST Cambridge, MA","42.384385000000002","-71.115981000000005",
"23818","2010-02-19T14:45:00.000","Friday","Auto","Auto",,"HURON AVE","FAYERWEATHER ST"," HURON AVE & FAYERWEATHER ST Cambridge, MA","42.381304999999998","-71.137337000000002",
"23820","2010-02-19T21:30:00.000","Friday","Auto","Bicycle",,"Hampshire St","PROSPECT ST"," Hampshire St & PROSPECT ST Cambridge, MA","42.372202000000001","-71.098974999999996",
"23823","2010-02-19T22:12:00.000","Friday","Auto","Auto",,"Aberdeen Way","HURON AVE"," Aberdeen Way & HURON AVE Cambridge, MA","42.378762999999999","-71.147295",
"23833","2010-02-20T00:00:00.000","Unknown","Auto","Parked Vehicle","700","HURON AVE",,"700 HURON AVE Cambridge, MA","42.380859999999998","-71.15455",
"23819","2010-02-20T10:05:00.000","Saturday","Auto","Auto","2002","Massachusetts Ave",,"2002 Massachusetts Ave Cambridge, MA","42.368924999999997","-71.110257000000004",
"23822","2010-02-20T15:40:00.000","Saturday","Auto","Miscellaneous",,"Massachusetts Ave","DAY ST"," Massachusetts Ave & DAY ST Cambridge, MA","42.393960999999997","-71.126382000000007",
"23821","2010-02-20T16:40:00.000","Saturday","Auto","Pedestrian","282","Massachusetts Ave",,"282 Massachusetts Ave Cambridge, MA","42.361887000000003","-71.098112999999998",
"23824","2010-02-20T17:29:00.000","Saturday","Auto","Miscellaneous","700","HURON AVE",,"700 HURON AVE Cambridge, MA","42.380859999999998","-71.15455",
"23825","2010-02-20T19:40:00.000","Saturday","Auto","Auto",,"Peabody St","Massachusetts Ave"," Peabody St & Massachusetts Ave Cambridge, MA","42.374070000000003","-71.118838999999994",
"23816","2010-02-21T12:30:00.000","Sunday","Auto","Fixed Object",,"Callender St","Magee St"," Callender St & Magee St Cambridge, MA","42.365324999999999","-71.111564999999999",
"23829","2010-02-21T15:14:00.000","Sunday","Auto","Auto","799","Concord Ave",,"799 Concord Ave Cambridge, MA","42.391447999999997","-71.155467000000002",
"23711","2010-02-21T15:20:00.000","Thursday","Auto","Auto",,"Broadway","Windsor St"," Broadway & Windsor St Cambridge, MA","42.367106999999997","-71.095416",
"23827","2010-02-22T00:55:00.000","Monday","Auto","Auto","18","Beech St",,"18 Beech St Cambridge, MA","42.391157999999997","-71.119421000000003",
"23830","2010-02-22T08:29:00.000","Monday","Auto","Taxi","95","DUDLEY ST",,"95 DUDLEY ST Cambridge, MA","42.395833000000003","-71.132891000000001",
"23834","2010-02-22T15:59:00.000","Monday","Auto","Parked Vehicle","777","MEMORIAL DR",,"777 MEMORIAL DR Cambridge, MA","42.358752000000003","-71.114977999999994",
"23826","2010-02-22T17:07:00.000","Monday","Auto","Fixed Object",,"Massachusetts Ave","Porter St"," Massachusetts Ave & Porter St Cambridge, MA","42.390040999999997","-71.120684999999995",
"23828","2010-02-22T18:24:00.000","Monday","Auto","Pedestrian",,"PRESCOTT ST","HARVARD ST"," PRESCOTT ST & HARVARD ST Cambridge, MA","42.372056999999998","-71.114234999999994",
"23831","2010-02-22T21:14:00.000","Monday","Auto","Parked Vehicle",,"Cambridge St","FIRST ST"," Cambridge St & FIRST ST Cambridge, MA","42.370635999999998","-71.076933999999994",
"23832","2010-02-23T07:32:00.000","Tuesday","Auto","Auto",,"Broadway","ELLERY ST"," Broadway & ELLERY ST Cambridge, MA","42.372751999999998","-71.109728000000004",
"23835","2010-02-23T22:44:00.000","Tuesday","Auto","Auto","10","GARFIELD ST",,"10 GARFIELD ST Cambridge, MA","42.383758999999998","-71.119021000000004",
"23841","2010-02-24T09:30:00.000","Wednesday","Auto","Fixed Object",,"MOUNT AUBURN ST","Willard St"," MOUNT AUBURN ST & Willard St Cambridge, MA","42.374569000000001","-71.128428",
"23837","2010-02-24T16:19:00.000","Wednesday","Auto","Parked Vehicle",,"Bigelow St","Massachusetts Ave"," Bigelow St & Massachusetts Ave Cambridge, MA","42.366995000000003","-71.106342999999995",
