Crash Number,Date Time,Day Of Week,Object 1,Object 2,Street Number,Steet Name,Cross Street,Location,Latitude,Longitude,Coordinates,cambridge_cdd_zoning,cambridge_zipcodes,cambridge_neighborhoods
23669,01/08/2010 07:30:00 PM,Friday,Auto,Parked Vehicle,,Shepard St,," Shepard St &  Cambridge, MA",,,,,,
31363,09/24/2012 11:29:00 PM,Friday,Auto,Bicycle,,PROSPECT ST,," PROSPECT ST &  Cambridge, MA",,,,,,
1500000120,01/25/2015 11:04:00 AM,Sunday,PASSENGER CAR,,6,CHANNING PL,,6 CHANNING PL,42.377399400000002,-71.1360016,,,,
25160,12/05/2010 01:31:00 PM,Sunday,Auto,Bicycle,1672,Massachusetts Ave,HUDSON ST,"1672 Massachusetts Ave Cambridge, MA",42.382134000000001,-71.119877000000002,,,,
29858,10/29/2013 11:55:00 AM,Tuesday,Auto,Fixed Object,563,Franklin St,,"563 Franklin St Cambridge, MA",42.368212999999997,-71.112081000000003,,,,
26787,11/12/2011 02:45:00 AM,Saturday,Auto,Parked Vehicle,,North Point Blvd,Education Way," North Point Blvd & Education Way Cambridge, MA",42.369824999999999,-71.069733999999997,,,,
30967,06/29/2012 05:45:00 PM,,Auto,Bicycle,26,GARDEN ST,,"26 GARDEN ST Cambridge, MA",42.378143000000001,-71.123817000000003,,,,
29206,06/01/2013 10:18:00 AM,Saturday,Auto,Auto,,Broadway,Portland St," Broadway & Portland St Cambridge, MA",42.365791999999999,-71.092070000000007,,,,
25016,10/31/2010 12:34:00 PM,Sunday,Auto,Auto,,MOUNT AUBURN ST,Aberdeen Way," MOUNT AUBURN ST & Aberdeen Way Cambridge, MA",42.375273999999997,-71.145841000000004,,,,
1500000737,05/18/2015 06:17:00 PM,Monday,"LIGHT TRUCK(VAN, MINI VAN, PICK-UP, SPORT UTILITY)","LIGHT TRUCK(VAN, MINI VAN, PICK-UP, SPORT UTILITY)",47,WHITE STREET,,47 WHITE STREET,42.389598800000002,-71.117103599999894,,,,
33004,10/23/2014 05:16:00 PM,Saturday,Auto,Auto,,Hampshire St,Cambridge St,"Hampshire St & Cambridge St Cambridge, MA",42.373729699999998,-71.1008377,,,,
33003,10/23/2014 02:24:00 PM,Thursday,Taxi,Fixed Object,124,Otis St,,"124 Otis St Cambridge, MA",42.370803799999997,-71.0837784,,,,
31356,09/30/2012 10:50:00 AM,Sunday,Auto,Auto,319,Concord Ave,,"319 Concord Ave Cambridge, MA",42.384338999999997,-71.134913999999995,,,,
1600000073,01/17/2016 10:37:00 PM,Sunday,PASSENGER CAR,PASSENGER CAR,,BROADWAY,NORFOLK,BROADWAY & NORFOLK,42.368499800000002,-71.098999000000006,,,,
29156,05/21/2013 08:35:00 AM,Tuesday,Auto,Bicycle,,Third St,Rogers St," Third St & Rogers St Cambridge, MA",42.366388000000001,-71.082001000000005,,,,
24659,08/25/2010 08:22:00 PM,Wednesday,Auto,Bicycle,,Cambridge St,HARDING ST," Cambridge St & HARDING ST Cambridge, MA",42.372408999999998,-71.090655999999996,,,,
25238,12/22/2010 03:18:00 PM,,Auto,Auto,,Putnam Ave,River St," Putnam Ave & River St Cambridge, MA",42.362257,-71.113546999999997,,,,
30745,05/15/2012 02:29:00 PM,Tuesday,Auto,Auto,,Massachusetts Ave,Rindge Ave," Massachusetts Ave & Rindge Ave Cambridge, MA",42.392614999999999,-71.124874000000005,,,,
25643,02/27/2011 12:53:00 PM,Sunday,Auto,Auto,,Rockwell St,PLEASANT ST," Rockwell St & PLEASANT ST Cambridge, MA",42.362051999999998,-71.110533000000004,,,,
28918,03/27/2013 02:03:00 PM,Wednesday,Auto,Auto,,Putnam Ave,KINNAIRD ST," Putnam Ave & KINNAIRD ST Cambridge, MA",42.367941999999999,-71.113525999999993,,,,
26136,06/24/2011 09:56:00 AM,Friday,Auto,Auto,,HURON AVE,FAYERWEATHER ST," HURON AVE & FAYERWEATHER ST Cambridge, MA",42.381304999999998,-71.137337000000002,,,,
30004,11/30/2013 03:43:00 PM,Saturday,Truck,Parked Vehicle,699,MOUNT AUBURN ST,,"699 MOUNT AUBURN ST Cambridge, MA",42.375056999999998,-71.148745000000005,,,,
32669,09/14/2014 10:53:00 PM,Sunday,Auto,Fixed Object,,Sixth St,Binney St,"Sixth St & Binney St Cambridge, MA",42.366149900000003,-71.086074800000006,,,,
1500001586,11/16/2015 01:15:00 PM,Monday,PASSENGER CAR,PASSENGER CAR,101,BRATTLE STREET,,101 BRATTLE STREET,42.376300800000003,-71.126098600000006,,,,
30937,06/22/2012 06:20:00 PM,Friday,Auto,Auto,,Massachusetts Ave,Rindge Ave," Massachusetts Ave & Rindge Ave Cambridge, MA",42.392614999999999,-71.124874000000005,,,,
29758,10/10/2013 12:55:00 PM,Thursday,Taxi,Bicycle,,Rindge Ave,MONTGOMERY ST," Rindge Ave & MONTGOMERY ST Cambridge, MA",42.393507,-71.133106999999995,,,,
28593,01/07/2013 02:49:00 PM,Monday,Auto,Pedestrian,,Walden St,Richdale Ave," Walden St & Richdale Ave Cambridge, MA",42.388942,-71.125,,,,
32661,09/10/2014 05:19:00 PM,Wednesday,Auto,Parked Vehicle,100,Cambridgeside Pl,FIRST ST,"100 Cambridgeside Pl Cambridge, MA",42.367080700000002,-71.076568600000002,,,,
1600000128,01/31/2016 01:09:00 PM,Sunday,PASSENGER CAR,,,MASS AVE,VASSAR STREET,MASS AVE & VASSAR STREET,42.360199000000001,-71.094902000000005,,,,
31738,01/30/2014 01:25:00 PM,Thursday,Auto,Auto,,Coolidge Ave,MOUNT AUBURN ST,"Coolidge Ave & MOUNT AUBURN ST Cambridge, MA",42.374938999999998,-71.139717099999999,,,,
31264,09/10/2012 04:02:00 PM,Monday,Auto,Parked Vehicle,6,GARDEN ST,,"6 GARDEN ST Cambridge, MA",42.375824000000001,-71.121889999999993,,,,
29671,09/24/2013 09:45:00 AM,Tuesday,Auto,Auto,,Upland Rd,MASSACHUSETTS  AVE BRDG," Upland Rd & MASSACHUSETTS  AVE BRDG Cambridge, MA",42.388173000000002,-71.119405999999998,,,,
1600000596,05/21/2016 07:04:00 AM,Saturday,PASSENGER CAR,,,CUSHING STREET,HURON AVE,CUSHING STREET & HURON AVE,42.380001100000001,-71.152397199999896,,,,
25474,02/02/2011 12:00:00 PM,Wednesday,Auto,Parked Vehicle,1,Lancaster St,,"1 Lancaster St Cambridge, MA",42.385671000000002,-71.119594000000006,,,,
32084,04/30/2014 08:00:00 AM,Wednesday,Auto,Auto,,FULKERSON ST,Rogers St,"FULKERSON ST & Rogers St Cambridge, MA",42.367134100000001,-71.088050800000005,,,,
25927,05/07/2011 06:49:00 AM,,Auto,Auto,,PEARL ST,Chestnut St," PEARL ST & Chestnut St Cambridge, MA",42.357534000000001,-71.110372999999996,,,,
25010,10/29/2010 08:10:00 PM,Friday,Auto,Pedestrian,99,MOUNT AUBURN ST,,"99 MOUNT AUBURN ST Cambridge, MA",42.372852000000002,-71.120616999999996,,,,
1500001659,12/08/2015 12:52:00 PM,Tuesday,PASSENGER CAR,PASSENGER CAR,,PEARL ST,PUTNAM,PEARL ST & PUTNAM,42.358299299999899,-71.109596300000007,,,,
1600000811,06/29/2016 05:31:00 PM,Wednesday,"LIGHT TRUCK(VAN, MINI VAN, PICK-UP, SPORT UTILITY)",,1791,MASSACHUSETTS AVENUE,,1791 MASSACHUSETTS AVENUE,42.386299100000002,-71.119201700000005,,,,
