"age","week","count"
"0 - 19","3/1/2020","0"
"20 - 29","3/1/2020","0"
"30 - 39","3/1/2020","1"
"40 - 49","3/1/2020","2"
"50 - 59","3/1/2020","1"
"60 - 69","3/1/2020","0"
"70 - 79","3/1/2020","1"
"80+","3/1/2020","1"
"0 - 19","3/8/2020","0"
"20 - 29","3/8/2020","7"
"30 - 39","3/8/2020","6"
"40 - 49","3/8/2020","1"
"50 - 59","3/8/2020","3"
"60 - 69","3/8/2020","0"
"70 - 79","3/8/2020","1"
"80+","3/8/2020","0"
"0 - 19","3/15/2020","2"
"20 - 29","3/15/2020","7"
"30 - 39","3/15/2020","8"
"40 - 49","3/15/2020","6"
"50 - 59","3/15/2020","6"
"60 - 69","3/15/2020","3"
"70 - 79","3/15/2020","1"
"80+","3/15/2020","1"
"0 - 19","3/22/2020","1"
"20 - 29","3/22/2020","11"
"30 - 39","3/22/2020","9"
"40 - 49","3/22/2020","10"
"50 - 59","3/22/2020","6"
"60 - 69","3/22/2020","8"
"70 - 79","3/22/2020","2"
"80+","3/22/2020","4"
"0 - 19","3/29/2020","1"
"20 - 29","3/29/2020","12"
"30 - 39","3/29/2020","13"
"40 - 49","3/29/2020","18"
"50 - 59","3/29/2020","11"
"60 - 69","3/29/2020","15"
"70 - 79","3/29/2020","8"
"80+","3/29/2020","3"
"0 - 19","4/5/2020","0"
"20 - 29","4/5/2020","17"
"30 - 39","4/5/2020","13"
"40 - 49","4/5/2020","17"
"50 - 59","4/5/2020","15"
"60 - 69","4/5/2020","12"
"70 - 79","4/5/2020","12"
"80+","4/5/2020","10"
"0 - 19","4/12/2020","1"
"20 - 29","4/12/2020","10"
"30 - 39","4/12/2020","19"
"40 - 49","4/12/2020","13"
"50 - 59","4/12/2020","23"
"60 - 69","4/12/2020","22"
"70 - 79","4/12/2020","9"
"80+","4/12/2020","2"
"0 - 19","4/19/2020","1"
"20 - 29","4/19/2020","13"
"30 - 39","4/19/2020","17"
"40 - 49","4/19/2020","15"
"50 - 59","4/19/2020","9"
"60 - 69","4/19/2020","26"
"70 - 79","4/19/2020","15"
"80+","4/19/2020","4"
"0 - 19","4/26/2020","0"
"20 - 29","4/26/2020","4"
"30 - 39","4/26/2020","7"
"40 - 49","4/26/2020","6"
"50 - 59","4/26/2020","5"
"60 - 69","4/26/2020","9"
"70 - 79","4/26/2020","4"
"80+","4/26/2020","7"
"0 - 19","5/3/2020","3"
"20 - 29","5/3/2020","8"
"30 - 39","5/3/2020","9"
"40 - 49","5/3/2020","8"
"50 - 59","5/3/2020","10"
"60 - 69","5/3/2020","4"
"70 - 79","5/3/2020","3"
"80+","5/3/2020","4"
"0 - 19","5/10/2020","0"
"20 - 29","5/10/2020","6"
"30 - 39","5/10/2020","5"
"40 - 49","5/10/2020","5"
"50 - 59","5/10/2020","3"
"60 - 69","5/10/2020","6"
"70 - 79","5/10/2020","3"
"80+","5/10/2020","2"
"0 - 19","5/17/2020","3"
"20 - 29","5/17/2020","7"
"30 - 39","5/17/2020","5"
"40 - 49","5/17/2020","5"
"50 - 59","5/17/2020","5"
"60 - 69","5/17/2020","9"
"70 - 79","5/17/2020","3"
"80+","5/17/2020","2"
"0 - 19","5/24/2020","1"
"20 - 29","5/24/2020","4"
"30 - 39","5/24/2020","2"
"40 - 49","5/24/2020","5"
"50 - 59","5/24/2020","3"
"60 - 69","5/24/2020","5"
"70 - 79","5/24/2020","0"
"80+","5/24/2020","1"
"0 - 19","5/31/2020","2"
"20 - 29","5/31/2020","2"
"30 - 39","5/31/2020","4"
"40 - 49","5/31/2020","2"
"50 - 59","5/31/2020","1"
"60 - 69","5/31/2020","2"
"70 - 79","5/31/2020","1"
"80+","5/31/2020","3"
"0 - 19","6/7/2020","0"
"20 - 29","6/7/2020","4"
"30 - 39","6/7/2020","2"
"40 - 49","6/7/2020","0"
"50 - 59","6/7/2020","2"
"60 - 69","6/7/2020","1"
"70 - 79","6/7/2020","1"
"80+","6/7/2020","0"
"0 - 19","6/14/2020","1"
"20 - 29","6/14/2020","4"
"30 - 39","6/14/2020","1"
"40 - 49","6/14/2020","2"
"50 - 59","6/14/2020","2"
"60 - 69","6/14/2020","0"
"70 - 79","6/14/2020","0"
"80+","6/14/2020","0"
"0 - 19","6/21/2020","0"
"20 - 29","6/21/2020","9"
"30 - 39","6/21/2020","2"
"40 - 49","6/21/2020","0"
"50 - 59","6/21/2020","0"
"60 - 69","6/21/2020","1"
"70 - 79","6/21/2020","0"
"80+","6/21/2020","1"
"0 - 19","6/28/2020","1"
"20 - 29","6/28/2020","6"
"30 - 39","6/28/2020","2"
"40 - 49","6/28/2020","2"
"50 - 59","6/28/2020","1"
"60 - 69","6/28/2020","0"
"70 - 79","6/28/2020","1"
"80+","6/28/2020","0"
"0 - 19","7/5/2020","1"
"20 - 29","7/5/2020","6"
"30 - 39","7/5/2020","2"
"40 - 49","7/5/2020","1"
"50 - 59","7/5/2020","1"
"60 - 69","7/5/2020","2"
"70 - 79","7/5/2020","0"
"80+","7/5/2020","0"
"0 - 19","7/12/2020","1"
"20 - 29","7/12/2020","7"
"30 - 39","7/12/2020","7"
"40 - 49","7/12/2020","2"
"50 - 59","7/12/2020","2"
"60 - 69","7/12/2020","0"
"70 - 79","7/12/2020","0"
"80+","7/12/2020","0"
"0 - 19","7/19/2020","2"
"20 - 29","7/19/2020","12"
"30 - 39","7/19/2020","4"
"40 - 49","7/19/2020","1"
