"company_name","company_name_additional","doing_business_as_dba","street_address","zip_code","first_issue_date","permit_start_date","permit_end_date","licensed_capacity","monday_opening","monday_close","tuesday_opening","tuesday_close","wednesday_opening","wednesday_close","thursday_opening","thursday_close","friday_opening","friday_close","saturday_opening","saturday_close","sunday_opening","sunday_close"
"Tomiko Inc",,"Cafe Sushi","50 Stanton Road","02139","1992-06-26T20:27:17.000","2017-01-01T05:00:00.000","2018-01-01T04:59:59.000","85","03:00:00","20:00:00","03:00:00","20:00:00","03:00:00","20:00:00","03:00:00","20:00:00","03:00:00","20:00:00","03:00:00","20:00:00","07:00:00","20:00:00"
"The Royal Bharat Inc","The Royal Bharat Inc","India Pavilion","17-19 Central Square","02139","1992-07-01T18:17:57.000","2017-01-01T05:00:00.000","2018-01-01T04:59:59.000","95","03:00:00","20:00:00","03:00:00","20:00:00","03:00:00","20:00:00","03:00:00","20:00:00","03:00:00","20:00:00","03:00:00","20:00:00","19:00:00","20:00:00"
"L.C.W. Associates, Inc",,"Royal East Restaurant","782-792 Main Street","02138","1992-10-23T19:03:35.000","2017-01-01T05:00:00.000","2018-01-01T04:59:59.000","206","03:00:00","20:00:00","03:00:00","20:00:00","03:00:00","20:00:00","03:00:00","20:00:00","03:00:00","20:00:00","03:00:00","20:00:00","06:00:00","20:00:00"
"Almeida Cafe, Inc.","Almeida Cafe, Inc.","Casa Portugal","1200 Cambridge Street","02141","1992-11-02T15:21:41.000","2017-01-01T05:00:00.000","2018-01-01T04:59:59.000","49","03:00:00","20:00:00","03:00:00","20:00:00","03:00:00","20:00:00","03:00:00","20:00:00","03:00:00","20:00:00","03:00:00","20:00:00","18:00:00","20:00:00"
"Bright Star Lunch, Inc.","Bright Star Lunch Inc","Courtside","291-199 Cambridge Street","02141","1992-11-02T15:35:15.000","2017-01-01T05:00:00.000","2018-01-01T04:59:59.000","192","03:00:00","20:00:00","03:00:00","20:00:00","03:00:00","20:00:00","03:00:00","20:00:00","03:00:00","20:00:00","03:00:00","20:00:00","06:00:00","20:00:00"
"Science Partners Incorporated",,"Miracle Of Science Bar & Grill","4 Brattle Street #210","02138","1992-11-02T18:44:40.000","2017-01-01T05:00:00.000","2018-01-01T04:59:59.000","71","03:00:00","20:00:00","03:00:00","20:00:00","03:00:00","20:00:00","03:00:00","20:00:00","03:00:00","20:00:00","03:00:00","20:00:00","04:00:00","20:00:00"
"Temple, Inc.",,"Temple Bar & Grille","1688-1688a Mass Avenue","02138","1992-11-05T18:37:21.000","2017-01-01T05:00:00.000","2018-01-01T04:59:59.000","112","03:00:00","20:00:00","03:00:00","20:00:00","03:00:00","20:00:00","03:00:00","20:00:00","03:00:00","20:00:00","03:00:00","20:00:00","07:00:00","20:00:00"
"P & E Restaurant, Inc.","P & E Restaurant, Inc.","Desfina Restaurant","202 Third Street","02141","1992-11-09T14:34:33.000","2017-01-01T05:00:00.000","2018-01-01T04:59:59.000","70","05:00:00","19:00:00","05:00:00","19:00:00","05:00:00","19:00:00","05:00:00","19:00:00","05:00:00","19:00:00","05:00:00","19:00:00","05:00:00","19:00:00"
"Howth, Inc.",,"The People's Republik","876-878 Mass Avenue","02139","1992-11-09T19:19:03.000","2017-01-01T05:00:00.000","2018-01-01T04:59:59.000","99","03:00:00","20:00:00","03:00:00","20:00:00","03:00:00","20:00:00","03:00:00","21:00:00","03:00:00","21:00:00","03:00:00","21:00:00","06:00:00","20:00:00"
"Elsor Corporation",,"Newtowne Grille And Steakhouse","1945 Mass Avenue","02140","1992-11-09T20:43:52.000","2017-01-01T05:00:00.000","2018-01-01T04:59:59.000","125","03:00:00","20:00:00","03:00:00","20:00:00","03:00:00","20:00:00","03:00:00","21:00:00","03:00:00","21:00:00","03:00:00","21:00:00","06:00:00","20:00:00"
"Eliot Management Services, Inc.",,"Paradise Cafe","180 Mass Avenue","02139","1992-11-09T20:54:54.000","2017-01-01T05:00:00.000","2018-01-01T04:59:59.000","762","03:00:00","20:00:00","03:00:00","20:00:00","03:00:00","20:00:00","03:00:00","21:00:00","03:00:00","21:00:00","03:00:00","21:00:00","06:00:00","20:00:00"
"Petsi Pies, Inc.",,"Tupelo","1193 Cambridge Street","02139","1992-12-05T14:57:36.000","2017-01-01T05:00:00.000","2018-01-01T04:59:59.000","46",,,"03:00:00","20:00:00","03:00:00","20:00:00","03:00:00","20:00:00","03:00:00","20:00:00","03:00:00","20:00:00","19:00:00","20:00:00"
"Will-George, Inc.",,"Frank's Steakhouse","2310-2320 Mass Avenue","02140","1993-01-22T19:15:33.000","2017-01-01T05:00:00.000","2018-01-01T04:59:59.000","172","03:00:00","20:00:00","03:00:00","20:00:00","03:00:00","20:00:00","03:00:00","21:00:00","03:00:00","21:00:00","03:00:00","21:00:00","06:00:00","20:00:00"
