"city","population","qcode","region","government_fund_revenues","government_fund_expenditures","general_fund_revenues","general_fund_expenditures","property_tax_general","property_tax_debt_service","total_property_tax_revenue","transient_lodging_tax","franchise_fees","interest_and_investment_earnings","state_shared_revenue_total","ssr_liquor","ssr_tobacco","ssr_general","permits_licenses_fees","misc_revenue","gains_sales_of_capital_assets","police_expenses","fire_expenses","ems_expenses","public_safety_expenses_total","gen_gov_expenses","finance_expenses","library_expenses","culture_parks_and_recreation_expenses","public_works_expenses","comm_dev_expenses","water_expenses","wastewater_sewer_expenses","stormwater_expenses","airport_expenses","interest_and_long_term_debt_expenses","location_1"
,"305","1","7","115337.00","77521.00","26008.00","22707.00","5839.00","0.00","5839.00","0.00","0.00","0.00","26983.00",,,"1983.00",,"0.00","0.00","0.00","0.00","0.00","0.00",,,,,,,"31291.00",,"0.00","0.00","0.00","
Imbler, Oregon 
(45.461852, -117.96263)"
,"195","1","8",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"
Long Creek, Oregon 
(44.713766, -119.103827)"
,"450","2","6",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"
Mosier, Oregon 
(45.683448, -121.399234)"
,"430","1","2",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"
St Paul, Oregon 
(45.21108, -122.976597)"
,"23740","5","2","38728964.00","32494443.00","13198927.00","11409411.00","9820720.00","8951858.00","23693885.00",,"8269638.00","433401.00",,,,,"2968225.00","400764.00","4941165.00","3899290.00","0.00","0.00","4064863.00","3560827.00","1207948.00","1719813.00","3901408.00","1555703.00","5108684.00","6410593.00","5702500.00","2175457.00","0.00","3825876.00","
Wilsonville, Oregon 
(45.302941, -122.777992)"
,"790","2","1",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"
Garibaldi, Oregon 
(45.559382, -123.910867)"
,"20510","5","2","23940049.00","22738207.00","16226321.00","15472524.00","6676890.00","1214864.00","7891754.00",,"2570403.00","75443.00",,,,,"984844.00","147778.00","0.00","6149373.00",,,"6149373.00","8686910.00","896301.00",,"2468039.00","676109.00","617856.00","2840188.00","6537889.00","2132180.00","0.00","765937.00","
Milwaukie, Oregon 
(45.445525, -122.64162)"
,"1125","2","7","461219.00","396020.00","400216.00","380794.00","160620.00","0.00","160620.00","0.00","92695.00","8.00","97466.00","14723.00","1251.00","36696.00","99870.00","8511.00","0.00","39060.00",,,"39060.00","335781.00",,"0.00","5081.00","37218.00","3678.00","249064.00",,"0.00","0.00","0.00","
Island City, Oregon 
(45.338401, -118.049917)"
,"845","2","3","317431.00","280640.00","267444.00","243978.00","109048.00","0.00","109048.00","0.00","43797.00","3389.00","20512.00","12137.00","1028.00",,"4873.00","10165.00","0.00",,,,"49757.00","189781.00",,"0.00","48506.00","67887.00","0.00","487988.00","264461.00","14121.00","0.00","0.00","
Adair Village, Oregon 
(44.672177, -123.218392)"
,"195","1","7","257616.00","271366.00","220403.00","227797.00","49004.00","0.00","49004.00","0.00","14415.00","42.00","16086.00","2803.00","239.00","1483.00","90.00","1638.00","0.00",,,,"0.00","57909.00",,"24464.00","24464.00","440.00","2000.00","68031.00","0.00","0.00","0.00","14880.00","
Helix, Oregon 
(45.85144, -118.65564)"
,"55","1","2","33921.00","22735.00","30916.00","21742.00","13105.00","0.00","13105.00","0.00","1325.00","0.00","4597.00",,,"1592.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00",,,"0.00","0.00",,"0.00","0.00","0.00","0.00","0.00","0.00","
Prescott, Oregon 
(46.048713, -122.888647)"
,"37425","5","2","71979075.00","86827595.00","53655945.00","65174041.00","31427651.00","6487711.00","37915362.00","424203.00","2580077.00","1166054.00",,"534961.00",,,"11048271.00","1231032.00","19481597.00","122230057.00","11503076.00",,"23209391.00","17788931.00",,"3917427.00","12026141.00","13000.00","2513813.00","7508412.00","7833526.00","2426430.00","0.00","23424995.00","
Lake Oswego, Oregon 
(45.421092, -122.667696)"
,"245","1","7","105079.00","110499.00","25022.00","19860.00","16247.00","0.00","16247.00","0.00","190.00","107.00","20682.00",,,"6157.00","0.00","2960.00","0.00",,,,"8527.00","19860.00",,"0.00","12816.00","8995.00","0.00","54949.00","40811.00",,"0.00","16715.00","
Ukiah, Oregon 
(45.134183, -118.932262)"
,"50","1","6",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"
Antelope, Oregon 
(44.912101, -120.724496)"
,"8485","4","1","18991125.00","18235458.00","11635292.00","9792594.00","6221094.00","663148.00","6884242.00","6336950.00","1025598.00","120265.00","1305350.00",,,,"659823.00","1502932.00","13944.00","3742176.00",,,"4285240.00","4012261.00",,"875925.00","4131886.00",,"528350.00","3682687.00","4474823.00",,"0.00","1040304.00","
Lincoln City, Oregon 
(44.973845, -124.013402)"
,"7745","4","3","4900158.00","5591549.00","3094407.00","3265914.00","1833077.00","316598.00","2160419.00","0.00","815372.00","21353.00","643572.00",,,"187207.00","37377.00","182644.00","0.00",,,,"1875559.00","1187124.00",,"371648.00","728899.00","389426.00",,"1203863.00","2023556.00","0.00","0.00","503388.00","
Stayton, Oregon 
(44.800733, -122.794368)"
,"20","1","6","18975.00","12559.00","18799.00","11656.00","0.00","0.00","0.00","0.00","0.00","0.00","1375.00",,,,"2650.00","14950.00","0.00","0.00","0.00","0.00","0.00",,,"0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","
Lonerock, Oregon 
(45.08916, -119.883935)"
,"640","2","2",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"
Gaston, Oregon 
(45.437242, -123.139885)"
,"1915","3","5",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"
Cave Junction, Oregon 
(42.167403, -123.646279)"
,"35","1","6","26693.00","17193.00","13810.00","10934.00","0.00","0.00","0.00","0.00","2622.00","0.00","1000.00","0.00","0.00","1000.00","0.00","9280.00","0.00","0.00","0.00","0.00","0.00",,,"0.00","0.00","0.00","0.00","2208.00","4051.00","0.00","0.00","0.00","
Shaniko, Oregon 
(45.00463, -120.75243)"
