"city","company","type","rate","rate_measure","revenue_14_15"
"Tigard","AT&T","Cable","5.00","FF","22003"
"Tigard","Frontier Communications Corp.","Cable","5.00","FF","94316"
"Tigard","Integra","Cable","5.00","FF","57712"
"Tigard","MACC/Comcast & Frontier","Cable","5.00","FF","532563"
"Tigard","NW Natural","Natural Gas","5.00","FF","1223251"
"Tigard","Portland General Electric","Electric","1.50","PT","716158"
"Tigard","Portland General Electric","Electric","3.50","FF","1698157"
"Tigard","Pride Disposal","Solid Waste","5.00","FF","393915"
"Tigard","Qwest/CenturyLink","Cable","5.00","FF","55409"
"Tigard","TW Telecom","Cable","5.00","FF","80508"
"Tigard","Waste Management","Solid Waste","5.00","FF","112314"
