"year","zone","sex","age_group","population","prevalence","crude_prevalence_rate"
"2000-01-01T00:00:00.000","Zone 4 - Central","F","0 to 9","19501","2249","11.53"
"2000-01-01T00:00:00.000","Zone 4 - Central","F","10 to 19","23752","2975","12.53"
"2000-01-01T00:00:00.000","Zone 4 - Central","F","20 to 29","23776","2118","8.91"
"2000-01-01T00:00:00.000","Zone 4 - Central","F","30 to 39","29627","2018","6.81"
"2000-01-01T00:00:00.000","Zone 4 - Central","F","40 to 49","29713","2176","7.32"
"2000-01-01T00:00:00.000","Zone 4 - Central","F","50 to 59","22148","1752","7.91"
"2000-01-01T00:00:00.000","Zone 4 - Central","F","60 to 69","13937","994","7.13"
"2000-01-01T00:00:00.000","Zone 4 - Central","F","70 to 79","11290","761","6.74"
"2000-01-01T00:00:00.000","Zone 4 - Central","F","80 +","7958","430","5.40"
"2000-01-01T00:00:00.000","Zone 4 - Central","M","0 to 9","19881","3234","16.27"
"2000-01-01T00:00:00.000","Zone 4 - Central","M","10 to 19","24672","3615","14.65"
"2000-01-01T00:00:00.000","Zone 4 - Central","M","20 to 29","22404","1204","5.37"
"2000-01-01T00:00:00.000","Zone 4 - Central","M","30 to 39","27082","997","3.68"
"2000-01-01T00:00:00.000","Zone 4 - Central","M","40 to 49","27495","986","3.59"
"2000-01-01T00:00:00.000","Zone 4 - Central","M","50 to 59","21056","775","3.68"
"2000-01-01T00:00:00.000","Zone 4 - Central","M","60 to 69","13099","570","4.35"
"2000-01-01T00:00:00.000","Zone 4 - Central","M","70 to 79","8413","380","4.52"
"2000-01-01T00:00:00.000","Zone 4 - Central","M","80 +","3827","183","4.78"
"2000-01-01T00:00:00.000","Zone 3 - Eastern","F","0 to 9","7321","835","11.41"
"2000-01-01T00:00:00.000","Zone 3 - Eastern","F","10 to 19","8484","805","9.49"
"2000-01-01T00:00:00.000","Zone 3 - Eastern","F","20 to 29","8881","542","6.10"
"2000-01-01T00:00:00.000","Zone 3 - Eastern","F","30 to 39","11624","526","4.53"
"2000-01-01T00:00:00.000","Zone 3 - Eastern","F","40 to 49","14367","704","4.90"
"2000-01-01T00:00:00.000","Zone 3 - Eastern","F","50 to 59","11667","649","5.56"
"2000-01-01T00:00:00.000","Zone 3 - Eastern","F","60 to 69","8057","435","5.40"
"2000-01-01T00:00:00.000","Zone 3 - Eastern","F","70 to 79","6509","333","5.12"
"2000-01-01T00:00:00.000","Zone 3 - Eastern","F","80 +","5385","241","4.48"
"2000-01-01T00:00:00.000","Zone 3 - Eastern","M","0 to 9","7730","1213","15.69"
"2000-01-01T00:00:00.000","Zone 3 - Eastern","M","10 to 19","9107","1090","11.97"
"2000-01-01T00:00:00.000","Zone 3 - Eastern","M","20 to 29","8811","356","4.04"
"2000-01-01T00:00:00.000","Zone 3 - Eastern","M","30 to 39","11230","273","2.43"
"2000-01-01T00:00:00.000","Zone 3 - Eastern","M","40 to 49","14164","372","2.63"
"2000-01-01T00:00:00.000","Zone 3 - Eastern","M","50 to 59","12167","326","2.68"
"2000-01-01T00:00:00.000","Zone 3 - Eastern","M","60 to 69","7859","267","3.40"
"2000-01-01T00:00:00.000","Zone 3 - Eastern","M","70 to 79","5172","200","3.87"
"2000-01-01T00:00:00.000","Zone 3 - Eastern","M","80 +","2710","106","3.91"
"2000-01-01T00:00:00.000","Zone 2 - Northern","F","0 to 9","6693","725","10.83"
"2000-01-01T00:00:00.000","Zone 2 - Northern","F","10 to 19","7890","861","10.91"
"2000-01-01T00:00:00.000","Zone 2 - Northern","F","20 to 29","8723","677","7.76"
"2000-01-01T00:00:00.000","Zone 2 - Northern","F","30 to 39","11135","631","5.67"
"2000-01-01T00:00:00.000","Zone 2 - Northern","F","40 to 49","12318","722","5.86"
"2000-01-01T00:00:00.000","Zone 2 - Northern","F","50 to 59","9836","615","6.25"
"2000-01-01T00:00:00.000","Zone 2 - Northern","F","60 to 69","6556","393","5.99"
"2000-01-01T00:00:00.000","Zone 2 - Northern","F","70 to 79","5550","287","5.17"
"2000-01-01T00:00:00.000","Zone 2 - Northern","F","80 +","4399","210","4.77"
"2000-01-01T00:00:00.000","Zone 2 - Northern","M","0 to 9","7365","1118","15.18"
"2000-01-01T00:00:00.000","Zone 2 - Northern","M","10 to 19","8367","987","11.80"
"2000-01-01T00:00:00.000","Zone 2 - Northern","M","20 to 29","8544","372","4.35"
"2000-01-01T00:00:00.000","Zone 2 - Northern","M","30 to 39","10787","331","3.07"
"2000-01-01T00:00:00.000","Zone 2 - Northern","M","40 to 49","12160","358","2.94"
"2000-01-01T00:00:00.000","Zone 2 - Northern","M","50 to 59","10105","281","2.78"
"2000-01-01T00:00:00.000","Zone 2 - Northern","M","60 to 69","6431","215","3.34"
"2000-01-01T00:00:00.000","Zone 2 - Northern","M","70 to 79","4342","184","4.24"
"2000-01-01T00:00:00.000","Zone 2 - Northern","M","80 +","2197","100","4.55"
"2000-01-01T00:00:00.000","Zone 1 - Western","F","0 to 9","8011","816","10.19"
"2000-01-01T00:00:00.000","Zone 1 - Western","F","10 to 19","9686","1000","10.32"
"2000-01-01T00:00:00.000","Zone 1 - Western","F","20 to 29","10332","761","7.37"
"2000-01-01T00:00:00.000","Zone 1 - Western","F","30 to 39","14396","860","5.97"
"2000-01-01T00:00:00.000","Zone 1 - Western","F","40 to 49","16539","940","5.68"
"2000-01-01T00:00:00.000","Zone 1 - Western","F","50 to 59","13758","845","6.14"
"2000-01-01T00:00:00.000","Zone 1 - Western","F","60 to 69","9255","546","5.90"
"2000-01-01T00:00:00.000","Zone 1 - Western","F","70 to 79","7420","434","5.85"
"2000-01-01T00:00:00.000","Zone 1 - Western","F","80 +","5897","252","4.27"
"2000-01-01T00:00:00.000","Zone 1 - Western","M","0 to 9","8780","1266","14.42"
"2000-01-01T00:00:00.000","Zone 1 - Western","M","10 to 19","10116","1174","11.61"
"2000-01-01T00:00:00.000","Zone 1 - Western","M","20 to 29","10200","408","4.00"
"2000-01-01T00:00:00.000","Zone 1 - Western","M","30 to 39","13898","461","3.32"
"2000-01-01T00:00:00.000","Zone 1 - Western","M","40 to 49","16040","483","3.01"
"2000-01-01T00:00:00.000","Zone 1 - Western","M","50 to 59","13720","444","3.24"
"2000-01-01T00:00:00.000","Zone 1 - Western","M","60 to 69","9189","335","3.65"
"2000-01-01T00:00:00.000","Zone 1 - Western","M","70 to 79","6249","276","4.42"
"2000-01-01T00:00:00.000","Zone 1 - Western","M","80 +","3365","152","4.52"
"2001-01-01T00:00:00.000","Zone 4 - Central","F","0 to 9","19050","2201","11.55"
"2001-01-01T00:00:00.000","Zone 4 - Central","F","10 to 19","24122","3324","13.78"
"2001-01-01T00:00:00.000","Zone 4 - Central","F","20 to 29","23869","2329","9.76"
"2001-01-01T00:00:00.000","Zone 4 - Central","F","30 to 39","29390","2214","7.53"
"2001-01-01T00:00:00.000","Zone 4 - Central","F","40 to 49","30655","2480","8.09"
"2001-01-01T00:00:00.000","Zone 4 - Central","F","50 to 59","23112","1993","8.62"
"2001-01-01T00:00:00.000","Zone 4 - Central","F","60 to 69","14306","1140","7.97"
"2001-01-01T00:00:00.000","Zone 4 - Central","F","70 to 79","11382","841","7.39"
"2001-01-01T00:00:00.000","Zone 4 - Central","F","80 +","8312","486","5.85"
"2001-01-01T00:00:00.000","Zone 4 - Central","M","0 to 9","19528","3255","16.67"
"2001-01-01T00:00:00.000","Zone 4 - Central","M","10 to 19","25069","4109","16.39"
"2001-01-01T00:00:00.000","Zone 4 - Central","M","20 to 29","22566","1420","6.29"
"2001-01-01T00:00:00.000","Zone 4 - Central","M","30 to 39","26883","1104","4.11"
"2001-01-01T00:00:00.000","Zone 4 - Central","M","40 to 49","28552","1139","3.99"
"2001-01-01T00:00:00.000","Zone 4 - Central","M","50 to 59","21868","907","4.15"
"2001-01-01T00:00:00.000","Zone 4 - Central","M","60 to 69","13434","620","4.62"
"2001-01-01T00:00:00.000","Zone 4 - Central","M","70 to 79","8599","433","5.04"
"2001-01-01T00:00:00.000","Zone 4 - Central","M","80 +","4126","203","4.92"
"2001-01-01T00:00:00.000","Zone 3 - Eastern","F","0 to 9","7275","817","11.23"
"2001-01-01T00:00:00.000","Zone 3 - Eastern","F","10 to 19","8445","941","11.14"
"2001-01-01T00:00:00.000","Zone 3 - Eastern","F","20 to 29","8729","597","6.84"
"2001-01-01T00:00:00.000","Zone 3 - Eastern","F","30 to 39","11295","565","5.00"
"2001-01-01T00:00:00.000","Zone 3 - Eastern","F","40 to 49","14421","762","5.28"
"2001-01-01T00:00:00.000","Zone 3 - Eastern","F","50 to 59","12082","757","6.27"
"2001-01-01T00:00:00.000","Zone 3 - Eastern","F","60 to 69","8220","469","5.71"
"2001-01-01T00:00:00.000","Zone 3 - Eastern","F","70 to 79","6480","362","5.59"
"2001-01-01T00:00:00.000","Zone 3 - Eastern","F","80 +","5519","269","4.87"
"2001-01-01T00:00:00.000","Zone 3 - Eastern","M","0 to 9","7647","1217","15.91"
"2001-01-01T00:00:00.000","Zone 3 - Eastern","M","10 to 19","9145","1270","13.89"
"2001-01-01T00:00:00.000","Zone 3 - Eastern","M","20 to 29","8637","402","4.65"
"2001-01-01T00:00:00.000","Zone 3 - Eastern","M","30 to 39","10899","299","2.74"
"2001-01-01T00:00:00.000","Zone 3 - Eastern","M","40 to 49","14165","397","2.80"
"2001-01-01T00:00:00.000","Zone 3 - Eastern","M","50 to 59","12543","384","3.06"
"2001-01-01T00:00:00.000","Zone 3 - Eastern","M","60 to 69","8057","283","3.51"
"2001-01-01T00:00:00.000","Zone 3 - Eastern","M","70 to 79","5242","225","4.29"
"2001-01-01T00:00:00.000","Zone 3 - Eastern","M","80 +","2785","112","4.02"
"2001-01-01T00:00:00.000","Zone 2 - Northern","F","0 to 9","6684","718","10.74"
"2001-01-01T00:00:00.000","Zone 2 - Northern","F","10 to 19","7875","958","12.17"
"2001-01-01T00:00:00.000","Zone 2 - Northern","F","20 to 29","8535","751","8.80"
"2001-01-01T00:00:00.000","Zone 2 - Northern","F","30 to 39","10906","698","6.40"
"2001-01-01T00:00:00.000","Zone 2 - Northern","F","40 to 49","12548","834","6.65"
"2001-01-01T00:00:00.000","Zone 2 - Northern","F","50 to 59","10160","687","6.76"
"2001-01-01T00:00:00.000","Zone 2 - Northern","F","60 to 69","6721","443","6.59"
"2001-01-01T00:00:00.000","Zone 2 - Northern","F","70 to 79","5522","326","5.90"
"2001-01-01T00:00:00.000","Zone 2 - Northern","F","80 +","4538","225","4.96"
"2001-01-01T00:00:00.000","Zone 2 - Northern","M","0 to 9","7302","1115","15.27"
"2001-01-01T00:00:00.000","Zone 2 - Northern","M","10 to 19","8426","1144","13.58"
"2001-01-01T00:00:00.000","Zone 2 - Northern","M","20 to 29","8332","417","5.00"
"2001-01-01T00:00:00.000","Zone 2 - Northern","M","30 to 39","10641","360","3.38"
"2001-01-01T00:00:00.000","Zone 2 - Northern","M","40 to 49","12275","410","3.34"
"2001-01-01T00:00:00.000","Zone 2 - Northern","M","50 to 59","10464","328","3.13"
"2001-01-01T00:00:00.000","Zone 2 - Northern","M","60 to 69","6598","217","3.29"
"2001-01-01T00:00:00.000","Zone 2 - Northern","M","70 to 79","4394","188","4.28"
"2001-01-01T00:00:00.000","Zone 2 - Northern","M","80 +","2311","115","4.98"
"2001-01-01T00:00:00.000","Zone 1 - Western","F","0 to 9","8000","800","10.00"
"2001-01-01T00:00:00.000","Zone 1 - Western","F","10 to 19","9661","1125","11.64"
"2001-01-01T00:00:00.000","Zone 1 - Western","F","20 to 29","10101","847","8.39"
"2001-01-01T00:00:00.000","Zone 1 - Western","F","30 to 39","13954","897","6.43"
"2001-01-01T00:00:00.000","Zone 1 - Western","F","40 to 49","16821","1051","6.25"
"2001-01-01T00:00:00.000","Zone 1 - Western","F","50 to 59","14208","976","6.87"
"2001-01-01T00:00:00.000","Zone 1 - Western","F","60 to 69","9455","588","6.22"
"2001-01-01T00:00:00.000","Zone 1 - Western","F","70 to 79","7429","471","6.34"
"2001-01-01T00:00:00.000","Zone 1 - Western","F","80 +","6074","294","4.84"
"2001-01-01T00:00:00.000","Zone 1 - Western","M","0 to 9","8772","1268","14.46"
"2001-01-01T00:00:00.000","Zone 1 - Western","M","10 to 19","10148","1382","13.62"
"2001-01-01T00:00:00.000","Zone 1 - Western","M","20 to 29","10039","461","4.59"
"2001-01-01T00:00:00.000","Zone 1 - Western","M","30 to 39","13399","505","3.77"
"2001-01-01T00:00:00.000","Zone 1 - Western","M","40 to 49","16262","544","3.35"
"2001-01-01T00:00:00.000","Zone 1 - Western","M","50 to 59","14183","506","3.57"
"2001-01-01T00:00:00.000","Zone 1 - Western","M","60 to 69","9470","386","4.08"
"2001-01-01T00:00:00.000","Zone 1 - Western","M","70 to 79","6323","278","4.40"
"2001-01-01T00:00:00.000","Zone 1 - Western","M","80 +","3462","183","5.29"
"2002-01-01T00:00:00.000","Zone 4 - Central","F","0 to 9","18699","2152","11.51"
"2002-01-01T00:00:00.000","Zone 4 - Central","F","10 to 19","24295","3675","15.13"
"2002-01-01T00:00:00.000","Zone 4 - Central","F","20 to 29","24128","2597","10.76"
"2002-01-01T00:00:00.000","Zone 4 - Central","F","30 to 39","29063","2352","8.09"
"2002-01-01T00:00:00.000","Zone 4 - Central","F","40 to 49","31609","2778","8.79"
"2002-01-01T00:00:00.000","Zone 4 - Central","F","50 to 59","24026","2201","9.16"
"2002-01-01T00:00:00.000","Zone 4 - Central","F","60 to 69","14822","1332","8.99"
"2002-01-01T00:00:00.000","Zone 4 - Central","F","70 to 79","11435","887","7.76"
"2002-01-01T00:00:00.000","Zone 4 - Central","F","80 +","8603","541","6.29"
"2002-01-01T00:00:00.000","Zone 4 - Central","M","0 to 9","19194","3182","16.58"
"2002-01-01T00:00:00.000","Zone 4 - Central","M","10 to 19","25309","4564","18.03"
"2002-01-01T00:00:00.000","Zone 4 - Central","M","20 to 29","22881","1611","7.04"
"2002-01-01T00:00:00.000","Zone 4 - Central","M","30 to 39","26516","1201","4.53"
"2002-01-01T00:00:00.000","Zone 4 - Central","M","40 to 49","29583","1275","4.31"
"2002-01-01T00:00:00.000","Zone 4 - Central","M","50 to 59","22769","1034","4.54"
"2002-01-01T00:00:00.000","Zone 4 - Central","M","60 to 69","13891","678","4.88"
"2002-01-01T00:00:00.000","Zone 4 - Central","M","70 to 79","8838","467","5.28"
"2002-01-01T00:00:00.000","Zone 4 - Central","M","80 +","4320","227","5.25"
"2002-01-01T00:00:00.000","Zone 3 - Eastern","F","0 to 9","7170","807","11.26"
"2002-01-01T00:00:00.000","Zone 3 - Eastern","F","10 to 19","8447","1040","12.31"
"2002-01-01T00:00:00.000","Zone 3 - Eastern","F","20 to 29","8613","649","7.54"
"2002-01-01T00:00:00.000","Zone 3 - Eastern","F","30 to 39","10866","612","5.63"
"2002-01-01T00:00:00.000","Zone 3 - Eastern","F","40 to 49","14506","798","5.50"
"2002-01-01T00:00:00.000","Zone 3 - Eastern","F","50 to 59","12497","828","6.63"
"2002-01-01T00:00:00.000","Zone 3 - Eastern","F","60 to 69","8440","522","6.18"
"2002-01-01T00:00:00.000","Zone 3 - Eastern","F","70 to 79","6468","386","5.97"
"2002-01-01T00:00:00.000","Zone 3 - Eastern","F","80 +","5608","285","5.08"
"2002-01-01T00:00:00.000","Zone 3 - Eastern","M","0 to 9","7577","1189","15.69"
