"fiscal_year","month","total_attendance_adults","total_attendance_children"
"2017-2018","April","117","457"
"2017-2018","May","173","1086"
"2017-2018","June","247","859"
"2017-2018","July","91","212"
"2017-2018","August","76","93"
"2017-2018","September","105","275"
"2017-2018","October","155","867"
"2017-2018","November","169","1102"
"2017-2018","December","21","310"
"2017-2018","January","87","598"
"2017-2018","February","38","362"
"2017-2018","March","359","810"
"2018-2019","April","182","1019"
"2018-2019","May","220","1078"
"2018-2019","June","286","853"
"2018-2019","July","76","270"
"2018-2019","August","95","152"
"2018-2019","September","126","423"
"2018-2019","October","171","1024"
"2018-2019","November","168","1016"
"2018-2019","December","84","326"
"2018-2019","January","65","676"
"2018-2019","February","285","489"
"2018-2019","March","155","358"
"2019-2020","April","61","214"
"2019-2020","May","226","690"
"2019-2020","June","304","999"
"2019-2020","July","68","255"
"2019-2020","August","143","211"
"2019-2020","September","91","152"
"2019-2020","October","97","328"
"2019-2020","November","79","323"
"2019-2020","December","3","10"
"2019-2020","January","16","14"
"2019-2020","February","2","16"
"2019-2020","March","23","28"
"2020-2021","April",,
"2020-2021","May","12",
"2020-2021","June","30",
"2020-2021","July","14",
"2020-2021","August","18",
"2020-2021","September","37","3"
"2020-2021","October","101","263"
"2020-2021","November","36","37"
"2020-2021","December","6","6"
"2020-2021","January","24","7"
"2020-2021","February","135","83"
"2020-2021","March","97","6"
"2021-2022","April","12","26"
"2021-2022","May",,
"2021-2022","June","17",
"2021-2022","July","25","85"
"2021-2022","August","5","54"
"2021-2022","September","29","134"
"2021-2022","October","360","406"
"2021-2022","November","89","302"
"2021-2022","December","275","233"
"2021-2022","January",,
"2021-2022","February","23",
"2021-2022","March","4","99"
