"company_name","product_name","application_type_part_a_or","amount_of_credit_provided","approval_date"
"Current Studios Inc.",,"A","88000","2015-10-08T00:00:00.000"
"Silverback Productions Inc.",,"A","114844","2015-11-27T00:00:00.000"
"Twisted Oak Technologies Inc.",,"B","24183","2015-11-20T00:00:00.000"
"Current Studios Inc.",,"B","87726","2015-11-20T00:00:00.000"
"Pixelyard Production Inc.",,"A","16500","2015-12-21T00:00:00.000"
"Silverback Productions Inc.",,"A","234192","2016-01-14T00:00:00.000"
"Huminah Huminah Animation Ltd.",,"B","26516","2016-01-11T00:00:00.000"
"Vesuvius Media Ltd.",,"B","12388","2016-01-11T00:00:00.000"
"MediaSpark Incorporated",,"B","27232","2016-02-11T00:00:00.000"
"MediaSpark Incorporated",,"B","18018","2016-02-11T00:00:00.000"
"MediaSpark Incorporated",,"B","11614","2016-02-11T00:00:00.000"
"Virtual Media Productions Limited",,"B","21827","2016-02-24T00:00:00.000"
"3262528 Nova Scotia Limited",,"B","15515","2016-03-08T00:00:00.000"
"3262528 Nova Scotia Limited",,"B","15515","2016-03-08T00:00:00.000"
"3262528 Nova Scotia Limited",,"B","15515","2016-03-08T00:00:00.000"
"3262528 Nova Scotia Limited",,"B","15515","2016-03-08T00:00:00.000"
"3262528 Nova Scotia Limited",,"B","15515","2016-03-08T00:00:00.000"
"Huminah Huminah Animation Limited",,"B","12784","2016-03-01T00:00:00.000"
"Huminah Huminah Animation Limited",,"B","12291","2016-03-01T00:00:00.000"
"HB Studios Multimedia Ltd.",,"B","158241","2016-03-30T00:00:00.000"
"HB Studios Multimedia Ltd.",,"B","295294","2016-03-30T00:00:00.000"
"HB Studios Multimedia Ltd.",,"B","10300","2016-03-30T00:00:00.000"
"HB Studios Multimedia Ltd.",,"B","459039","2016-03-30T00:00:00.000"
"Nexus Media Incorporated",,"B","6050","2016-03-10T00:00:00.000"
"Twisted Oak Studios Inc.","Two Dots Android","B","24750","2016-04-05T00:00:00.000"
"Bluedrop Training & Simulation Inc.",,"B","61276","2016-04-07T00:00:00.000"
"Bluedrop Training & Simulation Inc.",,"B","15531","2016-04-07T00:00:00.000"
"Bluedrop Training & Simulation Inc.",,"B","14544","2016-04-07T00:00:00.000"
"Bluedrop Training & Simulation Inc.",,"B","104470","2016-04-07T00:00:00.000"
"Bluedrop Training & Simulation Inc.",,"B","30433","2016-04-07T00:00:00.000"
"Bluedrop Training & Simulation Inc.",,"B","46117","2016-04-07T00:00:00.000"
"Bluedrop Training & Simulation Inc.",,"B","32843","2016-04-07T00:00:00.000"
"Alpha Dog Games Inc.","Monstrocity Game - Version 1","B","167379","2016-04-21T00:00:00.000"
"Eyeread Inc.",,"B","43516","2016-04-21T00:00:00.000"
"Hard Chill Games Incorporated","BlockGrind","B","9332","2016-04-28T00:00:00.000"
"Hard Chill Games Incorporated","Trance Blast Master: Deep Loop LP","B","33253","2016-04-28T00:00:00.000"
"HB Studios Multimedia Ltd.",,"B","66394","2016-05-19T00:00:00.000"
"HB Studios Multimedia Ltd.",,"B","109710","2016-05-19T00:00:00.000"
"HB Studios Multimedia Ltd.",,"B","112907","2016-05-19T00:00:00.000"
"HB Studios Multimedia Ltd.","Ace Geographer","B","22992","2016-05-19T00:00:00.000"
"HB Studios Multimedia Ltd.","Maze Adventures","B","11842","2016-05-19T00:00:00.000"
"REDspace Incorporated",,"B","9023","2016-05-25T00:00:00.000"
"Alpha Dog Games Inc.","Monstrocity Game - Version 2","A","248335","2016-06-09T00:00:00.000"
"Pixelyard Productions Inc.","Keyano - Lowerworks","B","2437","2016-06-01T00:00:00.000"
"Pixelyard Productions Inc.","Keyano - HEO Water Safety","B","1006","2016-06-01T00:00:00.000"
"Pixelyard Productions Inc.","Shell - Bucyrus 495HF","B","3197","2016-06-01T00:00:00.000"
"Pixelyard Productions Inc.","Shell - EX8000","B","3189","2016-06-01T00:00:00.000"
"Pixelyard Productions Inc.","Emerson Climate - Fundamentals of Refrigeration","B","2707","2016-06-01T00:00:00.000"
"Pixelyard Productions Inc.","REB Freight Train Air Brakes","B","9763","2016-06-01T00:00:00.000"
"Pixelyard Productions Inc.","Nortec EL Electrode Lab","B","7151","2016-06-01T00:00:00.000"
"Pixelyard Productions Inc.","NSCSA CELT Pass","B","255","2016-06-01T00:00:00.000"
"Silverback Productions Inc.","Sons of Anarchy: The Prospect","B","237755","2016-06-01T00:00:00.000"
"Silverback Productions Inc.","Kyoob","B","136232","2016-06-01T00:00:00.000"
"MathResources Incorporated","RedBird Blockly - Remote Control Robot","B","6396","2016-06-30T00:00:00.000"
"MathResources Incorporated","EDC: iPuzzle","B","11280","2016-06-30T00:00:00.000"
"MathResources Incorporated","NCTM: CN_HTML5_Games","B","13395","2016-06-30T00:00:00.000"
"MathResources Incorporated","Discovery Education: Econ_Mod1","B","14874","2016-07-18T00:00:00.000"
"MathResources Incorporated","EDC Diabetes","B","4170","2016-07-18T00:00:00.000"
"Redspace Inc.",,"B","7861","2016-08-03T00:00:00.000"
"Redspace Inc.",,"B","4677","2016-08-03T00:00:00.000"
"Redspace Inc.",,"B","16170","2016-08-03T00:00:00.000"
"Redspace Inc.",,"B","10202","2016-08-03T00:00:00.000"
"Redspace Inc.",,"B","10715","2016-08-03T00:00:00.000"
"Redspace Inc.",,"B","3056","2016-08-03T00:00:00.000"
"Redspace Inc.",,"B","15082","2016-08-03T00:00:00.000"
"Redspace Inc.",,"B","14276","2016-08-03T00:00:00.000"
"Redspace Inc.",,"B","3600","2016-08-03T00:00:00.000"
"Redspace Inc.",,"B","1505","2016-08-03T00:00:00.000"
"Redspace Inc.",,"B","13249","2016-08-03T00:00:00.000"
"Redspace Inc.",,"B","5045","2016-08-03T00:00:00.000"
"Redspace Inc.",,"B","6501","2016-08-11T00:00:00.000"
"Current Studios Inc.","AR Racer","A","105225","2016-08-03T00:00:00.000"
"Current Studios Inc.","Depth Sensing Sports","A","33000","2016-08-03T00:00:00.000"
"Current Studios Inc.","Make Safe Happen","A","103325","2016-08-03T00:00:00.000"
"Current Studios Inc.","Superheroes Assemble","A","82650","2016-08-03T00:00:00.000"
"Copernicus Games Inc.","Alphabots 2","A","193318","2016-08-25T00:00:00.000"
"Huminah Huminah Animation Limited","Dino","B","99695","2016-09-08T00:00:00.000"
"Raised Performance Media Inc.",,"B","89633","2016-10-06T00:00:00.000"
"Hothead Games Inc.","Kill Shot Bravo v1","B","131272","2016-10-14T00:00:00.000"
"Raised Performance Media Inc.","Chancellor of the Universe","A","128025","2016-10-26T00:00:00.000"
"3262528 Nova Scotia Limited",,"B","15803","2016-11-10T00:00:00.000"
"3262528 Nova Scotia Limited",,"B","15803","2016-11-10T00:00:00.000"
"3262528 Nova Scotia Limited",,"B","15803","2016-11-10T00:00:00.000"
"3262528 Nova Scotia Limited",,"B","15803","2016-11-10T00:00:00.000"
"3262528 Nova Scotia Limited",,"B","14483","2016-11-10T00:00:00.000"
"Current Studios Inc.","Depth Sensing Sports","B","32685","2016-11-02T00:00:00.000"
"Current Studios Inc.","Make Safe Happen","B","102539","2016-11-10T00:00:00.000"
"Current Studios Inc.","Superheroes Assemble","B","81385","2016-11-10T00:00:00.000"
"Silverback Productions Inc.","Minefield","A","37148","2016-11-03T00:00:00.000"
"Silverback Productions Inc.","Kube v1","A","28989","2016-11-03T00:00:00.000"
"Silverback Productions Inc.","Dusty Trux","A","34753","2016-11-03T00:00:00.000"
"Silverback Productions Inc.","Kube v2","A","12360","2016-11-03T00:00:00.000"
"Raised Performance Media Inc.",,"B","60981","2016-11-10T00:00:00.000"
"Raised Performance Media Inc.",,"B","24495","2016-12-14T00:00:00.000"
"Copernicus Studios Inc.","Alphabots","B","240655","2016-12-08T00:00:00.000"
"Virtual Media Productions Limited","Emendo Serious Games","B","28148","2017-01-06T00:00:00.000"
"CURRENT STUDIOS INC.","AR RACER","B","101163","2017-01-12T00:00:00.000"
"Lockheed Martin Canada Inc.","Close-In Weapon System (CIWS) VISTA","B","4457","2017-01-26T00:00:00.000"
"Lockheed Martin Canada Inc.","Land-Based Phalanx Weapon Sys. VISTA","B","4664","2017-01-26T00:00:00.000"
"Lockheed Martin Canada Inc.","HCM Operator Trainers and CBT","B","1010488","2017-02-15T00:00:00.000"
"Bluedrop Training & Simulation Inc.","Aircraft Marshalling Performance Support Tool","B","6268","2017-02-07T00:00:00.000"
"Bluedrop Training & Simulation Inc.","CC138 Twin Otter Snow Ski","B","15660","2017-02-07T00:00:00.000"
"Hard Chill Games Incorporated","Trance Blast Master: Deep Loop LP","B","46453","2017-02-15T00:00:00.000"
"HB Studios Multimedia Ltd.","Infinite Air","B","753057","2017-03-09T00:00:00.000"
"HB Studios Multimedia Ltd.","MLB RBI 2016","B","294973","2017-03-09T00:00:00.000"
"HB Studios Multimedia Ltd.","NBA Live '18","B","189100","2017-03-09T00:00:00.000"
"HB Studios Multimedia Ltd.","The Golf Club 2","B","476512","2017-03-09T00:00:00.000"
"HB Studios Multimedia Ltd.","The Golf Club VR","B","70770","2017-03-09T00:00:00.000"
"MediaSpark Incorporated","Canary In The Mine","B","6323","2017-03-01T00:00:00.000"
"MediaSpark Incorporated","GoVenture Small Business","B","10506","2017-03-01T00:00:00.000"
"Alpha Dog Games Inc.","MonstroCity Game (Version 2)","B","322142","2017-03-09T00:00:00.000"
"Kinduct Technologies Inc.","Kinduct Performance","B","1347516","2017-06-22T00:00:00.000"
"Bluedrop Training & Simulation Inc.","TA1301.2 Advanced AMP Training","B","6819","2017-06-13T00:00:00.000"
"Pixelyard Productions Inc.","REB - Freight Train Airbrakes","B","2854","2017-06-05T00:00:00.000"
"Pixelyard Productions Inc.","NSCSA - CELT Pass","B","10461","2017-06-05T00:00:00.000"
"Pixelyard Productions Inc.","Nortec - EL Electrode Lab","B","755","2017-06-05T00:00:00.000"
"Pixelyard Productions Inc.","Nortec - RH2 Electrode Lab","B","3296","2017-06-05T00:00:00.000"
"Pixelyard Productions Inc.","NBCC HVACR Refrigerant Systems Installation","B","5171","2017-06-05T00:00:00.000"
"Pixelyard Productions Inc.","Nortec - GS CS Humidifier","B","2004","2017-06-05T00:00:00.000"
"3304744 Nova Scotia Limited","Race the HD-4 on the Bras d’Or","A","186347","2017-06-02T00:00:00.000"
"MediaSpark Incorporated","GoVenture SMS (GoSoko)","B","14453","2017-07-11T00:00:00.000"
"Ubisoft Entertainment Inc.","Hungry Shark World V1","B","14315","2017-07-17T00:00:00.000"
