"year","sex","spouse_1_age","spouse_2_age","count"
"2014","F","20-24","20-24","8"
"2014","F","20-24","25-29","4"
"2014","F","25-29","25-29","7"
"2014","F","25-29","30-34","8"
"2014","F","30-34","30-34","2"
"2014","F","30-34","35-39","2"
"2014","F","35-39","35-39","3"
"2014","F","35-39","40-44","3"
"2014","F","35-39","45-49","2"
"2014","F","35-39","55-59","1"
"2014","F","40-44","40-44","3"
"2014","F","40-44","45-49","1"
"2014","F","40-44","50-54","1"
"2014","F","45-49","45-49","5"
"2014","F","45-49","50-54","3"
"2014","F","45-49","55-59","4"
"2014","F","50-54","50-54","2"
"2014","F","50-54","55-59","1"
"2014","F","55-59","60-64","1"
"2014","F","60-64","60-64","2"
"2014","F","60-64","65-69","1"
"2014","F","65-69","75+","1"
"2014","M","<20","20-24","1"
"2014","M","20-24","20-24","1"
"2014","M","20-24","25-29","2"
"2014","M","20-24","30-34","1"
"2014","M","25-29","25-29","2"
"2014","M","25-29","30-34","7"
"2014","M","25-29","35-39","1"
"2014","M","30-34","30-34","4"
"2014","M","30-34","35-39","5"
"2014","M","30-34","40-44","1"
"2014","M","30-34","45-49","2"
"2014","M","35-39","35-39","2"
"2014","M","35-39","45-49","2"
"2014","M","35-39","60-64","1"
"2014","M","40-44","40-44","4"
"2014","M","40-44","45-49","2"
"2014","M","40-44","50-54","2"
"2014","M","45-49","45-49","1"
"2014","M","45-49","50-54","1"
"2014","M","45-49","55-59","1"
"2014","M","45-49","60-64","1"
"2014","M","50-54","50-54","1"
"2014","M","50-54","60-64","2"
"2014","M","50-54","65-69","2"
"2014","M","50-54","70-74","1"
"2014","M","55-59","60-64","1"
"2014","M","55-59","65-69","1"
"2014","M","60-64","65-69","1"
"2014","M","60-64","70-74","1"
"2014","M","65-69","65-69","1"
"2014","M","65-69","70-74","1"
"2014","M","70-74","75+","1"
"2015","F","< 20","25-29","1"
"2015","F","20-24","20-24","1"
"2015","F","20-24","25-29","10"
"2015","F","20-24","30-34","1"
"2015","F","25-29","25-29","8"
"2015","F","25-29","30-34","5"
"2015","F","25-29","35-39","4"
"2015","F","25-29","40-44","1"
"2015","F","25-29","45-49","1"
"2015","F","30-34","30-34","6"
"2015","F","30-34","35-39","5"
"2015","F","30-34","40-44","2"
"2015","F","30-34","50-54","2"
"2015","F","30-34","55-59","1"
"2015","F","35-39","35-39","1"
"2015","F","35-39","40-44","4"
"2015","F","35-39","45-49","2"
"2015","F","40-44","40-44","3"
"2015","F","40-44","50-54","1"
"2015","F","45-49","45-49","1"
"2015","F","45-49","50-54","5"
"2015","F","45-49","55-59","1"
"2015","F","45-49","60-64","1"
"2015","F","50-54","50-54","1"
"2015","F","50-54","55-59","1"
"2015","F","55-59","55-59","1"
"2015","F","55-59","60-64","1"
"2015","M","20-24","25-29","2"
"2015","M","25-29","25-29","2"
"2015","M","25-29","30-34","2"
"2015","M","25-29","35-39","2"
"2015","M","25-29","40-44","1"
"2015","M","25-29","45-49","1"
"2015","M","30-34","30-34","1"
"2015","M","30-34","35-39","2"
"2015","M","30-34","40-44","1"
"2015","M","35-39","45-49","2"
"2015","M","35-39","55-59","1"
