"weight","sex","gestational_age","year","count"
"<500","FEMALE","<20","2016","0"
"<500","FEMALE","<20","2017","0"
"<500","FEMALE","<20","2018","0"
"<500","FEMALE","<20","2019","0"
"<500","FEMALE","<20","2020","0"
"<500","FEMALE","<20","2021","0"
"<500","FEMALE","20-27","2016","6"
"<500","FEMALE","20-27","2017","3"
"<500","FEMALE","20-27","2018","1"
"<500","FEMALE","20-27","2019","3"
"<500","FEMALE","20-27","2020","3"
"<500","FEMALE","20-27","2021","2"
"<500","FEMALE","28-36","2016","0"
"<500","FEMALE","28-36","2017","0"
"<500","FEMALE","28-36","2018","0"
"<500","FEMALE","28-36","2019","0"
"<500","FEMALE","28-36","2020","0"
"<500","FEMALE","28-36","2021","0"
"<500","FEMALE","37-41","2016","1"
"<500","FEMALE","37-41","2017","1"
"<500","FEMALE","37-41","2018","0"
"<500","FEMALE","37-41","2019","0"
"<500","FEMALE","37-41","2020","0"
"<500","FEMALE","37-41","2021","1"
"<500","FEMALE","42+","2016","0"
"<500","FEMALE","42+","2017","0"
"<500","FEMALE","42+","2018","0"
"<500","FEMALE","42+","2019","0"
"<500","FEMALE","42+","2020","0"
"<500","FEMALE","42+","2021","0"
"<500","MALE","<20","2016","1"
"<500","MALE","<20","2017","0"
"<500","MALE","<20","2018","0"
"<500","MALE","<20","2019","1"
"<500","MALE","<20","2020","1"
"<500","MALE","<20","2021","0"
"<500","MALE","20-27","2016","5"
"<500","MALE","20-27","2017","0"
"<500","MALE","20-27","2018","0"
"<500","MALE","20-27","2019","1"
"<500","MALE","20-27","2020","1"
"<500","MALE","20-27","2021","2"
"<500","MALE","28-36","2016","0"
"<500","MALE","28-36","2017","0"
"<500","MALE","28-36","2018","0"
"<500","MALE","28-36","2019","0"
"<500","MALE","28-36","2020","0"
"<500","MALE","28-36","2021","0"
"<500","MALE","37-41","2016","0"
"<500","MALE","37-41","2017","0"
"<500","MALE","37-41","2018","0"
"<500","MALE","37-41","2019","1"
"<500","MALE","37-41","2020","0"
"<500","MALE","37-41","2021","0"
"<500","MALE","42+","2016","0"
"<500","MALE","42+","2017","0"
"<500","MALE","42+","2018","0"
"<500","MALE","42+","2019","0"
"<500","MALE","42+","2020","0"
"<500","MALE","42+","2021","0"
