"year","total_applications","approved_applications","denied_applications","online_applications","mailed_in_applications","opt_in_applications_from","cheques_issued","direct_deposit","renters","homeowners","seniors_applying_online","seniors_applying_via_mail","emails","mobile","tablet","computer","coal","electricity","natural_gas","oil","wood_pellets","propane","wood"
"2015","46252","42517","2827",,"46252",,"42513",,"9354","33163",,"22109",,,,,"27","14078","88","25875","350","275","1820"
"2016","45568","41560","3135","7096","37599",,"9377","32183","9847","31480",,,"15865",,,,"16","14492","92","24502","318","270","1870"
"2017","45031","42080","2200","8713","35567",,"7860","34220","10168","31737",,,"19569","0.47","0.1","0.43","23","15383","120","24182","322","232","1818"
"2018","44596","41593","2207","14981","29615",,"7311","34721","10563","30985","2617","18109","22840","0.48","0.09","0.43","13","15796","82","23247","319","269","1867"
"2019","48515","45814","2200","18562","14776","12476","7961","37852","12348","33441","2856","20425","27741","0.51","0.07","0.42","19","16886","109","22483","332","315","2336"
"2020","48257","45433","2129","20152","11261","14020","6798","38593","12497","32922","3367","20397","29462","0.59","0.06","0.35","17","16793","95","21253","339","325","2380"
"2021","50140","45200","4055","22155","9081","13964","6892","38268","12655","32543","5015","20296","33672","0.65","0.05","0.3","17","17062","103","20225","321","362","2477"
