"gender","grade_9_enrolment_year","number_of_graduating_students","grade_9_enrolment_2012_13","graduation_rate"
"Male","2013-14","4432","4865","91.1"
"Female","2013-14","4351","4647","93.6"
"Male","2012-13","4391","4960","88.5"
"Female","2012-13","4467","4805","93"
