"county","site_code","lake_name","station","easting","northing","topo_map","mapbook","volume__m3","area_surface","maximum_de","mean_depth","less_than","shoreline","flushing_rate","headwater","assessment","sample_depth","thermoclin","surface_temp","temperature","oxygen","bottom_disc","secchi_disc","turbidity","jtu_turbid","colour","unknown","relative","conductivity","hardness","alkalinity","ph","aluminum","calcium_mg","chloride","copper__mg","iron__mg","manganese","potassium","sodium__mg","sulphate","zinc__mg_l","nitrogen_t","nitrate","ammonia","total_phosphate","ortho_phos","silica__mg","diss_solid","suspended","organic","dissolved_ox","chlorophyl","pheophytin","lab","collector","agency","data_id","notes","alt_name"
"Colchester","10","FOLLY",,"457386","5043110","11E12","28Z5",,"78.9","33.5",,"33.6","2.04",,"Yes","2018-09-10T00:00:00.000","0","S","20.5","6.2","13.28","8.4","8","0.29",,"5",,,"54.5",,"2.8","6.8","0.012","1.4","12","0.002","0.05","0.006","0.5","7.9","1.8","0.005","0.12","0.01","0.01",,,"2.1",,"10","2.3",,"1.43","0.5","Nova Scotia Health Authority","bowencw","NS Department of Fisheries & Aquaculture",,,"FOLLY Folly R."
"Colchester","10","FOLLY",,"457386","5043110","11E12","28Z5",,"78.9","33.5",,"33.6","2.04",,"Yes","2018-09-10T00:00:00.000","13","S","20.5","6.2","13.28","8.4","8","0.22",,"5",,,"54.5",,"2.2","6.7","0.024","1.4","12.1","0.002","0.05","0.009","0.5","7.8","2","0.005","0.1","0.02","0.01",,,"2.4",,"10","1.7",,,,"Nova Scotia Health Authority","bowencw","NS Department of Fisheries & Aquaculture",,,"FOLLY Folly R."
"Colchester","10","FOLLY",,"457386","5043110","11E12","28Z5",,"78.9","33.5",,"33.6","2.04",,"Yes","2018-09-10T00:00:00.000","16","T","20.5","6.2","13.28","8.4","8",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"0.87","0.32","Nova Scotia Health Authority","bowencw","NS Department of Fisheries & Aquaculture",,,"FOLLY Folly R."
"Colchester","10","FOLLY",,"457386","5043110","11E12","28Z5",,"78.9","33.5",,"33.6","2.04",,"Yes","2018-09-10T00:00:00.000","29.3","B","20.5","6.2","13.28","8.4","8","0.91",,"7",,,"58.4","6","3.4","6.8","0.066","1.6","12.3","0.002","1.045","0.207","0.5","7.8","2.2","0.006","0.31","0.03","0.16","0.009","0.006","3.4",,,"2",,,,"Nova Scotia Health Authority","bowencw","NS Department of Fisheries & Aquaculture",,,"FOLLY Folly R."
"Cumberland","989","HARRISON",,"400528","5062440","21H09","27X1","2814528","134.4","5","2.6","134.4","1.71",,"No","2018-09-10T00:00:00.000","0","S","20","19.7","12.11","12.09","1.2","4.77",,"61",,,"52.4","9.6","5.4","7.1","0.14","2.2","8.4","0.002","0.747","0.12","0.7","6.2","2.1","0.005","0.35","0.01","0.01","0.021","0.004","1.5",,"10","10.1",,"8.45","3.07","Nova Scotia Health Authority","bowencw","NS Department of Fisheries & Aquaculture",,,"HARRISON Maccan R."
"Cumberland","989","HARRISON",,"400528","5062440","21H09","27X1","2814528","134.4","5","2.6","134.4","1.71",,"No","2018-09-10T00:00:00.000","2.4","T","20","19.7","12.11","12.09","1.2",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"8.39","3.32","Nova Scotia Health Authority","bowencw","NS Department of Fisheries & Aquaculture",,,"HARRISON Maccan R."
"Cumberland","989","HARRISON",,"400528","5062440","21H09","27X1","2814528","134.4","5","2.6","134.4","1.71",,"No","2018-09-10T00:00:00.000","3.1","B","20","19.7","12.11","12.09","1.2","5.2",,"60.7",,,"52.5","9.6","5.5","7.1","0.155","2.2","7.9","0.002","0.764","0.134","0.6","6.2","2.2","0.005","0.38","0.01","0.01","0.022","0.004","1.5",,,"10.2",,,,"Nova Scotia Health Authority","bowencw","NS Department of Fisheries & Aquaculture",,,"HARRISON Maccan R."
"Digby","969","NOWLANS",,"265977","4910720","21A05","71V4","925834","28.4","8","3.3","27.6","2.1",,"Yes","2018-08-30T00:00:00.000","0","S","24.6","18.6","15.5","7.65","0.85","11.2",,"14",,,"78.8","13.7","9.1","9.1","0.018","3","13","0.002","0.131","0.046","1.2","8.3","1.6","0.005",,"0.01","0.01","0.464","0.409","1.1",,"10","7.9",,"47.1","2.35","Nova Scotia Health Authority","bowencw","NS Department of Fisheries & Aquaculture",,,"NOWLANS Meteghan R."
"Digby","969","NOWLANS",,"265977","4910720","21A05","71V4","925834","28.4","8","3.3","27.6","2.1",,"Yes","2018-08-30T00:00:00.000","1.7","S","24.6","18.6","15.5","7.65","0.85",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"46",,"Nova Scotia Health Authority","bowencw","NS Department of Fisheries & Aquaculture",,,"NOWLANS Meteghan R."
"Digby","969","NOWLANS",,"265977","4910720","21A05","71V4","925834","28.4","8","3.3","27.6","2.1",,"Yes","2018-08-30T00:00:00.000","5","T","24.6","18.6","15.5","7.65","0.85","15.7",,"60.2",,,"120","24","36.6","7.5","0.02","6.3","12.7","0.002","6.108","2.879","1.8","8.3","1","0.005","3.14","0.01","2.38","2.405","2.02","2.4",,"20.5","9.8",,,,"Nova Scotia Health Authority","bowencw","NS Department of Fisheries & Aquaculture",,,"NOWLANS Meteghan R."
