"waterbody","station","lease","latitude","longitude","deployment_period","timestamp","sensor","depth","variable","value","units","mooring"
"Annapolis Basin","5005","5005","44.634167","-65.711933","2021-May-14 to 2021-Jun-18","2021-05-14T23:18:00.000","aquaMeasure-680322","1.3","Salinity","31.4","practical salinity units","float"
"Annapolis Basin","5005","5005","44.634167","-65.711933","2021-May-14 to 2021-Jun-18","2021-05-14T23:28:00.000","aquaMeasure-680322","1.3","Salinity","31.3","practical salinity units","float"
"Annapolis Basin","5005","5005","44.634167","-65.711933","2021-May-14 to 2021-Jun-18","2021-05-14T23:38:00.000","aquaMeasure-680322","1.3","Salinity","30.7","practical salinity units","float"
"Annapolis Basin","5005","5005","44.634167","-65.711933","2021-May-14 to 2021-Jun-18","2021-05-14T23:48:00.000","aquaMeasure-680322","1.3","Salinity","30.4","practical salinity units","float"
"Annapolis Basin","5005","5005","44.634167","-65.711933","2021-May-14 to 2021-Jun-18","2021-05-14T23:58:00.000","aquaMeasure-680322","1.3","Salinity","30.2","practical salinity units","float"
"Annapolis Basin","5005","5005","44.634167","-65.711933","2021-May-14 to 2021-Jun-18","2021-05-15T00:08:00.000","aquaMeasure-680322","1.3","Salinity","30.1","practical salinity units","float"
"Annapolis Basin","5005","5005","44.634167","-65.711933","2021-May-14 to 2021-Jun-18","2021-05-15T00:18:00.000","aquaMeasure-680322","1.3","Salinity","30.1","practical salinity units","float"
"Annapolis Basin","5005","5005","44.634167","-65.711933","2021-May-14 to 2021-Jun-18","2021-05-15T00:28:00.000","aquaMeasure-680322","1.3","Salinity","30.1","practical salinity units","float"
"Annapolis Basin","5005","5005","44.634167","-65.711933","2021-May-14 to 2021-Jun-18","2021-05-15T00:38:00.000","aquaMeasure-680322","1.3","Salinity","30.2","practical salinity units","float"
"Annapolis Basin","5005","5005","44.634167","-65.711933","2021-May-14 to 2021-Jun-18","2021-05-15T00:48:00.000","aquaMeasure-680322","1.3","Salinity","30.4","practical salinity units","float"
"Annapolis Basin","5005","5005","44.634167","-65.711933","2021-May-14 to 2021-Jun-18","2021-05-15T00:58:00.000","aquaMeasure-680322","1.3","Salinity","30.4","practical salinity units","float"
"Annapolis Basin","5005","5005","44.634167","-65.711933","2021-May-14 to 2021-Jun-18","2021-05-15T01:08:00.000","aquaMeasure-680322","1.3","Salinity","30.6","practical salinity units","float"
"Annapolis Basin","5005","5005","44.634167","-65.711933","2021-May-14 to 2021-Jun-18","2021-05-15T01:18:00.000","aquaMeasure-680322","1.3","Salinity","30.8","practical salinity units","float"
"Annapolis Basin","5005","5005","44.634167","-65.711933","2021-May-14 to 2021-Jun-18","2021-05-15T01:28:00.000","aquaMeasure-680322","1.3","Salinity","30.9","practical salinity units","float"
"Annapolis Basin","5005","5005","44.634167","-65.711933","2021-May-14 to 2021-Jun-18","2021-05-15T01:38:00.000","aquaMeasure-680322","1.3","Salinity","31","practical salinity units","float"
"Annapolis Basin","5005","5005","44.634167","-65.711933","2021-May-14 to 2021-Jun-18","2021-05-15T01:48:00.000","aquaMeasure-680322","1.3","Salinity","30.8","practical salinity units","float"
"Annapolis Basin","5005","5005","44.634167","-65.711933","2021-May-14 to 2021-Jun-18","2021-05-15T01:58:00.000","aquaMeasure-680322","1.3","Salinity","30.5","practical salinity units","float"
"Annapolis Basin","5005","5005","44.634167","-65.711933","2021-May-14 to 2021-Jun-18","2021-05-15T02:08:00.000","aquaMeasure-680322","1.3","Salinity","30.7","practical salinity units","float"
