"location","civic_address","city","pronvince","postal_code","website","location1"
"Jane Norman College","60 Lorne Avenue","Truro","NS","B2N 3K3","http://www.janenorman.ca","POINT (-63.279615 45.367908)"
"Nova Scotia College of Early Childhood Education","6208 Quinpool Road 2nd Floor","Halifax","NS","B3L 1A3","http://www.nscece.ca/eycdc/","POINT (-63.595939 44.645828)"
"Nova Scotia Community College- Burridge","372 Pleasant Street","Yarmouth","NS","B5A 2L2","http://www.ecdsc.nscc.ca/","POINT (-66.103728 43.852343)"
"Nova Scotia Community College- Cumberland","1 Main Street","Springhill","NS","B0M 1X0","http://www.ecdsc.nscc.ca/","POINT (-64.061718 45.647319)"
"Nova Scotia Community College- Kingstec","236 Belcher Street","Kentville","NS","B4N 0A6","http://www.ecdsc.nscc.ca/","POINT (-64.48196 45.084772)"
"Nova Scotia Community College – Marconi Campus","1240 Grand Lake Road","Sydney","NS","B1P 6J7","http://www.ecdsc.nscc.ca/","POINT (-60.094851 46.171076)"
"Centre d'appui à la petite enfance de la Nouvelle-Écosse (CAPENÉ)","C.P. 169, 1695 Route 1","Pointe-de-l'Église","NS","B0W 1M0","http://capene.ca","POINT (-66.115301 44.332953)"
"Mount Saint Vincent University","166 Bedford Highway","Halifax","NS","B3M 2J6","http://www.msvu.ca","POINT (-63.644385 44.672888)"
