"year","age_group","sex","beneficiaries","prescriptions","drug_cost","pharmacist_fees","total_expenditures","total_government_expenditure","claims_per_beneficiary","govt_expend_per_beneficiary"
"2020-21","0-4","Female","111","379","10775","5624","16399","6740","3","60.72"
"2020-21","5-9","Female","196","1047","60245","17324","77569","50124","5","255.74"
"2020-21","10-14","Female","320","1979","155219","36075","191294","129209","6","403.78"
"2020-21","15-19","Female","575","4469","694519","90047","784566","630543","8","1096.60"
"2020-21","20-24","Female","656","9584","1390164","225226","1615390","1355607","15","2066.47"
"2020-21","25-29","Female","743","18374","2659610","324846","2984456","2614231","25","3518.48"
"2020-21","30-34","Female","755","20041","1978027","385369","2363396","1756533","27","2326.53"
"2020-21","35-39","Female","828","22010","2592518","423624","3016142","2373002","27","2865.94"
"2020-21","40-44","Female","906","21446","2437077","444191","2881268","1979325","24","2184.69"
"2020-21","45-49","Female","1007","26832","2801206","522973","3324179","2365503","27","2349.06"
"2020-21","50-54","Female","1242","32363","2994590","605032","3599622","2417588","26","1946.53"
"2020-21","55-59","Female","2101","61264","4876866","1091249","5968115","4121049","29","1961.47"
"2020-21","60-64","Female","3139","100731","6462856","1672663","8135519","5464584","32","1740.87"
"2020-21","65+","Female","1784","45052","2659462","711468","3370930","2135073","25","1196.79"
"2020-21","0-4","Male","130","488","614729","7802","622531","614645","4","4728.04"
"2020-21","5-9","Male","278","1371","105132","25504","130636","93019","5","334.60"
"2020-21","10-14","Male","346","2744","1170753","56136","1226889","1078968","8","3118.40"
"2020-21","15-19","Male","353","2940","257790","56137","313927","253536","8","718.23"
"2020-21","20-24","Male","409","7554","1804875","178826","1983701","1765961","18","4317.75"
"2020-21","25-29","Male","532","18673","1533090","346402","1879492","1512005","35","2842.11"
"2020-21","30-34","Male","513","26246","1703733","434728","2138461","1628872","51","3175.19"
"2020-21","35-39","Male","500","17464","2186847","327997","2514844","1947658","35","3895.32"
"2020-21","40-44","Male","528","15737","1586356","296124","1882480","1354899","30","2566.10"
"2020-21","45-49","Male","666","19574","2060671","369399","2430071","1735642","29","2606.07"
"2020-21","50-54","Male","875","25097","2879961","478370","3358331","2521679","29","2881.92"
"2020-21","55-59","Male","1556","48187","3953445","839153","4792597","3474262","31","2232.82"
"2020-21","60-64","Male","2348","73861","5123395","1224602","6347998","4233526","31","1803.04"
"2020-21","65+","Male","1620","40916","2716489","652461","3368950","2165079","25","1336.47"
