"date_enacted","zone","gender","rate_type","rate","wage_type","_change"
"2002-10-01T00:00:00.000",,"All","Hourly Rate","6.00","Experienced Rate",
"2002-10-01T00:00:00.000",,"All","Hourly Rate","5.55","Inexperienced Rate",
"2003-10-01T00:00:00.000",,"All","Hourly Rate","6.25","Experienced Rate","4.2"
"2003-10-01T00:00:00.000",,"All","Hourly Rate","5.80","Inexperienced Rate","4.5"
"2004-04-01T00:00:00.000",,"All","Hourly Rate","6.50","Experienced Rate","4.0"
"2004-04-01T00:00:00.000",,"All","Hourly Rate","6.05","Inexperienced Rate","4.3"
"2005-10-01T00:00:00.000",,"All","Hourly Rate","6.80","Experienced Rate","4.6"
"2005-10-01T00:00:00.000",,"All","Hourly Rate","6.35","Inexperienced Rate","5.0"
"2006-04-01T00:00:00.000",,"All","Hourly Rate","7.15","Experienced Rate","5.1"
"2006-04-01T00:00:00.000",,"All","Hourly Rate","6.70","Inexperienced Rate","5.5"
"2007-05-01T00:00:00.000",,"All","Hourly Rate","7.60","Experienced Rate","6.3"
"2007-05-01T00:00:00.000",,"All","Hourly Rate","7.15","Inexperienced Rate","6.7"
"2008-05-01T00:00:00.000",,"All","Hourly Rate","8.10","Experienced Rate","6.6"
"2008-05-01T00:00:00.000",,"All","Hourly Rate","7.60","Inexperienced Rate","6.3"
"2009-04-01T00:00:00.000",,"All","Hourly Rate","8.60","Experienced Rate","6.2"
"2009-04-01T00:00:00.000",,"All","Hourly Rate","8.10","Inexperienced Rate","6.6"
"2010-04-01T00:00:00.000",,"All","Hourly Rate","9.20","Experienced Rate","7.0"
"2010-04-01T00:00:00.000",,"All","Hourly Rate","8.70","Inexperienced Rate","7.4"
"2010-10-01T00:00:00.000",,"All","Hourly Rate","9.65","Experienced Rate","4.9"
"2010-10-01T00:00:00.000",,"All","Hourly Rate","9.15","Inexperienced Rate","5.2"
"2011-10-01T00:00:00.000",,"All","Hourly Rate","10.00","Experienced Rate","3.6"
"2011-10-01T00:00:00.000",,"All","Hourly Rate","9.50","Inexperienced Rate","3.8"
"2012-04-01T00:00:00.000",,"All","Hourly Rate","10.15","Experienced Rate","1.5"
"2012-04-01T00:00:00.000",,"All","Hourly Rate","9.65","Inexperienced Rate","1.6"
"2013-04-01T00:00:00.000",,"All","Hourly Rate","10.30","Experienced Rate","1.5"
"2013-04-01T00:00:00.000",,"All","Hourly Rate","9.80","Inexperienced Rate","1.6"
"2014-04-01T00:00:00.000",,"All","Hourly Rate","10.40","Experienced Rate","1.0"
"2014-04-01T00:00:00.000",,"All","Hourly Rate","9.90","Inexperienced Rate","1.0"
"2015-04-01T00:00:00.000",,"All","Hourly Rate","10.60","Experienced Rate","1.9"
"2015-04-01T00:00:00.000",,"All","Hourly Rate","10.10","Inexperienced Rate","2.0"
"2016-04-01T00:00:00.000",,"All","Hourly Rate","10.70","Experienced Rate","0.9"
"2016-04-01T00:00:00.000",,"All","Hourly Rate","10.20","Inexperienced Rate","1.0"
"2017-04-01T00:00:00.000",,"All","Hourly Rate","10.85","Experienced Rate","1.4"
"2017-04-01T00:00:00.000",,"All","Hourly Rate","10.35","Inexperienced Rate","1.5"
"2018-04-01T00:00:00.000",,"All","Hourly Rate","11.00","Experienced Rate","1.4"
"2018-04-01T00:00:00.000",,"All","Hourly Rate","10.50","Inexperienced Rate","1.4"
"2019-04-01T00:00:00.000",,"All","Hourly Rate","11.55","Experienced Rate","5.0"
"2019-04-01T00:00:00.000",,"All","Hourly Rate","11.05","Inexperienced Rate","5.2"
"2020-04-01T00:00:00.000",,"All","Hourly Rate","12.55","Experienced Rate","8.7"
"2020-04-01T00:00:00.000",,"All","Hourly Rate","12.55","Inexperienced Rate","13.6"
"2021-04-01T00:00:00.000",,"All","Hourly Rate","12.95","Minimum Wage Rate","3.2"
"2022-04-01T00:00:00.000",,"All","Hourly Rate","13.35","Minimum Wage Rate","3.1"
