"county","english_placename","siorramachd","inm_aite_s_a_gh_idhlig","lat","long","easting","northing","geocoded_column"
"Pictou","Pictou","PIOGTO","Baile Phiogto","45.6760186457999","-62.708864292","522674.52","5058093.18","POINT (-62.708864292 45.6760186457999)"
"Pictou","Sunny Brae","PIOGTO","Am Bràighe Grianach","45.4020058157","-62.5038466626999","538830.05","5027729.44","POINT (-62.5038466626999 45.40200581570001)"
"Cape Breton","Georges River","ROINN BHEAG IONADAIL CHEAP BREATAINN","Abhainn Sheòrais","46.2130863694999","-60.3152005845999","707087.64","5121227.24","POINT (-60.3152005845999 46.2130863694999)"
"Cape Breton","Southside Boularderie","ROINN BHEAG IONADAIL CHEAP BREATAINN","Boularderie Taobh A Deas","46.1940626338","-60.4603311536999","695961.21","5118744.89","POINT (-60.460331153699904 46.1940626338)"
"Pictou","Browns Point","PIOGTO","Rudha A’ Bhrùnaich","45.6703117048","-62.7376050443999","520438.18","5057451.40","POINT (-62.737605044399906 45.6703117048)"
"Guysborough","Giants Lake","AM MAINISDEAR","Loch an Fhamhair","45.3879025883","-61.8607210524","589184.60","5026674.18","POINT (-61.8607210524 45.3879025883)"
"Pictou","Gairloch","PIOGTO","Geàrr-loch","45.4801838531","-62.8339228215","512979.63","5036308.40","POINT (-62.83392282150001 45.4801838531)"
"Richmond","St. Peter's","RICHMOND","Baile Naoimh Pheadair","45.6562000038999","-60.8751694012999","665545.76","5058045.90","POINT (-60.87516940129989 45.6562000038999)"
"Cape Breton","Irish Vale","ROINN BHEAG IONADAIL CHEAP BREATAINN","Baile Nan Éireannach","45.8492712149","-60.6457818259","682785.46","5079995.87","POINT (-60.64578182590001 45.8492712149)"
"Antigonish","Williams Point","ANTAIGINIS","Rubha Uilleim","45.6383004021","-61.9287770166","583485.99","5054419.47","POINT (-61.9287770166 45.6383004021)"
"Cape Breton","Fortress of Louisbourg","ROINN BHEAG IONADAIL CHEAP BREATAINN","Dùn Nam Frangach","45.9083325661","-60.5000040209","693898.03","5086901.89","POINT (-60.5000040209 45.9083325661)"
"Cape Breton","MacAdams Lake","ROINN BHEAG IONADAIL CHEAP BREATAINN","Loch ’ic Eamoinn","45.9138856484999","-60.3552139893999","705107.14","5087881.20","POINT (-60.35521398939991 45.9138856484999)"
"Cape Breton","Coopers Pond","BHIOCTORIA","Pon A’ Chùbair","45.9583324031","-60.7707268186999","672745.91","5091834.28","POINT (-60.7707268186999 45.9583324031)"
"Cape Breton","St. Andrews Channel","ROINN BHEAG IONADAIL CHEAP BREATAINN","Caolas Naoimh Anndra","45.9382317202","-60.5024414641","693604.89","5090217.82","POINT (-60.502441464099995 45.9382317202)"
"Pictou","East River of Pictou","PIOGTO","An Abhainn Mhór","45.6598138547999","-62.7056065355999","522934.86","5056293.75","POINT (-62.7056065355999 45.6598138547999)"
"Pictou","Sutherlands River","PIOGTO","Abhainn An t-Sùtharlanaich","45.5870532237","-62.4977135209","539181.51","5048290.62","POINT (-62.49771352089999 45.5870532237)"
"Richmond","Salmon River","RICHMOND","Abhainn A’ Bhradain","45.623735695","-60.7740351579","673525.29","5054653.23","POINT (-60.774035157899995 45.623735695)"
"Antigonish","Salt Springs","ANTAIGINIS","Na Tobar Shalainn","45.5855033465999","-62.0085212537","577343.66","5048473.78","POINT (-62.008521253699996 45.5855033465999)"
"Pictou","Coalburn","PIOGTO","Allt A’ Ghuail","45.5666808299","-62.5920244468","531836.17","5045985.53","POINT (-62.59202444680001 45.5666808299)"
"Guysborough","Caledonia","AM MAINISDEAR","Cailleann","45.2817739625999","-62.3966716694","547317.85","5014429.72","POINT (-62.3966716694 45.2817739625999)"
"Guysborough","Newtown","INBHIR NIS","Am Baile Ùr","45.3595533498999","-62.1362743074","567647.66","5023256.30","POINT (-62.1362743074 45.3595533498999)"
