"year","sex","age_group","beneficiaries","number_of_prescriptions","drug_cost","pharmacists_fees","total_expenditure","rx_per_beneficiary","cost_per_beneficiary","total_government_expenditure","gov_expenditure_per_beneficiary"
"2020-21","Female","65 - 69","16006","402182","16678092","5995958","22674050","25",,"19917749","1244.39"
"2020-21","Female","70 - 74","19653","625965","20875492","8971379","29846872","32",,"26046568","1325.32"
"2020-21","Female","75 - 79","15101","559023","17120678","7881416","25002094","37",,"21858668","1447.50"
"2020-21","Female","80 - 84","10468","442507","12190112","6159610","18349722","42",,"15981340","1526.69"
"2020-21","Female","85 - 89","7203","343817","7088965","4659362","11748327","48",,"10005073","1389.01"
"2020-21","Female","90 - 94","4215","220663","3142562","2913398","6055960","52",,"4999052","1186.01"
"2020-21","Female","95 - 99","1668","82203","967498","1077995","2045493","49",,"1633298","979.20"
"2020-21","Female","100+","442","20249","224803","265542","490345","46",,"387527","876.76"
"2020-21","Male","65 - 69","13082","354535","15270071","5268910","20538981","27",,"18219081","1392.68"
"2020-21","Male","70 - 74","16458","533911","21609461","7871035","29480496","32",,"26146887","1588.70"
"2020-21","Male","75 - 79","12623","467692","17762662","6815082","24577744","37",,"21823765","1728.89"
"2020-21","Male","80 - 84","8028","338722","11587643","4855560","16443202","42",,"14538517","1810.98"
"2020-21","Male","85 - 89","4513","202635","5853918","2857081","8710999","45",,"7606037","1685.36"
"2020-21","Male","90 - 94","1916","88834","1995934","1223047","3218981","46",,"2751475","1436.05"
"2020-21","Male","95 - 99","367","16590","318354","226757","545111","45",,"457038","1245.34"
"2020-21","Male","100+","45","1699","21146","22458","43604","38",,"34395","764.33"
"2019-20","Female","65 - 69","15957","384854","14599786","5747034","20346820","24","1275.10",,
"2019-20","Female","70 - 74","19491","602138","20628851","8826309","29455160","31","1511.22",,
"2019-20","Female","75 - 79","14359","510924","15750022","7342359","23092381","36","1608.22",,
"2019-20","Female","80 - 84","10215","425809","11198242","5991222","17189464","42","1682.77",,
"2019-20","Female","85 - 89","7260","341102","6398390","4608561","11006950","47","1516.11",,
"2019-20","Female","90 - 94","4193","217384","3023111","2867248","5890360","52","1404.81",,
"2019-20","Female","95 - 99","1671","82971","1011831","1088480","2100311","50","1256.92",,
"2019-20","Female","100+","428","20179","228170","263737","491908","47","1149.32",,
"2019-20","Male","65 - 69","13030","332788","14051429","5073686","19125116","26","1467.78",,
"2019-20","Male","70 - 74","16365","509777","20491205","7707434","28198639","31","1723.11",,
"2019-20","Male","75 - 79","12018","422298","16314720","6330785","22645505","35","1884.30",,
"2019-20","Male","80 - 84","7778","319096","10495977","4645665","15141642","41","1946.73",,
"2019-20","Male","85 - 89","4337","189744","5361445","2710154","8071599","44","1861.10",,
