"region","month_year","occupancy_rate","room_nights_sold_rounded_to_nearest_thousand"
"South Shore","2022-04-01T00:00:00.000","0.39","11000"
"Cape Breton","2022-04-01T00:00:00.000","0.39","19000"
"Northumberland Shore","2022-04-01T00:00:00.000","0.46","10000"
"Bay of Fundy/Annapolis Valley","2022-04-01T00:00:00.000","0.44","21000"
"Halifax Metro","2022-04-01T00:00:00.000","0.61","111000"
"Yarmouth/Acadian Shores","2022-04-01T00:00:00.000","0.31","4000"
"Province","2022-04-01T00:00:00.000","0.52","166000"
"Eastern Shore","2022-04-01T00:00:00.000","0.16","0"
"Halifax Metro","2022-03-01T00:00:00.000","0.54","104000"
"Province","2022-03-01T00:00:00.000","0.48","170000"
"Yarmouth/Acadian Shores","2022-03-01T00:00:00.000","0.39","6000"
"Bay of Fundy/Annapolis Valley","2022-03-01T00:00:00.000","0.41","20000"
"Northumberland Shore","2022-03-01T00:00:00.000","0.44","10000"
"Cape Breton","2022-03-01T00:00:00.000","0.4","21000"
"Eastern Shore","2022-03-01T00:00:00.000","0.13","0"
"South Shore","2022-03-01T00:00:00.000","0.42","11000"
"Yarmouth/Acadian Shores","2022-02-01T00:00:00.000","0.24","3000"
"Province","2022-02-01T00:00:00.000","0.35","112000"
"Bay of Fundy/Annapolis Valley","2022-02-01T00:00:00.000","0.35","15000"
"Northumberland Shore","2022-02-01T00:00:00.000","0.29","6000"
"Cape Breton","2022-02-01T00:00:00.000","0.3","14000"
"Eastern Shore","2022-02-01T00:00:00.000","0.11","0"
"Halifax Metro","2022-02-01T00:00:00.000","0.38","66000"
"South Shore","2022-02-01T00:00:00.000","0.32","8000"
"Province","2022-01-01T00:00:00.000","0.25","87000"
"Yarmouth/Acadian Shores","2022-01-01T00:00:00.000","0.23","3000"
"Bay of Fundy/Annapolis Valley","2022-01-01T00:00:00.000","0.24","11000"
"Northumberland Shore","2022-01-01T00:00:00.000","0.24","5000"
"Cape Breton","2022-01-01T00:00:00.000","0.21","10000"
"Eastern Shore","2022-01-01T00:00:00.000","0.03","0"
"Halifax Metro","2022-01-01T00:00:00.000","0.27","52000"
"South Shore","2022-01-01T00:00:00.000","0.22","6000"
"South Shore","2021-12-01T00:00:00.000","0.28","8000"
"Yarmouth/Acadian Shores","2021-12-01T00:00:00.000","0.31","4000"
"Province","2021-12-01T00:00:00.000","0.36","122000"
"Bay of Fundy/Annapolis Valley","2021-12-01T00:00:00.000","0.31","15000"
"Northumberland Shore","2021-12-01T00:00:00.000","0.2","5000"
"Cape Breton","2021-12-01T00:00:00.000","0.32","13000"
"Eastern Shore","2021-12-01T00:00:00.000","0.17",
"Halifax Metro","2021-12-01T00:00:00.000","0.41","78000"
"Halifax Metro","2021-11-01T00:00:00.000","0.52","94000"
"Province","2021-11-01T00:00:00.000","0.48","161000"
"Yarmouth/Acadian Shores","2021-11-01T00:00:00.000","0.43","6000"
"Bay of Fundy/Annapolis Valley","2021-11-01T00:00:00.000","0.43","20000"
"Northumberland Shore","2021-11-01T00:00:00.000","0.47","11000"
"Cape Breton","2021-11-01T00:00:00.000","0.44","18000"
"Eastern Shore","2021-11-01T00:00:00.000","0.22",
"South Shore","2021-11-01T00:00:00.000","0.4","11000"
"Cape Breton","2021-10-01T00:00:00.000","0.56","37000"
