"year","zone","sex","age_group","population","hypertension_count","prevalence_rate"
"2000-01-01T00:00:00.000","Zone 4 - Central","F","20 to 29","23776","320","1.35"
"2000-01-01T00:00:00.000","Zone 4 - Central","F","30 to 39","29627","1351","4.56"
"2000-01-01T00:00:00.000","Zone 4 - Central","F","40 to 49","29713","3224","10.85"
"2000-01-01T00:00:00.000","Zone 4 - Central","F","50 to 59","22148","6054","27.33"
"2000-01-01T00:00:00.000","Zone 4 - Central","F","60 to 69","13937","6425","46.10"
"2000-01-01T00:00:00.000","Zone 4 - Central","F","70 to 79","11290","6922","61.31"
"2000-01-01T00:00:00.000","Zone 4 - Central","F","80 +","7958","5261","66.11"
"2000-01-01T00:00:00.000","Zone 4 - Central","M","20 to 29","22404","243","1.08"
"2000-01-01T00:00:00.000","Zone 4 - Central","M","30 to 39","27082","1178","4.35"
"2000-01-01T00:00:00.000","Zone 4 - Central","M","40 to 49","27495","2963","10.78"
"2000-01-01T00:00:00.000","Zone 4 - Central","M","50 to 59","21056","5187","24.63"
"2000-01-01T00:00:00.000","Zone 4 - Central","M","60 to 69","13099","5420","41.38"
"2000-01-01T00:00:00.000","Zone 4 - Central","M","70 to 79","8413","4586","54.51"
"2000-01-01T00:00:00.000","Zone 4 - Central","M","80 +","3827","2186","57.12"
"2000-01-01T00:00:00.000","Zone 3 - Eastern","F","20 to 29","8881","164","1.85"
"2000-01-01T00:00:00.000","Zone 3 - Eastern","F","30 to 39","11624","733","6.31"
"2000-01-01T00:00:00.000","Zone 3 - Eastern","F","40 to 49","14367","2101","14.62"
"2000-01-01T00:00:00.000","Zone 3 - Eastern","F","50 to 59","11667","3745","32.10"
"2000-01-01T00:00:00.000","Zone 3 - Eastern","F","60 to 69","8057","3897","48.37"
"2000-01-01T00:00:00.000","Zone 3 - Eastern","F","70 to 79","6509","4090","62.84"
"2000-01-01T00:00:00.000","Zone 3 - Eastern","F","80 +","5385","3456","64.18"
"2000-01-01T00:00:00.000","Zone 3 - Eastern","M","20 to 29","8811","143","1.62"
"2000-01-01T00:00:00.000","Zone 3 - Eastern","M","30 to 39","11230","645","5.74"
"2000-01-01T00:00:00.000","Zone 3 - Eastern","M","40 to 49","14164","1923","13.58"
"2000-01-01T00:00:00.000","Zone 3 - Eastern","M","50 to 59","12167","3299","27.11"
"2000-01-01T00:00:00.000","Zone 3 - Eastern","M","60 to 69","7859","3284","41.79"
