"name","licensee","street_address","community","province","postal_code","license","location"
"Make Yer Own Wine and Beer","William & Collette Brady, Reg. Partnersh","34 James ST","Antigonish","NS","B2G 1R7","5997","POINT (-62.002326 45.615647)"
"Noble Grape Lacewood Drive","The Brew Guys Limited","362 Lacewood DR","Halifax","NS","B3S 1M7","5998","POINT (-63.67031 44.658692)"
"Noble Grape Dartmouth","The Brew Guys Limited","754 Main ST","Dartmouth","NS","B3L 3L9","5999","POINT (-63.492328 44.698194)"
"Wine Kitz Digby","3268873 Nova Scotia Limited","471 Hwy.#303","Conway","NS","B0V 1A0","6000","POINT (-65.770211 44.599901)"
"Wine Kitz New Minas","3231011 Nova Scotia Limited","8934 Commercial ST","New Minas","NS","B4N 3C9","6001","POINT (-64.463894 45.068288)"
"The Juiced Grape","3322664 Nova Scotia limited","5126 St. Margaret's Bay RD","Upper Tantallon","NS","B3Z 1EZ","6002","POINT (-63.875703 44.687108)"
"Wine Kitz Bridgewater","3268874 Nova Scotia Limited","28 Davidson DR","Bridgewater","NS","B4V 3T2","6003","POINT (-64.518072 44.380597)"
"Noble Grape Burnside","The Brew Guys Limited","95 Akerley BL","Dartmouth","NS","B3L 3L9","6004","POINT (-63.594163 44.713571)"
"Noble Grape Coldbrook","The Brew Guys Limited","7116 Highway #1 .","Coldbrook","NS","B4R 1A2","6005","POINT (-64.570646 45.067283)"
"Noble Grape Sackville","The Brew Guys Limited","546 Sackville DR","Lr. Sackville",,"B4C 2S2","6006","POINT (-63.683426 44.767094)"
"Noble Grape Cole Harbour","The Brew Guys Limited","900 Cole Harbour RD","Cole Harbour","NS","B2V 2J5","6007","POINT (-63.501336 44.67112)"
"Noble Grape Oxford Street","The Brew Guys Limited","2100 Oxford","Halifax","NS","B3L 2T2","6008","POINT (-63.601244 44.646477)"
"Island Winemakers Inc.","Island Winemakers Inc.","1290 Kings RD","Sydney","NS","B1S 1E2","6009","POINT (-60.22467 46.107079)"
"WineKitz Lacewood Dr.","Pemberley Wine Inc.","111-287 Lacewood DR","Halifax","NS","B3M 3Y7","6016","POINT (-63.65693 44.662326)"
"Pattons Water N Wine","C Patton Enterprises Ltd.","21 Heritage AV","Stellarton","NS","B0X 1S0","6017","POINT (-62.66404 45.569162)"
"Wine Kitz Lower Sackville","OKQD Ltd.","601 Sackville DR","Sackville","NS","B4C 2S4","6018","POINT (-63.686186 44.768453)"
"Wine Kings Inc.","Wine Kings Inc.","673 King ST","Bridgewater","NS","B4V 1B5","6028","POINT (-64.520707 44.379039)"
"The Water Market","Lee Martin","237 Victoria RD","Lunenburg","NS","B0J 2C0","6029","POINT (-64.329638 44.37652)"
"The Good Guys Brew Shoppe","Richard's Wine 'N' Beer Inc.","60 South Albion ST","Amherst","NS","B4H 2W5","6030","POINT (-64.206663 45.821368)"
"Wine Kitz, Dartmouth","QDOK Limited","250 Baker DR","Dartmouth","NS","B2W 6L4","6033","POINT (-63.528856 44.65634)"
"Water 'N' Wine","B & E BREWVIN INCORPORATED","68 Robie ST","Truro","NS","B2N 1L2","6037","POINT (-63.313162 45.367863)"
"Wine Kitz Truro","BENC Inc.","274 Pictou RD","Bible Hill","NS","B2N 2T3","6038","POINT (-63.241687 45.380979)"
"Winexpert - Sydney","3308236 Nova Scotia Limited","480 Prince ST","Sydney","NS","B1P 5L7","6040","POINT (-60.177379 46.140621)"
"Yarmouth Brewing Centre","Ruth Ann DeveauRuth Ann Deveau","11 Parade ST","Yarmouth","NS","B5A 3A4","6050","POINT (-66.118112 43.837615)"
"Wine Kitz Yarmouth","32877772 Nova Scotia Limited","26 Burton AV","Yarmouth",,"B5A 4E6","6057","POINT (-66.102222 43.841245)"
"Winecrafters Dartmouth Ltd.","Winecrafters Dartmouth Ltd.","103-590 Portland ST","Dartmouth","NS","B2W 6B7","6058","POINT (-63.530948 44.670811)"
"Maritime Wine & Beer Emporium","Maritime Wine & Beer Emporium","6015 Lady Hammond RD","Halifax","NS","B3K 2R6","6066","POINT (-63.61136 44.665225)"
"Spryfield Water 'N' Wine","3275834 Nova Scotia Limited","2 Mont ST","Halifax","NS","B3P1L3","6079","POINT (-63.618396 44.622768)"
"Brewers Direct Academy of Wines","3308058 Nova Scotia Limited","1077 King's RD","Sydney","NS","B1R 1E4","6080","POINT (-60.21908 46.111519)"
"Valley Drug Mart Ltd, Kingston","Valley Drug Mart Ltd, Kingston","613/627 Main ST","Kingston","NS","B0P 1R0","6099",
"Vintner's Cellar Bedford","Balferg Winery Inc.","936 Bedford Hwy.","Bedford","NS","B4A 3P1","6171","POINT (-63.678065 44.71483)"
"Noble Grape Kingston","The Brew Guys Ltd","694 Main ST","Kingston","NS","B0P 1R0","6232","POINT (-64.945596 44.988799)"
"Grow and Brew Supply Store","Stephanie Scammell and Kevin Scamme","24 Havelock ST","Truro","NS","B2N4B7","6389","POINT (-63.275326 45.363541)"
"Hops N Grapes Supplies","Heather Hodder","589 Hwy #2","Elmsdale","NS","B2S 1A4","6416","POINT (-63.517395 44.959403)"
"Vintner's Cellar Cole Harbour","3314463 Nova Scotia Limited","945 Cole Harbour RD","Dartmouth","NS","B2V 1E5","6428","POINT (-63.496603 44.671293)"
"Noble Grape-Windsor","The Brew Guys Limited","169 Water ST","Windsor","NS","B0N 2T0..","6538","POINT (-64.139972 44.994076)"
"Wine and Woollies","Wine and Woollies Limited","15 Alder Point RD","Bras d'Or","NS","B1Y 2K2","6768","POINT (-60.289074 46.252178)"
