"company_name","parent_company_name","production_title","application_type_part_a_or","amount_of_credit_provided","approval_date"
"DHX-Space Ranger Productions Inc.",,,"A","1701915","2015-11-24T00:00:00.000"
"Cartoon Conrad Productions",,,"A","181879","2015-12-17T00:00:00.000"
"Cartoon Conrad Productions",,,"A","135231","2015-12-22T00:00:00.000"
"Cartoon Conrad Productions","N/A","Ice Dragon 2","A","88418","2016-01-26T00:00:00.000"
"ByTown Productions Inc.","Copernicus Studios Inc.","Give a Mouse a Christmas Cookie","A","265551","2016-02-11T00:00:00.000"
"Copernicus International Inc.","Copernicus Studios Inc.","As Told by Emoji","A","141044","2016-02-25T00:00:00.000"
"DHX-Inspector Gadget Productions II Inc.","DHX Media (Halifax) Ltd.","Inspector Gadget Season 2","A","1457374","2016-03-11T00:00:00.000"
"DHX-Inspector Gadget Productions III Inc.","DHX Media (Halifax) Ltd.","Inspector Gadget Season 3","A","1457374","2016-03-11T00:00:00.000"
"Copernicus Studios Animation Inc.","Copernicus Studios Inc.","Teen Titans Season 4","A","831904","2016-03-31T00:00:00.000"
"Cartoon Conrad Productions","N/A","Lalaloopsy Musical Spinoff: Season 1","A","191108","2016-04-19T00:00:00.000"
"Cartoon Conrad Productions Inc.","N/A","Cloudy with a Chance of Meatballs","A","19975","2016-06-16T00:00:00.000"
"3206674 Nova Scotia Limited","N/A","We're Fish","A","263271","2016-06-16T00:00:00.000"
"DHX Halifax Production Services Ltd.","DHX Media (Halifax) Ltd.","Wishenpoop II","A","3223434","2016-07-07T00:00:00.000"
"Cookie Mouse Productions Inc.","Copernicus Studios Inc.","If You Give a Mouse a Cookie","A","2423370","2016-07-27T00:00:00.000"
"CSI Production Inc.","Copernicus Studios Inc.","Pickle & Peanut Season 2","A","1868824","2016-08-23T00:00:00.000"
"Cartoon Conrad Productions","N/A","Chuck's Choice","A","18859","2016-09-13T00:00:00.000"
"Edison Productions Inc.","Six Eleven Media Inc.","Addison","A","869164","2016-10-25T00:00:00.000"
"DHX NS Service (M) Inc.","DHX Media (Halifax) Ltd","Little People Season 2","A","3099614","2017-06-30T00:00:00.000"
"Cartoon Conrad Productions",,"Ask the StoryBots Season 2","A","106223","2017-06-26T00:00:00.000"
"Cartoon Conrad Productions",,"Cloudy with a Chance of Meatballs Season 2","A","62192","2017-06-27T00:00:00.000"
"ByTown Productions Inc.","Copernicus Studios Inc.","Give a Mouse a Christmas Cookie","B","283827","2017-07-12T00:00:00.000"
"3206674 Nova Scotia Limited",,"Chomp Season 1","A","1276419","2017-06-14T00:00:00.000"
"Bravo Nova Productions Inc.","Copernicus Studios Inc.","The Loud House","A","123827","2017-07-13T00:00:00.000"
"3290749 Nova Scotia Limited",,"Spaceman et Robotron","A","134661","2017-07-31T00:00:00.000"
"DHX NS Service (M) Inc.","DHX Media (Halifax) Ltd.","Bob The Builder - Season 3","A","2299622","2017-09-01T00:00:00.000"
"Cartoon Conrad Productions",,"Kulipari Part 4","B","194538","2017-10-06T00:00:00.000"
"Cartoon Conrad Productions",,"Atomic Puppet","B","38043","2017-10-06T00:00:00.000"
"Copernicus International Inc.","Copernicus Studios Inc.","As Told by Emoji","B","150452","2017-10-13T00:00:00.000"
"Copernicus Productions Inc.","Copernicus Studios Inc.","Teen Titans Go to the Movies","A","457014","2017-11-02T00:00:00.000"
"Cartoon Conrad Productions Inc.",,"Lalaloopsy Musical Spinoff: Season 1","B","262560","2017-11-29T00:00:00.000"
"Dublin Town Productions Inc.","Copernicus Studios Inc.","Pinky Malinky","A","228194","2018-02-09T00:00:00.000"
"Cartoon Conrad Productions Inc.",,"Ice Dragon 2 - Legend of the Blue Daisies","B","288721","2018-03-06T00:00:00.000"
"TPB A1 Productions Incorporated","Swear Net Holdings Incorporated","Trailer Park Boys Animation - Season 1","A","2565521","2018-03-08T00:00:00.000"
"Circle24 Productions Inc.","Copernicus Studios Inc.","Care Bears - Season 1","A","3734842","2018-03-22T00:00:00.000"
"Edison 2 Productions Inc.","Six Eleven Media Inc.","Addison - Season 2","A","1140886","2018-04-23T00:00:00.000"
"Copernicus Animation Inc.","Copernicus Studios Inc.","Teen Titans Go - Season 5","A","732892","2018-04-06T00:00:00.000"
"Huminah Huminah Animation Limited",,"I'm a Dinosaur - Wacky Adventures","A","365216","2018-05-08T00:00:00.000"
"Cartoon Conrad Productions Inc.",,"Woody Woodpecker Shorts","A","174193","2018-07-20T00:00:00.000"
"Cartoon Conrad Productions Inc.",,"Cloudy with a Chance of Meatballs - Season 2","B","97531","2018-10-30T00:00:00.000"
"Cartoon Conrad Productions Inc.",,"Cloudy with a Chance of Meatballs (the Series) - Season 1","B","97094","2018-12-07T00:00:00.000"
"Cartoon Conrad Productions Inc.",,"Ask the StoryBots Season 2","B","155483","2018-10-30T00:00:00.000"
"Cartoon Conrad Productions Inc.",,"Luna, Chip and Inkie","A","55835","2018-10-19T00:00:00.000"
"Copernicus Studios Animation Inc.","Copernicus Studios Inc.","Teen Titans Season 4","B1","601041","2018-12-05T00:00:00.000"
"Copernicus Studios Animation Inc.","Copernicus Studios Inc.","Teen Titans Season 4","B2","178388","2019-03-01T00:00:00.000"
"Lujo Inc.",,"Spaceman and Robotron (Pilot)","B","142420","2019-03-01T00:00:00.000"
"DHX-Space Ranger Productions I Inc.","DHX Media (Halifax) Ltd.","Space Ranger Roger","B1","770170","2019-03-08T00:00:00.000"
"Huminah Huminah Animation Limited",,"Angry Birds Studios","A","218263","2019-03-15T00:00:00.000"
"Cookie Mouse Productions Inc.","Copernicus Studios Inc.","If You Give a Mouse a Cookie - Season 1","B","2443837","2019-04-29T00:00:00.000"
"CSI Productions Inc.","Copernicus Studios Inc.","Pickle & Peanut Season 2","B","1787553","2019-04-29T00:00:00.000"
"Copernicus Productions Inc.","Copernicus Studios Inc.","Teen Titans Go to the Movies","B","391071","2019-04-15T00:00:00.000"
"Copernicus Curious Productions Inc.","Copernicus Studios Inc.","Curious George TV Series (Seasons 12 and 13)","A","1936398","2019-04-11T00:00:00.000"
"Dublin Town Productions Inc.","Copernicus Studios Inc.","Pinky Malinky","B","222366","2019-05-02T00:00:00.000"
"Bravo Nova Productions Inc.","Copernicus Studios Inc.","The Loud House - Season 1","B","98229","2019-05-28T00:00:00.000"
"Cartoon Conrad Productions Inc.",,"Dorg Van Dango - Season 1","A","163306","2019-06-10T00:00:00.000"
"Cartoon Conrad Productions Inc.",,"Woody Woopecker Shorts","B","181421","2019-06-21T00:00:00.000"
"3206674 Nova Scotia Limited",,"Chomp Squad - Season 1","B","1071158","2019-06-21T00:00:00.000"
"ByTown Productions Inc.","Copernicus Studios Inc.","Teen Titans Go Season 6","A","145560","2019-07-11T00:00:00.000"
"Edison Productions Inc.","Six Eleven Media Inc.","Addison - Season 1","B","764145","2019-07-19T00:00:00.000"
"DHX-Inspector Gadget Productions II Inc.","DHX Media (Halifax) Ltd.","Inspector Gadget - Season 2","B","614728","2019-07-26T00:00:00.000"
"DHX-Inspector Gadget Productions III Inc.","DHX Media (Halifax) Ltd.","Inspector Gadget - Season 3","B","819258","2019-07-26T00:00:00.000"
"DHX Halifax Production Services Ltd.","DHX Media (Halifax) Ltd.","Wishenpoof - Season II","B","1954793","2019-07-26T00:00:00.000"
"Cartoon Conrad Productions Incorporated",,"Derpy Bacon and mEGGZ - Season 1","A","88118","2019-07-19T00:00:00.000"
"Cartoon Conrad Productions Inc.",,"The Quest","A","89265","2019-08-26T00:00:00.000"
"Cartoon Conrad Productions Inc.",,"Luna, Chip, and Inkie","B","201664","2019-09-26T00:00:00.000"
"Cartoon Conrad Productions Inc.",,"Turbo the Tooting Reindeer","A","93411","2019-09-30T00:00:00.000"
"Edison 2 Productions Inc.","Six Eleven Media Inc.","Addison - Season 2","B","1093257","2019-11-15T00:00:00.000"
"Cartoon Conrad Productions Inc.","N/A","Canot Cocasse ""The Series"" - Season 4","A","24600","2019-11-08T00:00:00.000"
"Edison Productions Inc.","Six Eleven Media Inc.","Addison - Season 1","B","14395","2019-12-05T00:00:00.000"
"Cookie Mouse Productions Inc.","Copernicus Studios Inc.","If You Give a Mouse a Cookie - Season 1","B","1584","2019-12-11T00:00:00.000"
"CSI Productions Inc.","Copernicus Studios Inc.","Pickle & Peanut Season 2","B","23660","2019-12-11T00:00:00.000"
"Dublin Town Productions Inc.","Copernicus Studios Inc.","Pinky Malinky","B","4067","2019-12-11T00:00:00.000"
"Bravo Nova Productions Inc.","Copernicus Studios Inc.","The Loud House - Season 1","B","2482","2019-12-11T00:00:00.000"
"3206674 Nova Scotia Limited","N/A","Chomp Squad - Season 1","B","3701","2019-12-11T00:00:00.000"
"IOM- FMS Productions Inc.","IOM Media Ventures NS Inc.","Fireman Sam - Season 12","A","2396277","2020-01-06T00:00:00.000"
"Cartoon Conrad Productions Inc.","N/A","Dorg Van Dango - Season 1","B","72510","2020-01-28T00:00:00.000"
"DHX Jax Productions (NS) Inc.","IOM Media Ventures NS Inc.","Rev and Rumble - Season 1","A","4452924","2020-01-30T00:00:00.000"
"Copernicus Animation Inc.","Copernicus Studios Inc.","Teen Titans Go Season 5","B","716305","2020-02-19T00:00:00.000"
"DHX Halifax Production Services Ltd.","DHX Media (Halifax) Ltd.","Wishenpoof - Season II","B","70247","2020-02-27T00:00:00.000"
"DHX-Inspector Gadget Productions III Inc.","DHX Media (Halifax) Ltd.","Inspector Gadget - Season 3","B","25712","2020-02-27T00:00:00.000"
"DHX NS Service (JHC) Inc.","DHX Media (Halifax) Ltd.","Doozers - Season 2","A","1041293","2019-11-20T00:00:00.000"
"DHX NS Service (OTB) Inc.","DHX Media (Halifax) Ltd.","Colorforms - Season 1","A","2323375","2019-11-22T00:00:00.000"
"Cartoon Conrad Productions Inc.","N/A","Woody Woodpecker Shorts - Cycle 2","A","230484","2020-03-11T00:00:00.000"
"TPB A2 Productions Incorporated","Swear Net Holdings Incorporated","Trailer Park Boys Animated Series:  Season 2","A","448764","2020-04-07T00:00:00.000"
"Huminah Huminah Animation Limited","N/A","Angry Birds – Season 1","B","98735","2020-04-17T00:00:00.000"
"Huminah Huminah Animation Limited","N/A","Gobsmax","A","131836","2020-04-23T00:00:00.000"
"DHX-Space Ranger Productions I Inc.","DHX Media (Halifax) Ltd.","Space Ranger Roger - Season 1","B","676805","2020-04-29T00:00:00.000"
"DHX Halifax Production Services Ltd.","DHX Media (Halifax) Ltd.","Wishenpoof - Season II","B","966937","2020-04-29T00:00:00.000"
"DHX-Inspector Gadget Productions II Inc.","DHX Media (Halifax) Ltd.","Inspector Gadget - Season 2","B","657691","2020-04-29T00:00:00.000"
"DHX-Inspector Gadget Productions III Inc.","DHX Media (Halifax) Ltd.","Inspector Gadget - Season 3","B","346319","2020-04-29T00:00:00.000"
"Huminah Huminah Animation Limited","N/A","Wacky Dinos - Season 1","B","257410","2020-05-12T00:00:00.000"
"Jam Filled Entertainment (Halifax) Inc.","Jam Filled Entertainment Inc.","Inside Job","A","644113","2020-05-05T00:00:00.000"
"Cartoon Conrad Productions Inc.","N/A","Canot Cocasse ""The Series"" - Season 4","B","37034","2020-05-13T00:00:00.000"
"Cartoon Conrad Productions Inc.","N/A","Derpy Bacon and mEGGZ - Season 1","B","99662","2020-05-13T00:00:00.000"
"Cartoon Conrad Productions Inc.","N/A","The Quest","B","93224","2020-05-13T00:00:00.000"
"Cartoon Conrad Productions Inc.","N/A","Denis and Me","A","103730","2020-05-19T00:00:00.000"
"Copernicus International Inc.","Copernicus Studios Inc.","Care Bears Shorts - Season 1","A","165200","2020-06-02T00:00:00.000"
"Huminah Huminah Animation Limited","N/A","Love, Diana - Season 1","A","207400","2020-06-10T00:00:00.000"
"Copernicus Curious Productions - Season 14 Inc.","Copernicus Studios Inc.","Curious George - Seasons 14/15","A","2458047","2020-06-26T00:00:00.000"
"Circle24 Productions Inc.","Copernicus Studios Inc.","Care Bears - Season 1","B","3633436","2020-07-31T00:00:00.000"
"Jam Filled Entertainment (Halifax) Inc.","Jam Filled Entertainment Inc.","Casagrandes Season II","A","1650005","2020-08-27T00:00:00.000"
"Copernicus Titans 7 Productions NS Inc.","Copernicus Studios Inc.","Teen Titans Go Season 7","A","777338","2020-09-16T00:00:00.000"
"TPB A1 Productions Incorporated","Swear Net Holdings Incorporated","Trailer Park Boys Animation - Season 1","B","1785447","2020-10-13T00:00:00.000"
"Cartoon Conrad Productions Inc.","N/A","Canot Cocasse ""The Series"" Season 5","A","15432","2020-10-08T00:00:00.000"
"Cartoon Conrad Productions Inc.","N/A","Woody Woodpecker Shorts - Cycle 2","B","256170","2020-11-10T00:00:00.000"
"IOM CF2 Productions (NS) Inc.","IOM Media Ventures NS Inc.","Charlie’s Colorforms City – Season 2","A","3005670","2020-11-16T00:00:00.000"
"Cartoon Conrad Service Inc.","Cartoon Conrad Productions Inc.","Luna, Chip, & Inkie (""The Series"") - Season 1","A","1789689","2020-12-08T00:00:00.000"
"Cartoon Conrad Productions Inc.","N/A","What’s Going On! – Season 1","A","30675","2021-01-06T00:00:00.000"
"Cartoon Conrad Productions Inc.","N/A","Denis and Me - Season 1","B","80809","2021-01-22T00:00:00.000"
"Copernicus Studios Animation Inc.","Copernicus Studios Inc.","Care Bears Moonbug Shorts Season 2","A","167784","2021-01-19T00:00:00.000"
"3342343 Nova Scotia Limited","N/A","Monster Truck Island - Season 1","A","442741","2021-01-22T00:00:00.000"
"DHX NS Service (M) Inc.","DHX Media (Halifax) Ltd.","Bob The Builder - Season 3","B","1669521","2021-01-28T00:00:00.000"
"DHX NS Service (M) Inc.","DHX Media (Halifax) Ltd.","Little People - Series 2","B","2459576","2021-01-28T00:00:00.000"
"3342342 Nova Scotia Limited","N/A","Hot Wheels City - Season 1","A","447903","2021-02-09T00:00:00.000"
"Huminah Huminah Animation Limited","N/A","Love Diana - Season 2","A","83456","2021-02-16T00:00:00.000"
"Cartoon Conrad Productions Inc.","N/A","Denis and Me Season 2","A","189145.00","2021-03-02T00:00:00.000"
"Copernicus Curious Productions Inc.","Copernicus Studios Inc.","Curious George TV Series (Seasons 12/13)","B","2076378.00","2021-03-10T00:00:00.000"
"Cartoon Conrad Productions Inc.","N/A","Canot Cocasse ""The Series"" Season 5","B","32859.00","2021-03-23T00:00:00.000"
"DHX NS Service (JHC) Inc.","DHX Media (Halifax) Ltd.","Doozers - Season 2","B","858900.34","2021-06-16T00:00:00.000"
"IOM Spider Productions Inc.","IOM Media Ventures NS Inc.","Lucas the Spider - Season 1","A","1207179.45","2021-06-01T00:00:00.000"
"ByTown Productions Inc.","Copernicus Studios Inc.","Teen Titans Go Season 6","B","632219.01","2021-06-30T00:00:00.000"
"IOM Caillou Productions Inc.","IOM Media Ventures Ns Inc.","Caillou - Specials - Season 1","A","1736792.15","2021-06-16T00:00:00.000"
"Cartoon Conrad Productions Incorporated","N/A","Denis and Me III","A","192672.48","2021-07-05T00:00:00.000"
"Copernicus International Inc.","Copernicus Studios Inc.","Care Bears Shorts - Unlock the Music – Season 1","B","181355.05","2021-07-29T00:00:00.000"
"Jam Filled Entertainment (Halifax) Inc.","Boat Rocker Media Inc.","Casagrandes Season III","A","2014038.13","2021-07-12T00:00:00.000"
"Huminah Huminah Animation Limited","N/A","Love, Diana - Season 3","A","83043.13","2021-07-27T00:00:00.000"
"Copernicus Animation Inc.","Copernicus Studios Inc.","Solar Opposites - Season 3","A","769140","2021-11-05T00:00:00.000"
"TPB A2 Productions Incorporated","Swear Net Holdings Incorporated","Trailer Park Boys Animated Series:  Season 2","B","79500","2021-12-10T00:00:00.000"
"Cartoon Conrad Productions Inc.","N/A","Tootles the Tooting Reindeer","B","110685","2021-12-16T00:00:00.000"
"Cartoon Conrad Productions Inc.","N/A","Momolu and Friends - Season 1","A","38373","2022-01-05T00:00:00.000"
"IOM-FMS Productions Inc.","IOM Media Ventures NS Inc.","Fireman Sam - Season 12","B","2386767","2022-01-28T00:00:00.000"
"Cartoon Conrad Productions Incorporated","N/A","Denis and Me Season 2","B","173595","2022-02-09T00:00:00.000"
"Huminah Huminah Animation Limited","N/A","Love, Diana - Season 1","B","116040","2022-05-30T00:00:00.000"
"Cartoon Conrad Productions Inc.","N/A","Woody Woodpecker Shorts - Season 3","A","223078","2022-04-08T00:00:00.000"
"Copernicus Studios Animation Inc.","Copernicus Studios Inc.","Care Bears Unlock the Music – Season 2","B","133636","2022-06-06T00:00:00.000"
"Copernicus Titans 8 Productions Inc.","Copernicus Studios Inc.","Teen Titans Go Season 8","A","1113429","2022-05-11T00:00:00.000"
"HHA Animation Inc.","N/A","Rick & Morty Season 6","A","79585","2022-05-13T00:00:00.000"
"Cartoon Conrad Productions Inc.","N/A","Gisele's Mishmash Adventure - Season 1","A","110928","2022-05-25T00:00:00.000"
"Cartoon Conrad Productions Inc.","N/A","Knowledge Network Shorts (Knowledge Kids IDs)","A","137741","2022-05-25T00:00:00.000"
"Jam Filled Entertainment (Halifax) Inc.","Boat Rocker Media Inc.","Clone High – Season 2","A","406820","2022-05-25T00:00:00.000"
"3342342 Nova Scotia Limited","N/A","Hot Wheels City - Season 4","B","356775","2022-06-06T00:00:00.000"
"Iom Slug Productions Inc.","Iom Media Ventures NS Inc.","Slugterra Shorts - Season 1","A","844085","2022-05-31T00:00:00.000"
