"company_name","parent_company_name","production_title","application_type_part_a_or","amount_of_credit_provided","approval_date"
"DSGFY Films Incorporated",,,"A","375583","2015-10-22T00:00:00.000"
"Short Stop Pictures VII Ltd.",,,"B","69128","2015-11-13T00:00:00.000"
"Fiery Cook2 Productions Inc.",,,"B","164689","2015-11-20T00:00:00.000"
"Huminah Huminah Animation Limited",,,"B","53041","2015-12-16T00:00:00.000"
"All About Me Productions Inc.",,,"B","154309","2016-01-11T00:00:00.000"
"Maritime Vignettes IV Inc.",,,"B","165914","2016-01-26T00:00:00.000"
"Copernicus Studios Animation Inc.",,,"B","720131","2016-01-26T00:00:00.000"
"Spiteful Too Pictures Inc.",,,"B","511329","2016-02-11T00:00:00.000"
"Apostles Journey Productions Inc.",,,"B","370475","2016-02-04T00:00:00.000"
"Tainted Love Productions Inc.",,,"B","15686","2016-02-11T00:00:00.000"
"Hope for Wildlife 6 Productions Inc.",,,"B","527593","2016-02-11T00:00:00.000"
"Coastline 4 Productions Inc.",,,"B","395052","2016-02-11T00:00:00.000"
"Stigma Productions Inc.",,,"B","125706","2016-03-10T00:00:00.000"
"Anhinga Films Inc.",,,"B","27258","2016-03-17T00:00:00.000"
"DHX-Cole Harbour Productions Inc.",,,"B","360891","2016-03-10T00:00:00.000"
"Clayspov Inc.",,,"B","104978","2016-04-28T00:00:00.000"
"Cartoon Conrad Productions Incorporated",,,"B","226749","2016-04-28T00:00:00.000"
"Neanderthal Productions Ltd.",,,"B","320859","2016-04-28T00:00:00.000"
"Shut Up & Colour Pictures Inc.",,"Hey Rosetta! Kintsukuroi","B","8309","2016-04-21T00:00:00.000"
"PSC Services Ltd.","Story House Productions Ltd.","Hearts and Hands","B","170313","2016-05-09T00:00:00.000"
"Shut Up & Colour Pictures Inc.",,,"B","2131","2016-05-09T00:00:00.000"
"Shut Up & Colour Pictures Inc.",,,"B","755","2016-06-30T00:00:00.000"
"Shut Up & Colour Pictures Inc.",,,"B","524","2016-06-30T00:00:00.000"
"Fall River Productions Inc.",,"The Lizzie Borden Chronicles","B","3706409","2016-06-30T00:00:00.000"
"Week on Welfare Productions Inc.","Peep Media Inc.","My Weekend on Welfare","B","27527","2016-06-30T00:00:00.000"
"3206674 Nova Scotia Limited",,"Bob's Broken Sleigh","B","33165","2016-06-30T00:00:00.000"
"Cartoon Conrad Productions Incorporated",,,"B","56847","2016-06-30T00:00:00.000"
"Huminah Huminah Animation Limited",,"Cultivators","B","226510","2016-06-30T00:00:00.000"
"DHX-Hour Productions XXII (NS) Inc.","DHX Media (Halifax) Ltd","This Hour Has 22 Minutes XXII","B","2223531","2016-06-30T00:00:00.000"
"Nexus Media Incorporated",,"Ocean Voices","B","30838","2016-06-30T00:00:00.000"
"Mr D S4 Productions Limited","Topsail Productions Limited","Mr. D Season 4","B","2246217","2016-06-30T00:00:00.000"
"The World Beneath Productions Inc.",,"My Younger Older Sister","B","8529","2016-07-18T00:00:00.000"
"Lure Productions Limited","3278404 Nova Scotia Limited","Lure","B","49854","2016-08-03T00:00:00.000"
