"date","department","title","attendants"
"2012-05-31T00:00:00.000","Natural Resources ","Consultation with the Mi'kmaq of Nova Scotia",
"2012-06-28T00:00:00.000","Natural Resources ","Consultation with the Mi'kmaq of Nova Scotia",
"2013-12-09T00:00:00.000","Energy/DNR/OAA/TIR/Economic & Rural Development & Tourism/CAN-NS Offshore/ Petroleum Board/Efficiency NS","Consultation with the Mi'kmaq of Nova Scotia","23"
"2013-12-10T00:00:00.000","Environment","Aboriginal Consultation Training","18"
"2014-03-28T00:00:00.000","Transportation Infrastructure and Renewal ","Aboriginal Consultation Training","13"
"2015-01-28T00:00:00.000","Communities, Culture, and Heritage ","Duty to consult with the Mi'kmaq of NS",
"2015-05-13T00:00:00.000","DNR/Fisheries & Aquaculture/ DFO/ OAA/ NSBI/ Health & Wellness","Duty to consult with the Mi'kmaq of NS","20"
"2012-11-21T00:00:00.000","Energy/DNR/SNSMR/Justice/PESU/Fisheries & Aquaculture/ENVironment","The Mi'kmaq of NS, Expanding Traditions Through Renewable Energy","107"
"2014-05-30T00:00:00.000","OAA/TIR/DNR/CCh/Environment/Energy/NSBI","Aboriginal Consultation and Accommodation","16"
"2014-06-10T00:00:00.000","Multiple","Atlantic Canada Community of Practice Meeting","32"
"2014-10-29T00:00:00.000","Multiple","Planning for Successful Projects: Integrating Aboriginal Consultation in the Environmental Assessment Process","60"
"2015-05-13T00:00:00.000","DNR/Fisheries & Aquaculture/ DFO/ OAA/ NSBI/ OAA","Nova Scotia Aboriginal Consultation Training",
"2015-09-25T00:00:00.000","OAA/Municipal Affairs/Service NS","Consulting with Aboriginal Peoples in Nova Scotia","20"
"2015-06-23T00:00:00.000","Multiple","Atlantic Aboriginal Consultation Community of Practice","42"
"2015-01-20T00:00:00.000","Multiple","Atlantic Aboriginal Consultation Community of Practice","42"
"2016-02-25T00:00:00.000","TIR/Environment/ LAE/ DCS/ Justice/ Health and Wellness/ Service NS/ Energy/DNR","Duty to consult with the Mi'kmaq of NS","15"
"2016-06-01T00:00:00.000","DNR (Land Services)","Duty to consult with the Mi'kmaq of NS",
"2016-10-07T00:00:00.000","OAA/DNR (Minerals Div.)/NSE/Justice/ Treasurey","Duty to consult with the Mi'kmaq of NS","13"
"2017-02-16T00:00:00.000","DNR/Environment/NSDFA/TIR/ OAA","Duty to consult with the Mi'kmaq of NS","20"
"2016-12-06T00:00:00.000","Department of Energy Staff","Duty to consult with the Mi'kmaq of NS","20"
"2017-04-06T00:00:00.000","DNR Central Region","Duty to consult with the Mi'kmaq of NS","18"
"2017-04-12T00:00:00.000","Multiple","Duty to consult with the Mi'kmaq of NS","19"
"2017-05-04T00:00:00.000","DNR Eastern Region","Duty to consult with the Mi'kmaq of NS","14"
