"q22","q10"
"24 or under","1.8923766816143498"
"25-34","1.9045346062052506"
"35-44","1.9438502673796791"
"45-54","1.9141914191419142"
"55-64","1.9907975460122699"
"65 or older","1.9010989010989011"
