"number","name","alternate_name","contact_name","contact_phone","contact_fax","status","address_1","address_2","city","state","zip"
"3106","Jobsi...",,,,,,,,,,
"4036","Chris...",,,,,,,,,,
"3075","Ais S...",,,,,,,,,,
"4504","Tomok...",,,,,,,,,,
"3897","Kraig...",,,,,,,,,,
"3871","Tacti...",,,,,,,,,,
"1605","Spok,...",,,,,,,,,,
"2371","Livel...",,,,,,,,,,
"4165","Produ...",,,,,,,,,,
"1212","Texas...",,,,,,,,,,
"2853","Twin ...",,,,,,,,,,
"4527","Wynn ...",,,,,,,,,,
"1222","B R W...",,,,,,,,,,
"2288","Gover...",,,,,,,,,,
"1105","Scott...",,,,,,,,,,
"3500","Mersi...",,,,,,,,,,
"1276","Ameri...",,,,,,,,,,
"2314","Longh...",,,,,,,,,,
"4180","Etico...",,,,,,,,,,
"4238","Trica...",,,,,,,,,,
"1574","Payme...",,,,,,,,,,
"2006","Gaas,...",,,,,,,,,,
"3853","Ronal...",,,,,,,,,,
"3141","B Sid...",,,,,,,,,,
"3025","Aggie...",,,,,,,,,,
"4416","Agenc...",,,,,,,,,,
"3708","Learf...",,,,,,,,,,
"1452","Kenne...",,,,,,,,,,
"3574","Fry, ...",,,,,,,,,,
"4205","Thoma...",,,,,,,,,,
"2861","Metal...",,,,,,,,,,
"3337","Atomi...",,,,,,,,,,
"3600","Mary ...",,,,,,,,,,
"1973","Mashb...",,,,,,,,,,
"1334","Mcgri...",,,,,,,,,,
"3577","Macik...",,,,,,,,,,
"4413","Scott...",,,,,,,,,,
"1040","Uline...",,,,,,,,,,
"3451","Kirk ...",,,,,,,,,,
"3614","Britt...",,,,,,,,,,
"2425","Norme...",,,,,,,,,,
"4009","Coope...",,,,,,,,,,
"1021","Colle...",,,,,,,,,,
"3584","Front...",,,,,,,,,,
"2547","Unite...",,,,,,,,,,
"2854","Herna...",,,,,,,,,,
"1261","Unite...",,,,,,,,,,
"3610","Detai...",,,,,,,,,,
"1719","S.D.P...",,,,,,,,,,
"3704","Capp ...",,,,,,,,,,
"2080","Cafsc...",,,,,,,,,,
"4758","Const...",,,,,,,,,,
"2996","Steph...",,,,,,,,,,
"2387","Unive...",,,,,,,,,,
"3317","Charl...",,,,,,,,,,
"2123","Sieme...",,,,,,,,,,
"3775","Chad ...",,,,,,,,,,
"1828","Mdn E...",,,,,,,,,,
"1800","Mgt O...",,,,,,,,,,
"1139","Napa ...",,,,,,,,,,
"3642","Stant...",,,,,,,,,,
"3887","Brazo...",,,,,,,,,,
"1721","Bl Te...",,,,,,,,,,
"3413","Avery...",,,,,,,,,,
"3989","Antho...",,,,,,,,,,
"1819","Hill ...",,,,,,,,,,
"2834","Winsl...",,,,,,,,,,
"1214","Green...",,,,,,,,,,
"4646","Crye ...",,,,,,,,,,
"1497","Texas...",,,,,,,,,,
"3727","L J L...",,,,,,,,,,
"2137","Zoch,...",,,,,,,,,,
"2737","Brazo...",,,,,,,,,,
