"yearmonth","casecategorykey","n_disposed","n_assigned","clearance_rate","casecategorykey_long"
"2019-01-31T00:00:00.000","CR","505","2650","0.1906","Criminal"
"2019-01-31T00:00:00.000","CV","387","1318","0.2936","Civil"
"2019-01-31T00:00:00.000","FAM","430","498","0.8635","Family"
"2019-02-28T00:00:00.000","CR","564","946","0.5962","Criminal"
"2019-02-28T00:00:00.000","CV","378","526","0.7186","Civil"
"2019-02-28T00:00:00.000","FAM","420","458","0.917","Family"
"2019-03-31T00:00:00.000","CR","579","1153","0.5022","Criminal"
"2019-03-31T00:00:00.000","CV","510","689","0.7402","Civil"
"2019-03-31T00:00:00.000","FAM","393","556","0.7068","Family"
"2019-04-30T00:00:00.000","CR","671","1219","0.5505","Criminal"
"2019-04-30T00:00:00.000","CV","523","637","0.821","Civil"
"2019-04-30T00:00:00.000","FAM","419","471","0.8896","Family"
"2019-05-31T00:00:00.000","CR","660","1332","0.4955","Criminal"
"2019-05-31T00:00:00.000","CV","527","492","1.0711","Civil"
"2019-05-31T00:00:00.000","FAM","420","471","0.8917","Family"
"2019-06-30T00:00:00.000","CR","677","1395","0.4853","Criminal"
"2019-06-30T00:00:00.000","CV","499","899","0.5551","Civil"
"2019-06-30T00:00:00.000","FAM","467","498","0.9378","Family"
"2019-07-31T00:00:00.000","CR","799","1277","0.6257","Criminal"
"2019-07-31T00:00:00.000","CV","642","547","1.1737","Civil"
"2019-07-31T00:00:00.000","FAM","523","565","0.9257","Family"
"2019-08-31T00:00:00.000","CR","918","1359","0.6755","Criminal"
"2019-08-31T00:00:00.000","CV","566","523","1.0822","Civil"
"2019-08-31T00:00:00.000","FAM","510","517","0.9865","Family"
"2019-09-30T00:00:00.000","CR","840","976","0.8607","Criminal"
"2019-09-30T00:00:00.000","CV","505","422","1.1967","Civil"
"2019-09-30T00:00:00.000","FAM","446","508","0.878","Family"
"2019-10-31T00:00:00.000","CR","947","1060","0.8934","Criminal"
"2019-10-31T00:00:00.000","CV","607","494","1.2287","Civil"
"2019-10-31T00:00:00.000","FAM","559","534","1.0468","Family"
"2019-11-30T00:00:00.000","CR","672","910","0.7385","Criminal"
"2019-11-30T00:00:00.000","CV","395","469","0.8422","Civil"
"2019-11-30T00:00:00.000","FAM","411","460","0.8935","Family"
"2019-12-31T00:00:00.000","CR","738","975","0.7569","Criminal"
"2019-12-31T00:00:00.000","CV","404","536","0.7537","Civil"
"2019-12-31T00:00:00.000","FAM","392","406","0.9655","Family"
"2020-01-31T00:00:00.000","CR","761","1102","0.6906","Criminal"
"2020-01-31T00:00:00.000","CV","452","657","0.688","Civil"
"2020-01-31T00:00:00.000","FAM","500","527","0.9488","Family"
"2020-02-29T00:00:00.000","CR","707","1296","0.5455","Criminal"
"2020-02-29T00:00:00.000","CV","385","437","0.881","Civil"
"2020-02-29T00:00:00.000","FAM","466","497","0.9376","Family"
"2020-03-31T00:00:00.000","CR","532","529","1.0057","Criminal"
"2020-03-31T00:00:00.000","CV","308","430","0.7163","Civil"
"2020-03-31T00:00:00.000","FAM","381","408","0.9338","Family"
"2020-04-30T00:00:00.000","CR","72","90","0.8","Criminal"
"2020-04-30T00:00:00.000","CV","183","362","0.5055","Civil"
"2020-04-30T00:00:00.000","FAM","287","281","1.0214","Family"
"2020-05-31T00:00:00.000","CR","129","170","0.7588","Criminal"
"2020-05-31T00:00:00.000","CV","165","293","0.5631","Civil"
"2020-05-31T00:00:00.000","FAM","249","369","0.6748","Family"
"2020-06-30T00:00:00.000","CR","134","365","0.3671","Criminal"
"2020-06-30T00:00:00.000","CV","217","513","0.423","Civil"
"2020-06-30T00:00:00.000","FAM","267","507","0.5266","Family"
"2020-07-31T00:00:00.000","CR","155","90","1.7222","Criminal"
"2020-07-31T00:00:00.000","CV","321","358","0.8966","Civil"
"2020-07-31T00:00:00.000","FAM","362","487","0.7433","Family"
"2020-08-31T00:00:00.000","CR","196","131","1.4962","Criminal"
"2020-08-31T00:00:00.000","CV","355","364","0.9753","Civil"
"2020-08-31T00:00:00.000","FAM","425","518","0.8205","Family"
"2020-09-30T00:00:00.000","CR","256","114","2.2456","Criminal"
"2020-09-30T00:00:00.000","CV","412","384","1.0729","Civil"
"2020-09-30T00:00:00.000","FAM","461","483","0.9545","Family"
"2020-10-31T00:00:00.000","CR","232","206","1.1262","Criminal"
"2020-10-31T00:00:00.000","CV","474","372","1.2742","Civil"
"2020-10-31T00:00:00.000","FAM","500","433","1.1547","Family"
"2020-11-30T00:00:00.000","CR","211","279","0.7563","Criminal"
"2020-11-30T00:00:00.000","CV","348","397","0.8766","Civil"
"2020-11-30T00:00:00.000","FAM","419","416","1.0072","Family"
"2020-12-31T00:00:00.000","CR","266","1501","0.1772","Criminal"
"2020-12-31T00:00:00.000","CV","372","1221","0.3047","Civil"
"2020-12-31T00:00:00.000","FAM","503","412","1.2209","Family"
"2021-01-31T00:00:00.000","CR","252","77","3.2727","Criminal"
"2021-01-31T00:00:00.000","CV","327","392","0.8342","Civil"
"2021-01-31T00:00:00.000","FAM","403","448","0.8996","Family"
"2021-02-28T00:00:00.000","CR","272","85","3.2","Criminal"
"2021-02-28T00:00:00.000","CV","402","479","0.8392","Civil"
"2021-02-28T00:00:00.000","FAM","443","456","0.9715","Family"
"2021-03-31T00:00:00.000","CR","432","375","1.152","Criminal"
"2021-03-31T00:00:00.000","CV","478","486","0.9835","Civil"
"2021-03-31T00:00:00.000","FAM","537","588","0.9133","Family"
"2021-04-30T00:00:00.000","CR","385","355","1.0845","Criminal"
