"the_geom","segmentid","planareaid","councildis","color","startloc","endloc","restlen","offset","insidectyb","landuse","facilityid","condition","globalid"
"MULTILINESTRING ((-122.26682328752007 37.79758076481618, -122.26675807614261 37.79755529837508))","295","1","2","Blue","267.0","288.0","21.0","Right","-1","Res","35239",,"43a32b10-6233-4fa1-b2ec-b9fe7b3554dd"
"MULTILINESTRING ((-122.26580670575107 37.8126575226775, -122.26577683257341 37.81270707350509))","43","1","3","Blue","191.0","211.0","20.0","Left","-1","Com","35335",,"ebf168d2-e722-4f7b-9ae4-93d5e58188a9"
"MULTILINESTRING ((-122.26570961889198 37.81281856191988, -122.26564389775619 37.81292757222771))","43","1","3","Blue","256.0","300.0","44.0","Left","-1","Com","35337",,"2607f7d3-9e59-42a2-b3ac-a9db8b25b955"
"MULTILINESTRING ((-122.26564389775619 37.81292757222771, -122.2656155182462 37.81297464492865))","43","1","3","Blue","300.0","319.0","19.0","Left","-1","Com","35339",,"99d6fecb-c963-4ed9-ab5d-269f6d101baa"
"MULTILINESTRING ((-122.26330351417494 37.801139555351654, -122.2632353966604 37.801112552431384))","758","1","2","Blue","248.66017","226.66017","22.0","Left","-1","EssFac","35446",,"164f8d34-4d72-4ec1-8a67-1e9d568b78a0"
"MULTILINESTRING ((-122.26666656791775 37.80008792068997, -122.26660424893618 37.800064010414985))","785","1","2","Blue","281.0","301.0","20.0","Right","-1","Com","35513",,"69b4f863-c7d1-447a-b00a-e130d0caf03f"
"MULTILINESTRING ((-122.26332103916248 37.80114650278327, -122.26325601844523 37.80112072694295))","758","1","2","Blue","221.0","242.0","21.0","Left","-1","EssFac","35647",,"61ebbbbb-0afd-4f44-9544-fc33a31f6f78"
"MULTILINESTRING ((-122.26600863266773 37.80293493819045, -122.26597468941901 37.802989022741016))","749","1","3","Blue","174.0","196.0","22.0","Left","-1","Com","35682",,"eb611b4f-25df-4324-b2e2-92664a60ed4d"
"MULTILINESTRING ((-122.2732498571774 37.81000970725877, -122.27326574237743 37.8100603429569))","721","1","3","Blue","359.0","378.0","19.0","Right","-1","Com","35748",,"236d6168-5f0e-44f2-aebb-e0ecfb9adc50"
"MULTILINESTRING ((-122.26758209817245 37.807291893623464, -122.26756340932037 37.807284706509606))","67","1","3","Blue","27.0","33.0","6.0","Right","-1","Com","35817",,"b0b637f3-6be4-411b-8d30-c1ad30525cfc"
"MULTILINESTRING ((-122.26499873143915 37.81564582489677, -122.26493450079151 37.8156345839982))","935","1","3","Blue","837.80367","818.80367","19.0","Left","-1","EssFac","35848",,"f4ac3af1-c445-4f5a-b84b-416d59a65af6"
"MULTILINESTRING ((-122.26645385766562 37.80495764189261, -122.26642447978722 37.80500432703642))","91","1","3","Blue","387.0","406.0","19.0","Right","-1","Com","36050",,"cff62599-3db2-4344-b323-74f037042244"
"MULTILINESTRING ((-122.26717578824736 37.800080411821504, -122.2670943938301 37.800047888454216, -122.26704855973792 37.80003055426069))","650","1","2","Blue","576.49082","535.49082","41.0","Left","-1","Com","36108",,"90ef5b91-0c2c-4ee9-bb4d-c9ea5f614a09"
"MULTILINESTRING ((-122.26545756424923 37.796723902417305, -122.26542808237092 37.79677054482253))","844","1","2","Blue","175.0","194.0","19.0","Left","-1","Com","36137",,"9eddae99-cc68-43ce-a19d-837d68189fde"
"MULTILINESTRING ((-122.26956210598283 37.79844789368541, -122.26951841670733 37.798430567920406, -122.26949413426884 37.79842066598405))","1075","1","2","Blue","202.56098","180.56098","22.0","Left","-1","Com","36146",,"0a821e89-8309-4174-8ff4-3ad431fb6f8a"
"MULTILINESTRING ((-122.26605399078852 37.79707119464069, -122.26598581033093 37.79704429700725))","847","1","2","Blue","169.0","191.0","22.0","Left","-1","Com","36213",,"bbc8af66-ad54-4ea0-95d2-7d5ed174fdeb"
