"age","number","male","female"
"    Under 5 years","26099","13396","12703"
"    5 to 9 years","22994","11708","11286"
"    10 to 14 years","20825","10500","10325"
"    15 to 19 years","22456","11293","11163"
"    20 to 24 years","27018","13225","13793"
"    25 to 29 years","33898","16312","17586"
"    30 to 34 years","34101","16664","17437"
"    35 to 39 years","32177","16037","16140"
"    40 to 44 years","28963","14597","14366"
"    45 to 49 years","26852","13315","13537"
"    50 to 54 years","26101","12622","13479"
"    55 to 59 years","24646","11591","13055"
"    60 to 64 years","21035","9856","11179"
"    65 to 69 years","13689","6325","7364"
"    70 to 74 years","9544","4331","5213"
"    75 to 79 years","7363","3162","4201"
"    80 to 84 years","6112","2359","3753"
"    85 years and over","6851","2226","4625"
