"race_ethnicity","number_of_contractors","average_contractor_amount","percent_of_contracts_over","fiscal_year","year"
"African American","6","89191","66.7","2015-16","2016"
"Asian","5","362643","20","2015-16","2016"
"Latino","18","923891","44.4","2015-16","2016"
"White","41","1059209","19.5","2015-16","2016"
"Other/NL","14","299175","35.7","2015-16","2016"
