"year","race","firsttrimestercare"
"2010","All",
"2010","Asian",
"2010","Black",
"2010","Hispanic",
"2010","White",
"2011","All",
"2011","Asian",
"2011","Black",
"2011","Hispanic",
"2011","White",
"2012","All",
"2012","Asian",
"2012","Black",
"2012","Hispanic",
"2012","White",
"2013","All",
"2013","Asian",
"2013","Black",
"2013","Hispanic",
"2013","White",
"2014","All",
"2014","Asian",
"2014","Black",
"2014","Hispanic",
"2014","White",
"2015","All",
"2015","Asian",
"2015","Black",
"2015","Hispanic",
"2015","White",
"2016","All","72.1"
"2016","Asian","78.5"
"2016","Black","58.6"
"2016","Hispanic","65.1"
"2016","White","79.5"
"2017","All","74.7"
"2017","Asian","81.2"
"2017","Black","60.1"
"2017","Hispanic","65.4"
"2017","White","83.6"
"2018","All","73.2"
"2018","Asian","81.2"
"2018","Black","58.5"
"2018","Hispanic","65.6"
"2018","White","81.3"
"2019","All",
"2019","Asian",
"2019","Black",
"2019","Hispanic",
"2019","White",
"2020","All",
"2020","Asian",
"2020","Black",
"2020","Hispanic",
"2020","White",
"Target","All","75.7"
"Target","Asian","82.4"
"Target","Black","61.5"
"Target","Hispanic","68.4"
"Target","White","83.5"
