"year","race","rate"
"2010","Black","5.2"
"2010","Asian","4.9"
"2010","All","7.8"
"2010","Hispanic","5.5"
"2010","White","9.5"
"2011","Black","4.3"
"2011","Hispanic","3.8"
"2011","All","7.5"
"2011","White","9.7"
"2011","Asian","2.6"
"2012","Black","4.7"
"2012","Asian","5.3"
"2012","White","9.7"
"2012","Hispanic","3.6"
"2012","All","7.4"
"2013","Hispanic","4.4"
"2013","All","8.1"
"2013","Asian","2.6"
"2013","Black","4.8"
"2013","White","10.5"
"2014","Black","4.4"
"2014","All","8.4"
"2014","White","11.2"
"2014","Asian","4.7"
"2014","Hispanic","4.8"
"2015","Black","4.2"
"2015","All","8.4"
"2015","White","11.4"
"2015","Hispanic","3.9"
"2015","Asian","4.5"
"2016","All","7.3"
"2016","White","9.6"
"2016","Black","3.4"
"2016","Hispanic","4.6"
"2016","Asian","4.5"
"2017","All","8.5"
"2017","White","10.7"
"2017","Black","5.3"
"2017","Hispanic","5.2"
"2017","Asian","5.5"
"2018","All","8.3"
"2018","White","10.7"
"2018","Black","4.2"
"2018","Hispanic","5.9"
"2018","Asian","5.3"
"2019","All",
"2019","White",
"2019","Black",
"2019","Hispanic",
"2019","Asian",
"2020","All",
"2020","White",
"2020","Black",
"2020","Hispanic",
"2020","Asian",
"Target","All","5.9"
"Target","White","7"
"Target","Black","2.5"
"Target","Hispanic","3.5"
"Target","Asian","4.1"
