"year","race","rate_per_100_000"
"2015-2017","All",
"2015-2017","White",
"2015-2017","Black",
"2016-2018","All",
"2016-2018","White",
"2016-2018","Black",
"2017-2019","All",
"2017-2019","White",
"2017-2019","Black",
"2018-2020","All",
"2018-2020","White",
"2018-2020","Black",
"2019-2021","All",
"2019-2021","Black",
"2019-2021","White",
"Target","2020 Target","0.8"
"2009-2011","All","0.9"
"2009-2011","White","0.6"
"2009-2011","Black","2.7"
"2010-2012","Black","2.6"
"2010-2012","All","0.9"
"2010-2012","White","0.7"
"2011-2013","Black","3.2"
"2011-2013","All","1.1"
"2011-2013","White","0.8"
"2012-2014","Black","3.2"
"2012-2014","All","1.2"
"2012-2014","White","0.8"
"2013-2015","All","1.2"
"2013-2015","Black","3.5"
"2014-2016","All","1.1"
"2014-2016","White","0.7"
"2014-2016","Black","3.4"
"2013-2015","White","0.8"
