"year","race","rate_per_100_000"
"2010","Asian","0"
"2010","White","0"
"2010","Hispanic","3.6"
"2010","Black","12.2"
"2010","All","2.8"
"2011","Black","6.2"
"2011","White","2"
"2011","Hispanic","10.7"
"2011","All","4.7"
"2011","Asian","0"
"2012","White","0"
"2012","Black","0"
"2012","All","1"
"2012","Asian","0"
"2012","Hispanic","3.6"
"2013","White",
"2013","Asian",
"2013","Hispanic",
"2013","All",
"2013","Black",
"2014","Asian",
"2014","Hispanic",
"2014","Black",
"2014","White",
"2014","All",
"2015","White",
"2015","Hispanic",
"2015","All",
"2015","Asian",
"2015","Black",
"2016","All","11.8"
"2016","White","2.2"
"2016","Black","58"
"2016","Hispanic","7.2"
"2016","Asian","8.3"
"2017","Hispanic","11"
"2017","White","4.4"
"2017","Asian","0"
"2017","Black","59.1"
"2017","All","12.9"
"2018","All","13.8"
"2018","White","8.9"
"2018","Black","58.6"
"2018","Hispanic","7.3"
"2018","Asian","0"
"2019","All","14.1"
"2019","White","6.8"
"2019","Black","46"
"2019","Hispanic","18.3"
"2019","Asian","0"
"2020","Hispanic",
"2020","Asian",
"2020","Black",
"2020","All",
"2020","White",
"Target","Asian","0"
"Target","White","2.2"
"Target","All","6.4"
"Target","Hispanic","5.5"
"Target","Black","29.5"
