"data_year","race","rate_per_100_000"
"2010","All","2.4"
"2010","White","3"
"2011","All","2.3"
"2011","White","3"
"2012","All","2.4"
"2012","White","3.1"
"2013","All","2.4"
"2013","White","3.2"
"2014","White","3.5"
"2014","All","2.5"
"2015","All","2.1"
"2015","White","2.8"
"2016","All","2"
"2016","White","2.7"
"2017","All","1.9"
"2017","White","2.4"
"2018","All","1.8"
"2018","White","2.6"
"2019","All",
"2019","White",
"2020","All",
"2020","White",
"Target","All","1.9"
"Target","White","2.5"
