"year","race","ever"
"2010","All","77.1"
"2011","All","81.6"
"2012","All","82"
"2013","All","82"
"2014","All","83.9"
"2015","All","82.8"
"2016","All","88.8"
"2017","All","88.7"
"2018","All",
"2019","All",
"2020","All",
,"2020 Target","85"
