"year","race","adultlead"
"2010","All","3.5"
"2011","All","2.3"
"2012","All","2"
"2013","All","2.3"
"2014","All","1.3"
"2015","All","0.6"
"2016","All","1.1"
"2017","All","2"
"2018","All","0.6"
"2019","All",
"2020","All",
"Target","2020 Target","1.2"
