"year","race","rate_per_100_000_males"
"2010","Males under 30",
"2011","Males under 30",
"2012","Males under 30","129"
"2013","Males under 30","135"
"2014","Males under 30","135"
"2015","Males under 30","153"
"2016","Males under 30","173"
"2017","Males under 30","198"
"2018","Males under 30","190"
"2019","Males under 30","214"
"2020","Males under 30",
"Target","2020Target","116"
