"data_year","race","rate_per_100_000"
"2010","All",
"2010","White",
"2010","Hispanic",
"2010","Asian",
"2010","Black",
"2011","White",
"2011","All",
"2011","Hispanic",
"2011","Asian",
"2011","Black",
"2012","White",
"2012","All",
"2012","Black",
"2012","Asian",
"2012","Hispanic",
"2013","White",
"2013","All",
"2013","Asian",
"2013","Black",
"2013","Hispanic",
"2014","White",
"2014","Hispanic",
"2014","Asian",
"2014","Black",
"2014","All",
"2015","White",
"2015","All",
"2015","Hispanic",
"2015","Black",
"2015","Asian",
"2016","All","55"
"2016","White","59"
"2016","Black","150"
"2016","Hispanic","163"
"2016","Asian","52"
"2017","All","80"
"2017","White","57"
"2017","Black","145"
"2017","Hispanic","164"
"2017","Asian","39"
"2018","All","80"
"2018","White","58"
"2018","Black","184"
"2018","Hispanic","161"
"2018","Asian","60"
"2019","All",
"2019","White",
"2019","Black",
"2019","Hispanic",
"2019","Asian",
"2020","All",
"2020","Asian",
"2020","White",
"2020","Hispanic",
"2020","Black",
"Target","All","50"
"Target","White","53"
"Target","Black","135"
"Target","Hispanic","147"
"Target","Asian","47"
