"year","race","hsstudenttvtime"
"2009","All",
"2009","White",
"2009","Black",
"2009","Hispanic",
"2009","Asian",
"2011","All","32.9"
"2011","Black","53.4"
"2011","Hispanic","39.4"
"2011","Asian","21.2"
"2011","White","27"
"2013","All","28.5"
"2013","White","23.7"
"2013","Black","41.2"
"2013","Hispanic","38.1"
"2013","Asian","15.8"
"2015","All",
"2015","White",
"2015","Black",
"2015","Hispanic",
"2015","Asian",
"2017","All",
"2017","White",
"2017","Black",
"2017","Hispanic",
"2017","Asian",
"2019","All","17.6"
"2019","White","15"
"2019","Black","27.3"
"2019","Hispanic","20.9"
"2019","Asian","9.4"
"2020","All",
"2020","White",
"2020","Black",
"2020","Hispanic",
"2020","Asian",
"Target","All","25.7"
"Target","White","21.3"
"Target","Black","37.1"
"Target","Hispanic","34.3"
"Target","Asian","14.2"
