"year","race","pcv"
"2011","All","83.9"
"2012","All","82.8"
"2013","All","86.6"
"2014","All","84.5"
"2015","All","86.8"
"2016","All","80.9"
"2017","All","84.1"
"2018","All","82.8"
"2019","All",
"2020","All",
"Target","2020 Target","90"
