"year","race","rate"
"2010","All","17.9"
"2010","White","5.2"
"2010","Black","65.5"
"2010","Hispanic","34.7"
"2010","Other","4.6"
"2011","All","16.1"
"2011","White","5.4"
"2011","Black","60.5"
"2011","Hispanic","27"
"2011","Other","3.5"
"2012","All","17.7"
"2012","White","5.9"
"2012","Black","64.7"
"2012","Hispanic","29.9"
"2012","Other","5.8"
"2013","All","13.2"
"2013","White","4.9"
"2013","Black","45.8"
"2013","Hispanic","21.3"
"2013","Other","2.8"
"2014","Hispanic","23.2"
"2014","Other","2.5"
"2014","All","13.3"
"2014","White","3"
"2014","Black","47.3"
"2015","White","3.7"
"2015","All","13.1"
"2015","Black","45.9"
"2015","Hispanic","22.7"
"2015","Other","3.2"
"2016","All","13.4"
"2016","White","4.8"
"2016","Black","42.5"
"2016","Hispanic","23"
"2016","Other","3.6"
"2017","All","14.7"
"2017","White","4"
"2017","Black","52.1"
"2017","Hispanic","27.1"
"2017","Other","4.1"
"2018","All","14.1"
"2018","White","4.8"
"2018","Black","42.5"
"2018","Hispanic","26.9"
"2018","Other","5.1"
"2019","All",
"2019","White",
"2019","Black",
"2019","Hispanic",
"2019","Other",
"2020",,
"2020",,
"2020",,
"2020",,
"Target","All","12.5"
"Target","White","2.7"
"Target","Black","42.6"
"Target","Hispanic","18.6"
"Target","Other","2.3"
