"data_year","race","percent"
"2010","All","90.7"
"2011","All","90.1"
"2012","All","93.5"
"2013","All","92.1"
"2014","All","92.6"
"2015","All","90.9"
"2016","All","93.8"
"2017","All","92.5"
"2018","All",
"2019","All",
"2020","All",
"Target","2020 Target","93"
