"year","race","rate_per_100_000"
"2010","Asian",
"2010","All","9.3"
"2010","White","12.6"
"2010","Black","10.2"
"2010","Hispanic","4.7"
"2011","Asian",
"2011","All","10.8"
"2011","White","15.1"
"2011","Black","9.8"
"2011","Hispanic","5.2"
"2012","Asian",
"2012","All","13"
"2012","White","18.4"
"2012","Black","11.2"
"2012","Hispanic","6.5"
"2013","Asian",
"2013","All","14.1"
"2013","White","19.8"
"2013","Black","12.8"
"2013","Hispanic","7.4"
"2014","Asian",
"2014","All","13.6"
"2014","White","19.3"
"2014","Hispanic","7.3"
"2014","Black","11.4"
"2015","White","22.8"
"2015","Asian",
"2015","All","16.2"
"2015","Black","14.7"
"2015","Hispanic","9.8"
"2016","Asian",
"2016","All","23.2"
"2016","White","32.3"
"2016","Black","23.2"
"2016","Hispanic","14.5"
"2017","All","29.9"
"2017","White","40.2"
"2017","Black","36.6"
"2017","Hispanic","17.7"
"2017","Asian","2.8"
"2018","All","32.9"
"2018","White","43.5"
"2018","Black","42.3"
"2018","Hispanic","21.3"
"2018","Asian","2.4"
"2019","All",
"2019","White",
"2019","Black",
"2019","Hispanic",
"2019","Asian",
"2020","White",
"2020","Black",
"2020","Hispanic",
"2020","Asian",
"2020","All",
"2020 Target","Asian",
"Target","All","6.8"
"Target","White","8.6"
"Target","Black","8.6"
"Target","Hispanic","3.1"
