"data_year","race","rate_per_100_000"
"2010","All","5.2"
"2010","White","3"
"2010","Black","18.6"
"2010","Hispanic","2.8"
"2011","All","5.6"
"2011","White","3.3"
"2011","Black","19.7"
"2011","Hispanic","2.7"
"2012","All","5.1"
"2012","White","2.7"
"2012","Black","17.7"
"2012","Hispanic","4"
"2013","All","5.8"
"2013","White","3.3"
"2013","Black","19.5"
"2013","Hispanic","3.6"
"2014","All","5.4"
"2014","White","3.4"
"2014","Black","17.8"
"2014","Hispanic","3.2"
"2015","All","5.4"
"2015","White","3.6"
"2015","Black","19.1"
"2015","Hispanic","2.1"
"2016","All","5.6"
"2016","White","3"
"2016","Black","20.8"
"2016","Hispanic","3.2"
"2017","All","5.4"
"2017","White","3.3"
"2017","Black","18.7"
"2017","Hispanic","2.8"
"2018","All","4.8"
"2018","White","3.3"
"2018","Black","14.8"
"2018","Hispanic","3.2"
"2019","All",
"2019","White",
"2019","Black",
"2019","Hispanic",
"2020","All",
"2020","White",
"2020","Black",
"2020","Hispanic",
"Target","All","4.7"
"Target","White","2.4"
"Target","Black","15.8"
"Target","Hispanic","1.9"
