"year","race","rate_per_100_000_females"
"2010","Females under 30",
"2011","Females under 30",
"2012","Females under 30","179"
"2013","Females under 30","177"
"2014","Females under 30","158"
"2015","Females under 30","153"
"2016","Females under 30","163"
"2017","Females under 30","182"
"2018","Females under 30","168"
"2019","Females under 30","191"
"2020","Females under 30",
"Target","2020 Target","161"
