"year","race","rate_per_100_000"
"2010","Hispanic","17.5"
"2010","Asian",
"2010","All","21.7"
"2010","Black","54"
"2010","White","19.4"
"2011","Black","43.8"
"2011","Hispanic","13.8"
"2011","Asian",
"2011","All","19.9"
"2011","White","18.6"
"2012","Asian",
"2012","Black","48.4"
"2012","White","17"
"2012","All","18.6"
"2012","Hispanic","10.6"
"2013","Hispanic","15.6"
"2013","Asian",
"2013","White","16.4"
"2013","All","17.6"
"2013","Black","34.8"
"2014","Asian",
"2014","All","19"
"2014","Black","43.3"
"2014","Hispanic","15"
"2014","White","17.5"
"2015","Asian",
"2015","All","17"
"2015","White","15.4"
"2015","Hispanic","15"
"2015","Black","42.7"
"2016","Asian",
"2016","All","17.6"
"2016","White","16.2"
"2016","Black","42.2"
"2016","Hispanic","13.7"
"2017","All","17"
"2017","White","16.2"
"2017","Black","35.4"
"2017","Hispanic","13.4"
"2017","Asian",
"2018","All","16.8"
"2018","White","15.3"
"2018","Black","38.8"
"2018","Hispanic","12.1"
"2018","Asian","8"
"2019","All",
"2019","White",
"2019","Black",
"2019","Hispanic",
"2019","Asian",
"2020","Asian",
"2020","Hispanic",
"2020","White",
"2020","Black",
"2020","All",
"Target","Asian",
"Target","All","15.3"
"Target","White","13.9"
"Target","Black","38.4"
"Target","Hispanic","10.8"
