"year","race","rate_per_100_000"
"2010","All","6.5"
"2010","White","7"
"2010","Black","6.5"
"2010","Hispanic","5"
"2010","Asian","3.5"
"2011","All","7.4"
"2011","White","7.5"
"2011","Black","9.4"
"2011","Hispanic","6.8"
"2011","Asian","4.8"
"2012","All","7.1"
"2012","White","7.4"
"2012","Black","7.4"
"2012","Hispanic","7.1"
"2012","Asian","3.2"
"2013","All","6.2"
"2013","White","6.1"
"2013","Black","6.9"
"2013","Hispanic","6.4"
"2013","Asian","4.7"
"2014","All","6.2"
"2014","White","6.2"
"2014","Black","7.3"
"2014","Hispanic","5.6"
"2014","Asian","4.2"
"2015","White","6.1"
"2015","Black","8.6"
"2015","All","6.4"
"2015","Hispanic","6.6"
"2015","Asian","3.6"
"2016","Asian",
"2016","All","6.8"
"2016","White","6.9"
"2016","Black","8.7"
"2016","Hispanic","6.6"
"2017","All","6.9"
"2017","White","7"
"2017","Black","8.1"
"2017","Hispanic","6.8"
"2017","Asian","2.7"
"2018","All","6.4"
"2018","White","6.3"
"2018","Black","8.5"
"2018","Hispanic","6.2"
"2018","Asian","3.6"
"2019","All",
"2019","White",
"2019","Black",
"2019","Hispanic",
"2019","Asian",
"2020","All",
"2020","White",
"2020","Black",
"2020","Hispanic",
"2020","Asian",
"Target","All","5.8"
"Target","White","5.5"
"Target","Black","7.7"
"Target","Hispanic","5.9"
"Target","Asian","3.2"
