"year","race","percent"
"2007","Black","9.1"
"2007","Asian",
"2007","All","7.2"
"2007","Hispanic","11.7"
"2007","White","4.8"
"2009","Black",
"2009","Hispanic",
"2009","All",
"2009","White",
"2009","Asian",
"2011","Black","8.5"
"2011","Asian","3"
"2011","White","4.5"
"2011","Hispanic","10.3"
"2011","All","6"
"2013","Hispanic","15.8"
"2013","All","9.9"
"2013","Asian","11.1"
"2013","Black","9.4"
"2013","White","7.4"
"2015","Black",
"2015","All",
"2015","White",
"2015","Hispanic",
"2015","Asian",
"2017","All",
"2017","White",
"2017","Black",
"2017","Hispanic",
"2017","Asian",
"2019","All","5.9"
"2019","White","4.9"
"2019","Black","11.3"
"2019","Hispanic","5.3"
"2019","Asian","4.5"
"2020","All",
"2020","White",
"2020","Black",
"2020","Hispanic",
"2020","Asian",
"Target","All","6.5"
"Target","White","4.3"
"Target","Black","8.2"
"Target","Hispanic","10.5"
"Target","Asian",
