"year","race","under5yearsold"
"2010","Hispanic",
"2010","Asian",
"2010","Black",
"2010","All",
"2010","White",
"2011","White",
"2011","Asian",
"2011","Black",
"2011","All",
"2011","Hispanic",
"2012","All",
"2012","White",
"2012","Hispanic",
"2012","Asian",
"2012","Black",
"2013","White",
"2013","Asian",
"2013","Hispanic",
"2013","All",
"2013","Black",
"2014","Asian",
"2014","Hispanic",
"2014","Black",
"2014","White",
"2014","All",
"2015","White",
"2015","Hispanic",
"2015","All",
"2015","Asian",
"2015","Black",
"2016","All","214"
"2016","White","142"
"2016","Black","525"
"2016","Hispanic","216"
"2016","Asian","83"
"2017","All","191"
"2017","White","114"
"2017","Black","402"
"2017","Hispanic","174"
"2017","Asian","103"
"2018","All","191"
"2018","White","135"
"2018","Black","595"
"2018","Hispanic","200"
"2018","Asian","95"
"2019","All",
"2019","White",
"2019","Black",
"2019","Hispanic",
"2019","Asian",
"2020","Hispanic",
"2020","Asian",
"2020","White",
"2020","Black",
"2020","All",
"Target","All","193"
"Target","White","128"
"Target","Black","473"
"Target","Hispanic","194"
"Target","Asian","75"
