"year","race","rate"
"2010","All","20.9"
"2010","White","18.2"
"2010","Black","40.4"
"2010","Asian","13.6"
"2010","Hispanic","24.8"
"2011","White","19"
"2011","Asian","12"
"2011","All","22"
"2011","Black","43.6"
"2011","Hispanic","28"
"2012","White","16"
"2012","Asian","14.7"
"2012","All","19.2"
"2012","Hispanic","22.6"
"2012","Black","40.6"
"2013","All","19.4"
"2013","White","17.3"
"2013","Black","34.1"
"2013","Hispanic","24.7"
"2013","Asian","13.2"
"2014","All","19.3"
"2014","White","17.7"
"2014","Hispanic","19.8"
"2014","Black","35.9"
"2014","Asian","10.6"
"2015","All","17.8"
"2015","White","15.4"
"2015","Hispanic","18.9"
"2015","Black","35.6"
"2015","Asian","12.5"
"2016","All","17.8"
"2016","Black","32.2"
"2016","White","15.8"
"2016","Asian","12.2"
"2016","Hispanic","18.7"
"2017","All","17"
"2017","White","14.6"
"2017","Black","31.6"
"2017","Hispanic","17.1"
"2017","Asian","15.3"
"2018","All","16.6"
"2018","White","14.2"
"2018","Black","32.3"
"2018","Hispanic","18.1"
"2018","Asian","10.4"
"2019","All",
"2019","White",
"2019","Black",
"2019","Hispanic",
"2019","Asian",
"2020","All",
"2020","White",
"2020","Black",
"2020","Hispanic",
"2020","Asian",
"Target","All","15.8"
"Target","Asian","12"
"Target","White","13.9"
"Target","Black","32"
"Target","Hispanic","17"
