"year","race","high_school_physical_activity"
"2009","All",
"2009","White",
"2009","Black",
"2009","Hispanic",
"2011","All","49.8"
"2011","White","53.5"
"2011","Black","44.1"
"2011","Hispanic","42.1"
"2013","All","48.7"
"2013","White","53.3"
"2013","Black","43.6"
"2013","Hispanic","42.3"
"2015","All",
"2015","White",
"2015","Black",
"2015","Hispanic",
"2017","All",
"2017","White",
"2017","Black",
"2017","Hispanic",
"2019","All","44.5"
"2019","White","49.9"
"2019","Black","31.3"
"2019","Hispanic","45.9"
"2020","All",
"2020","White",
"2020","Black",
"2020","Hispanic",
"Target","All","54.8"
"Target","White","58.9"
"Target","Black","48.5"
"Target","Hispanic","46.3"
