"id","entity_name","fiscal_year","entity_id","estimated_population","field_type","category","line_description","value","city_state"
"1","Adelanto","2014","1128","32511","DEBT","Debt","Bonded Debt_Principal Outstanding, EOF","0","Adelanto, CA"
"2","Adelanto","2014","1128","32511","DEBT","Debt","Other Long-Term Debt_Amount Outstanding, EOF","0","Adelanto, CA"
"3","Adelanto","2014","1128","32511","DEBT","Debt","Construction Financed_Amount Outstanding, EOF","0","Adelanto, CA"
"4","Adelanto","2014","1128","32511","DEBT","Debt","Lease Obligations_Balance End of Year","0","Adelanto, CA"
"5","Agoura Hills","2014","1129","20625","DEBT","Debt","Bonded Debt_Principal Outstanding, EOF","0","Agoura Hills, CA"
"6","Agoura Hills","2014","1129","20625","DEBT","Debt","Other Long-Term Debt_Amount Outstanding, EOF","0","Agoura Hills, CA"
"7","Agoura Hills","2014","1129","20625","DEBT","Debt","Construction Financed_Amount Outstanding, EOF","0","Agoura Hills, CA"
"8","Agoura Hills","2014","1129","20625","DEBT","Debt","Lease Obligations_Balance End of Year","25621484","Agoura Hills, CA"
"9","Alameda","2014","1130","75988","DEBT","Debt","Bonded Debt_Principal Outstanding, EOF","9010000","Alameda, CA"
"10","Alameda","2014","1130","75988","DEBT","Debt","Other Long-Term Debt_Amount Outstanding, EOF","0","Alameda, CA"
"11","Alameda","2014","1130","75988","DEBT","Debt","Construction Financed_Amount Outstanding, EOF","8631604","Alameda, CA"
"12","Alameda","2014","1130","75988","DEBT","Debt","Lease Obligations_Balance End of Year","97506696","Alameda, CA"
"13","Albany","2014","1131","18472","DEBT","Debt","Bonded Debt_Principal Outstanding, EOF","22060000","Albany, CA"
"14","Albany","2014","1131","18472","DEBT","Debt","Other Long-Term Debt_Amount Outstanding, EOF","2458972","Albany, CA"
"15","Albany","2014","1131","18472","DEBT","Debt","Construction Financed_Amount Outstanding, EOF","233003","Albany, CA"
"16","Albany","2014","1131","18472","DEBT","Debt","Lease Obligations_Balance End of Year","237190","Albany, CA"
"17","Alhambra","2014","1132","84697","DEBT","Debt","Bonded Debt_Principal Outstanding, EOF","2705000","Alhambra, CA"
"18","Alhambra","2014","1132","84697","DEBT","Debt","Other Long-Term Debt_Amount Outstanding, EOF","2806241","Alhambra, CA"
"19","Alhambra","2014","1132","84697","DEBT","Debt","Construction Financed_Amount Outstanding, EOF","0","Alhambra, CA"
"20","Alhambra","2014","1132","84697","DEBT","Debt","Lease Obligations_Balance End of Year","47621532","Alhambra, CA"
"21","Aliso Viejo","2014","8635","49951","DEBT","Debt","Bonded Debt_Principal Outstanding, EOF","32270000","Aliso Viejo, CA"
"22","Aliso Viejo","2014","8635","49951","DEBT","Debt","Other Long-Term Debt_Amount Outstanding, EOF","0","Aliso Viejo, CA"
"23","Aliso Viejo","2014","8635","49951","DEBT","Debt","Construction Financed_Amount Outstanding, EOF","0","Aliso Viejo, CA"
"24","Aliso Viejo","2014","8635","49951","DEBT","Debt","Lease Obligations_Balance End of Year","0","Aliso Viejo, CA"
"25","Alturas","2014","1133","2668","DEBT","Debt","Bonded Debt_Principal Outstanding, EOF","0","Alturas, CA"
"26","Alturas","2014","1133","2668","DEBT","Debt","Other Long-Term Debt_Amount Outstanding, EOF","0","Alturas, CA"
"27","Alturas","2014","1133","2668","DEBT","Debt","Construction Financed_Amount Outstanding, EOF","3891578","Alturas, CA"
"28","Alturas","2014","1133","2668","DEBT","Debt","Lease Obligations_Balance End of Year","0","Alturas, CA"
"29","Amador","2014","1134","179","DEBT","Debt","Bonded Debt_Principal Outstanding, EOF","0","Amador, CA"
"30","Amador","2014","1134","179","DEBT","Debt","Other Long-Term Debt_Amount Outstanding, EOF","0","Amador, CA"
"31","Amador","2014","1134","179","DEBT","Debt","Construction Financed_Amount Outstanding, EOF","0","Amador, CA"
"32","Amador","2014","1134","179","DEBT","Debt","Lease Obligations_Balance End of Year","0","Amador, CA"
"33","American Canyon","2014","1135","20001","DEBT","Debt","Bonded Debt_Principal Outstanding, EOF","0","American Canyon, CA"
"34","American Canyon","2014","1135","20001","DEBT","Debt","Other Long-Term Debt_Amount Outstanding, EOF","524068","American Canyon, CA"
"35","American Canyon","2014","1135","20001","DEBT","Debt","Construction Financed_Amount Outstanding, EOF","6807705","American Canyon, CA"
"36","American Canyon","2014","1135","20001","DEBT","Debt","Lease Obligations_Balance End of Year","8095609","American Canyon, CA"
"37","Anaheim","2014","1136","348305","DEBT","Debt","Bonded Debt_Principal Outstanding, EOF","39235000","Anaheim, CA"
"38","Anaheim","2014","1136","348305","DEBT","Debt","Other Long-Term Debt_Amount Outstanding, EOF","47201789","Anaheim, CA"
