"entity_name","fiscal_year","entity_id","estimated_population","category","line_description","value","city_state"
"Mammoth Lakes","2014","1371","8098","Assets","Total Assets_General","79180145","Mammoth Lakes, CA"
"Hollister","2014","1306","36676","Assets","Total Assets_Special Revenue","22567141","Hollister, CA"
"San Carlos","2014","1487","29219","Assets","Total Assets_General","218968454","San Carlos, CA"
"Sanger","2014","1508","24908","Assets","Total Assets_General","79246275","Sanger, CA"
"Atherton","2014","1147","6917","Assets","Total Assets_General","38143832","Atherton, CA"
"Firebaugh","2014","1267","7809","Assets","Total Assets_Enterprise","22618006","Firebaugh, CA"
"Escondido","2014","1258","147102","Assets","Total Assets_General","427345524","Escondido, CA"
"Sunnyvale","2014","1546","147055","Assets","Total Assets_Enterprise","221046459","Sunnyvale, CA"
"Benicia","2014","1163","27454","Assets","Total Assets_General","132557835","Benicia, CA"
"Redondo Beach","2014","1463","67717","Assets","Total Assets_Enterprise","79764244","Redondo Beach, CA"
"La Verne","2014","1334","32228","Assets","Total Assets_Enterprise","53377286","La Verne, CA"
"Mountain View","2014","1400","76781","Assets","Total Assets_Internal Service","38160848","Mountain View, CA"
"Galt","2014","1279","24289","Assets","Total Assets_Special Revenue","28430110","Galt, CA"
"Brea","2014","1173","42397","Assets","Total Assets_Capital Projects","22671734","Brea, CA"
"San Jose","2014","1496","1000536","Assets","Total Assets_Special Revenue","782139842","San Jose, CA"
"San Francisco","2014","1492","836620","Assets","Total Assets_Trust and Agency","430677106","San Francisco, CA"
"Baldwin Park","2014","1154","76715","Assets","Total Assets_General","299341649","Baldwin Park, CA"
"San Clemente","2014","1488","64874","Assets","Total Assets_General","221214354","San Clemente, CA"
"Windsor","2014","1592","27104","Assets","Total Assets_General","164607646","Windsor, CA"
"Richmond","2014","1467","106138","Assets","Total Assets_Enterprise","132598778","Richmond, CA"
"Westlake Village","2014","1584","8386","Assets","Total Assets_General","102074422","Westlake Village, CA"
"Lindsay","2014","1351","12650","Assets","Total Assets_General","79781989","Lindsay, CA"
"South Pasadena","2014","1540","26011","Assets","Total Assets_Enterprise","64268038","South Pasadena, CA"
"Maywood","2014","1378","27758","Assets","Total Assets_General","53449544","Maywood, CA"
"Dixon","2014","1240","19005","Assets","Total Assets_Enterprise","45010721","Dixon, CA"
"Pasadena","2014","1435","140879","Assets","Total Assets_Internal Service","38337416","Pasadena, CA"
"Dinuba","2014","1239","23666","Assets","Total Assets_Special Revenue","33169581","Dinuba, CA"
"South Gate","2014","1538","96057","Assets","Total Assets_Special Revenue","28691099","South Gate, CA"
"Yorba Linda","2014","1597","67069","Assets","Total Assets_Special Revenue","24946689","Yorba Linda, CA"
"Newport Beach","2014","1409","86874","Assets","Total Assets_Capital Projects","22702362","Newport Beach, CA"
"Chula Vista","2014","1201","256139","Assets","Total Assets_General","1320289935","Chula Vista, CA"
"Palo Alto","2014","1430","66861","Assets","Total Assets_General","787601095","Palo Alto, CA"
"Brentwood","2014","1174","54741","Assets","Total Assets_General","568853645","Brentwood, CA"
"Cerritos","2014","1196","49741","Assets","Total Assets_General","431085507","Cerritos, CA"
"Rocklin","2014","1474","59672","Assets","Total Assets_General","352501544","Rocklin, CA"
"Novato","2014","1412","52967","Assets","Total Assets_General","301241971","Novato, CA"
"Livermore","2014","1353","84852","Assets","Total Assets_Enterprise","259888759","Livermore, CA"
"Bell","2014","1158","35972","Assets","Total Assets_General","221854920","Bell, CA"
"Alhambra","2014","1132","84697","Assets","Total Assets_General","192081145","Alhambra, CA"
"Lancaster","2014","1344","159878","Assets","Total Assets_Special Revenue","164870056","Lancaster, CA"
"Walnut","2014","1575","30112","Assets","Total Assets_General","151580813","Walnut, CA"
