icon,title,link,data-type,sort,background-color,description,image
/api/assets/EFCBE1C3-0CFF-4283-BDED-D0B7A31922A2,Codes Compliance and Safe & Clean Initiative,/browse?tags=codes&utf8=✓,Datasets,1,,Check out the latest news and information on the Safe & Clean initiative.,https://data.hampton.gov/views/guy2-7y9y/files/m845Wl1r3PRWAsSRoSXuLj715yU3i46JatMsaFEZ4RA
/api/assets/7664ADCD-3783-4803-8EC1-4F146719D7D3,Doing Business in Hampton,/browse?tags=business&utf8=✓,Dataset,3,#882675,Hampton suppliers.,
